#{"t_start": 1760373352.507543, "env_id": "None"}
r,l,t
7.4687,12,0.898499
5.9585004,14,1.037495
6.4582996,16,1.168355
5.9583006,16,1.168355
5.4479003,20,1.43668
8.4789,12,1.968963
8.4788,13,2.024805
6.9480996,20,2.357646
7.4736,15,2.437121
7.9686,15,2.969649
8.4788,13,3.836939
-4.765806,57,3.887951
-1.776001,59,4.025088
-2.3017006,66,4.491037
8.4791,10,4.562843
-2.8170033,69,4.687567
-6.8374043,73,4.969578
8.4788,13,5.370145
9.479,11,5.427725
8.9737,14,5.486382
6.4530997,20,6.284972
8.4688,13,6.369066
-4.2658043,59,6.369066
-13.413904,90,6.898721
7.9585,16,7.369117
5.9229,22,7.839682
-2.760705,58,7.896575
7.9635,16,7.957046
-10.914003,91,8.437318
6.9532,19,8.624474
8.984,11,8.694189
7.9737,14,8.836797
-14.367807,79,9.098749
-19.515911,110,9.368887
8.4789,12,9.497679
8.973499,16,9.497679
6.4532,19,10.095682
6.9584,17,10.237426
7.9737,14,10.294675
9.4788,13,10.379377
7.4687,14,11.032067
8.9738,13,11.097856
-17.398506,86,11.178803
-8.414394,95,11.701947
-15.403706,88,12.245921
7.9584,17,12.298681
6.4481997,19,12.298681
4.8868,33,13.296674
6.9483995,17,13.380861
-9.378304,84,13.446575
-0.18950176,46,13.446575
-4.3272047,73,13.49998
-4.7967052,68,14.045543
7.9788,13,14.180448
7.9687,14,14.381639
7.4635,16,14.582195
5.937501,26,15.168351
8.4737,14,15.504209
-3.9035006,86,16.046312
-2.791503,66,16.106244
5.9582005,19,16.445442
-4.8067026,68,16.848955
7.9635997,15,17.105786
-3.2710028,61,17.445534
6.4481997,19,17.705603
-8.898794,89,18.246275
-4.776104,62,18.505719
7.4635,16,18.505719
7.9737997,13,18.580221
-1.7967014,68,18.580221
5.4075007,26,18.855031
-6.317005,71,18.931582
-1.2505026,56,19.26294
7.9739,12,19.388105
8.968599,15,19.526814
7.4634,17,19.6671
9.4788,13,19.715206
2.4939947,61,20.117144
8.9738,13,20.254498
7.9737997,13,20.398782
7.9585,16,20.799206
5.4022007,29,21.594714
7.9634,17,21.914931
3.886899,32,22.398968
-2.776104,62,22.398968
-8.888298,84,22.454216
-4.7708044,59,22.528738
0.25449657,56,22.666472
-1.7455044,56,22.99291
8.4686,15,23.39209
7.4687,14,23.599317
3.3765974,35,23.928126
-2.740303,54,23.993054
8.9586,15,24.393618
-4.3068027,69,24.72386
7.4635997,15,24.922599
6.9328,23,25.121948
9.4788,13,25.263473
-4.740406,55,25.589146
6.4582996,18,25.915461
8.9789,12,26.054647
2.2999992,51,26.399475
-1.2558002,59,26.399475
7.9687,14,26.529765
5.9380007,21,26.529765
-4.291404,65,26.858923
-7.857811,79,27.653993
8.4532995,18,27.727802
8.4584,17,27.991823
-2.276002,61,28.055033
7.9789,12,28.463812
3.3563976,37,28.863736
8.4789,12,28.863736
-2.271103,62,29.064097
5.4433002,18,29.187843
8.4635,16,29.522728
8.979,11,29.589504
-0.7353029,54,29.665016
7.8971996,29,29.665016
7.4687996,13,29.723568
8.9789,12,29.863641
0.2849989,51,29.921772
9.4788,13,30.066832
-3.8017025,68,30.464007
-4.2711086,62,30.5221
6.4530997,20,30.994203
7.9530997,20,30.994203
8.4634,17,31.187661
7.9635997,15,31.463508
7.3921995,29,31.655871
4.8767004,34,32.20127
7.4585,16,32.721224
0.81079865,43,32.721224
0.79030037,48,32.787536
7.4480996,20,33.521344
2.3409996,41,33.721633
8.4635,16,33.863571
7.4480996,20,34.063456
-4.3170033,71,34.263785
-0.6996021,47,34.334854
-2.2404022,55,34.66464
7.9533997,17,35.194036
-3.750804,59,35.399002
7.4684997,16,35.399002
-3.3578005,79,35.788704
7.4480996,20,35.986913
8.4788,13,36.063751
7.9023,28,36.121768
3.3462992,38,36.386713
7.9687,14,36.722728
1.3003006,48,36.723726
9.4789,12,36.863312
7.4584,17,37.263087
8.4581,20,37.322019
-0.75580025,59,37.66414
4.3667006,34,37.66414
2.8563986,37,37.862906
6.9481997,19,37.986727
-6.3732023,83,38.262678
6.9125996,25,38.38692
6.3869996,31,38.463728
8.4687,14,38.592413
7.9789,12,38.654759
8.4631,20,38.986584
6.9475994,25,38.986584
7.9585,16,39.321175
8.9738,13,39.321175
-1.6996021,47,39.988575
5.8921003,30,39.988575
4.8508005,43,40.121226
8.4684,17,40.121226
8.9789,12,40.121226
7.9483,18,40.186711
7.3971996,29,40.321301
5.402301,28,40.463011
6.943,21,40.748212
5.892,31,40.748212
8.473599,15,41.011396
7.9687,14,41.07475
7.9635997,15,41.132254
8.4634,17,41.132254
6.4377995,23,41.732869
6.9377995,23,41.87556
8.4688,13,41.87556
7.9025,26,41.87556
6.9427996,23,42.274884
7.9582996,18,42.338754
6.4126997,24,42.338754
7.3922,29,42.998453
4.8870997,30,43.138775
9.4687,14,43.2748
7.4634,17,43.47573
5.902301,28,43.739178
6.9969997,31,43.93878
7.9686,15,43.998308
-1.740303,54,44.075499
5.402301,28,44.139185
4.8613997,37,44.198721
8.4687,14,44.397719
7.9788,13,44.598347
7.4578,23,44.675925
7.9736,15,45.010092
6.8971996,29,45.211014
8.4733,18,45.338918
7.9788,13,45.463011
6.9477997,23,45.463011
1.2696018,55,45.539617
8.4737,14,45.611318
6.4276,25,45.862825
7.4634995,16,46.274532
6.9529,22,46.4761
8.4635,16,46.544914
7.948,21,46.738987
5.3765006,36,46.798815
7.4582996,18,46.798815
7.9581,20,46.875271
7.4379997,21,46.875271
7.9789,12,47.075069
6.9480996,20,47.201632
9.4789,12,47.339746
8.4736,15,47.475183
7.974,11,47.598798
6.9586,15,47.797951
8.4583,18,47.998248
6.9585,16,48.275326
8.9788,13,48.475435
7.4483,18,48.539376
5.9076004,25,48.539376
8.9789,12,48.798003
8.4686,15,48.798003
7.4023,28,48.938303
5.4127007,24,49.074577
8.9738,13,49.411021
-1.3679972,81,49.475013
7.9635997,15,49.475013
7.9635,16,49.598679
9.9585,16,49.876028
7.4532995,18,50.13959
5.402301,28,50.13959
8.9688,13,50.338729
1.7392035,59,50.676884
8.9789,12,50.938538
4.8717,34,51.074087
4.9127007,24,51.074087
6.9982996,18,51.074087
6.4023995,27,51.198276
4.9022007,29,51.538835
8.479,11,51.798272
8.4689,12,51.874905
8.4687,14,51.874905
10.4688,13,51.939489
