#{"t_start": 1760375464.8696697, "env_id": "None"}
r,l,t
7.9984,15,1.116701
7.9979,20,1.4523
7.9973,26,1.853484
6.9969997,29,2.05345
7.9969,30,2.117087
7.9968,31,2.175021
7.9966,33,2.324209
7.9964,35,2.43424
7.9957,42,2.91143
6.4976997,24,3.043682
7.9982,19,3.442196
7.9979,22,3.93277
7.9969,32,4.254652
7.9967,34,4.332733
7.9979,22,4.519457
7.9932,67,4.582096
6.9963994,37,4.782296
7.9957,44,4.782296
7.9986,15,4.920143
6.4969997,31,4.985808
7.9942,59,5.040434
7.9986,15,5.318774
7.9979,22,6.376658
7.9974,27,6.591415
7.9973,28,6.646614
7.9975,26,6.76648
7.9962,39,6.82881
7.9947,54,7.032066
7.9964,37,7.032066
7.4975996,25,8.028704
7.9943,58,8.357034
7.995,51,8.357034
7.4952993,48,8.496313
7.9973,28,8.708759
7.9964,37,9.110346
7.9964,37,9.234757
