#{"t_start": 1760375843.673907, "env_id": "None"}
r,l,t
7.9992,7,1.755222
7.9992,7,1.755222
7.9991,8,1.8208
7.9991,8,1.8208
7.9989,10,1.948457
7.9986,13,2.154994
7.9995,6,2.154994
7.9995,6,2.216997
7.999,11,2.557323
7.9995,6,2.557323
7.9991,10,2.622423
7.9993,8,2.755172
7.9974,25,2.955926
7.9982,19,3.022506
7.9991,10,3.28409
7.9990997,10,3.697051
7.9989,12,3.763805
7.9982,19,5.044767
7.9993,8,5.578508
7.9972,29,5.64712
7.9993,8,6.191329
7.9914002,85,6.992113
7.9989,12,7.796864
7.9988,13,8.668466
7.9986,15,9.66865
7.9992,9,10.284045
0.9814825,186,14.639637
7.998,21,16.037887
7.9985,16,17.13707
7.9993,8,17.662055
7.9981,20,19.021955
-28.523834,240,19.416828
-55.546543,466,32.607255
-13.534117,344,33.420848
7.9994,7,33.909493
-133.54707,471,34.229369
7.9967,34,34.908831
-34.52528,255,36.583371
7.9995,6,36.974054
7.9992,9,37.570759
7.9947,54,37.834553
7.9995,6,38.246366
-41.03282,331,41.261643
7.9941,60,41.601437
7.9992,9,41.864954
7.9994,7,42.337289
-67.05882,593,42.405367
7.9996,5,42.73739
-70.05493,554,42.806246
7.9992,9,43.337289
7.9991,10,43.478098
7.9853,148,43.8062
7.9994,7,43.8062
7.9967,34,43.881706
7.9994,7,43.930473
-39.556923,574,44.753079
7.9994,7,45.210382
7.9993,8,45.748875
-70.56365,642,45.865871
7.9994,7,46.341445
7.9878,123,46.469479
7.9937,64,46.580215
7.9986,15,46.719193
-94.56767,680,46.913768
5.482009,181,46.991392
7.9994,7,47.184083
7.9987,14,47.248006
7.9993997,7,47.452933
7.9996,5,47.51723
7.9944,57,47.723392
7.9984,17,47.723392
7.9991,10,47.93048
7.9975,26,48.184526
7.9992,9,48.33012
7.9989,12,48.52716
7.9987,14,48.85507
7.9994,7,48.985102
7.9988,13,49.057516
7.9986,15,49.330802
7.9995,6,49.387465
7.9988,13,49.730649
7.9966,35,49.803041
7.9989,12,49.850347
7.9994,7,49.850347
7.9989,12,50.131684
7.9993,8,50.397898
7.9991,10,50.530982
7.999,11,50.530982
7.9896,105,50.783877
7.9995,6,50.783877
7.9996,5,50.860936
7.9993,8,51.061315
7.9994,7,51.261716
7.9993,8,51.319298
7.999,11,51.597055
7.9992,9,51.661438
7.9994,7,51.716829
7.9994,7,51.799924
7.9996,5,51.9176
7.9996,5,52.061437
7.9995,6,52.312772
7.9995,6,52.459514
7.9987,14,52.713224
7.9994,7,52.789998
7.9984,17,52.789998
7.9995,6,53.113091
7.9995,6,53.188595
7.9993,8,53.319552
