#{"t_start": 1760375475.1468034, "env_id": "None"}
r,l,t
9.995899,40,2.789167
9.9949,50,3.466606
9.992999,69,4.741234
6.992502,74,5.087175
7.492099,78,5.365926
7.991699,82,5.625614
7.989799,101,6.892896
9.9939995,61,6.892896
9.995799,43,7.966415
5.9859056,140,9.496381
9.992099,80,10.683974
4.4891973,109,10.752415
6.4932013,69,11.486521
6.989602,105,11.752629
9.9964,37,13.171104
1.9786892,212,14.305413
8.4906,95,14.305413
-4.521818,217,14.637714
6.9908013,93,15.742901
5.48421,159,16.27933
8.4914,87,16.612161
9.992599,75,16.804539
9.994599,55,16.879518
2.484789,153,17.135216
9.989498,106,18.618855
9.9932995,68,18.863894
9.993699,64,18.927186
9.994599,55,19.398945
9.995299,48,19.788777
9.491899,82,19.788777
9.994799,53,20.321328
9.992399,77,21.40043
9.995799,43,22.266118
9.995399,47,22.925187
9.991199,89,23.066247
9.993198,69,23.188899
9.990398,97,23.324171
9.992899,72,23.742004
9.993099,70,24.4698
8.490999,91,24.923271
9.994399,57,25.188871
9.992799,73,25.188871
9.994599,55,25.924865
9.9955,46,25.989831
9.9955,46,26.270961
9.993899,62,27.200777
9.996099,40,27.601314
7.4933987,67,27.793315
6.493303,68,28.269092
9.9963,38,28.467891
9.995099,50,28.529408
9.995699,44,28.929147
9.994299,58,29.069749
9.992599,75,29.469384
9.9963,38,30.339272
9.993799,63,30.460429
9.995099,50,30.525409
9.495699,44,30.525409
9.9969,32,30.584105
9.995999,41,31.26109
9.995299,48,31.448469
9.9962,39,31.661078
9.9955,46,32.525696
9.9939995,61,32.989376
9.996499,36,32.989376
9.995799,43,33.38931
9.9955,46,33.584805
9.995099,50,33.661968
9.996599,35,33.790626
9.995999,41,33.984229
9.9969,32,34.648922
9.9963,38,35.529778
