#{"t_start": 1760371604.415509, "env_id": "None"}
r,l,t
5.4107027,42,2.905773
4.9053087,96,6.513783
2.8708963,42,9.313061
-5.379018,139,9.391053
-6.361519,164,11.05777
4.361202,39,11.912832
6.949899,52,14.512934
-1.8019133,120,17.402474
-44.886898,468,31.313771
-31.34211,322,33.381405
3.8990936,60,37.377506
-67.33566,610,40.789662
-81.188774,643,42.979236
5.951402,37,43.246107
-3.8317156,118,45.252507
4.4349036,52,46.464222
-102.06405,698,46.663415
-113.039,698,46.664457
-112.06401,698,46.664457
-103.56414,700,49.597993
-17.827637,278,49.852013
-4.3534184,135,52.252176
5.4449043,52,53.050419
-6.406315,114,54.051199
5.923005,71,54.597031
7.4314995,36,54.650933
8.428801,63,58.853053
-6.8587236,188,59.194113
-1.8104134,105,61.052252
-102.5642,700,61.194393
-4.378319,134,61.993725
-5.877015,121,62.65683
5.8243036,58,62.735941
-6.4743357,244,62.923738
3.3961997,39,63.663077
6.8978987,72,63.994968
-96.62915,700,64.050773
0.33049774,46,64.256593
4.924904,52,66.124537
6.440799,43,66.536873
2.9054956,46,67.051698
-4.3267155,118,72.140769
-13.741512,166,73.978402
-16.307177,223,76.861423
-11.050973,161,77.784849
1.8759985,41,79.631415
-4.81921,93,80.199298
8.4194,57,81.623327
-34.394142,292,82.218235
2.407199,29,83.519585
-26.167213,273,84.329832
-7.3800125,101,86.307307
2.3814,37,86.774806
4.896003,41,89.142628
4.870803,43,89.722096
-97.56429,700,91.99061
-9.499472,146,93.310017
-102.5642,700,93.387838
3.3965988,35,94.332197
-1.76371,88,94.994598
2.4216957,34,95.591708
4.436302,38,95.920649
-5.3449135,100,96.397799
7.4262996,38,97.533966
4.946602,35,97.93323
-25.975182,253,99.113096
6.9621997,29,99.854866
-0.6194067,45,100.520148
-40.133873,439,101.444983
-5.8366156,117,102.112299
2.8404984,46,102.194739
-0.12860107,37,102.987636
-9.885981,111,103.306476
-5.876815,119,104.32138
7.9505997,45,104.456135
8.4212,39,104.707744
4.8863015,38,104.707744
3.9361954,39,105.92642
5.4219027,32,106.852344
6.9308996,42,107.110664
-5.396016,111,107.235943
5.417001,31,107.96646
7.3843994,57,108.501266
1.8971996,29,108.77284
4.4169025,32,109.235723
-4.7752123,103,109.830636
-91.984,699,110.708619
-4.309512,96,110.830674
8.4157,44,110.908712
-85.82171,674,111.50005
5.416302,38,111.772642
-1.6290045,41,112.572644
3.4304943,46,113.894754
-2.7485113,86,114.509066
-15.04191,120,115.230902
-5.8753147,104,115.433923
7.4414997,36,116.908595
-5.279211,93,116.908595
-5.7795115,96,117.313307
-0.12860489,37,117.909591
-6.759511,96,117.909591
-4.3141117,92,117.909591
-2.2465067,66,118.308547
-5.2745075,96,118.967767
6.4365997,35,119.237383
7.4309993,41,119.629511
-73.413956,594,119.830723
3.9116998,34,120.176075
-0.12350273,36,120.306317
7.435499,46,120.363669
1.8862963,38,120.443458
-0.12330246,34,121.235923
8.4052,49,121.564242
-2.8144102,95,121.564242
4.426503,36,122.031877
4.4271026,30,122.363919
4.911703,34,122.7024
7.9412,39,122.76536
2.8919992,31,124.764477
0.3915949,35,125.101626
-6.305011,101,127.034435
-8.300766,109,127.107649
3.386098,40,127.443654
-6.362315,124,127.502222
0.38549328,46,128.165977
-5.375411,105,128.23297
1.9073973,27,128.828221
-5.8448133,99,128.966086
5.921502,36,129.508885
-7.977212,123,129.792706
3.3556004,45,130.445003
1.8967991,33,130.445003
3.885198,49,131.44161
3.9270973,30,131.776314
-12.11038,155,131.913506
3.3999977,51,132.254424
8.4258,43,132.375774
-5.995817,159,132.655081
2.9066982,34,132.719531
1.3711987,39,133.047114
0.38169575,34,134.055332
-3.1541033,42,134.248158
4.9216022,35,134.576431
2.396596,35,134.719338
2.8868017,33,134.855815
-11.910984,111,134.919728
7.8753996,47,135.035739
8.456,41,135.448285
8.4115,36,136.455321
7.8998,53,136.584747
6.9118996,32,136.855834
6.8964996,36,136.976958
0.40089417,42,137.059153
0.88669586,34,137.185168
7.4058995,42,137.658463
7.4409995,41,138.172582
9.879999,51,138.435537
4.396802,33,138.635907
8.9218,33,139.176255
6.9265995,35,139.176255
9.425799,43,139.442581
-16.59598,161,139.702342
4.8658037,43,140.030998
2.3905983,45,140.030998
8.880099,50,140.967163
4.380804,43,141.344132
6.375799,43,141.536814
7.8805,46,142.264194
3.4266968,34,142.336022
9.9158,43,142.936823
7.8345995,55,143.136765
6.4571996,29,143.442274
2.366301,38,143.51353
7.9263997,37,143.775406
-5.803611,87,143.971224
3.9116993,34,144.51909
-8.813387,85,144.845606
2.901599,35,145.475693
8.420401,47,145.475693
6.3759995,41,145.684455
5.9316015,35,145.803873
2.4061956,39,146.157214
2.4214954,36,146.210242
4.416103,40,146.665388
-6.885914,110,147.067172
5.895903,42,147.345776
2.386897,32,147.580742
5.9259024,42,147.672858
6.4069996,31,147.743172
6.9216995,34,148.384683
0.88159657,35,148.520428
8.4009,42,148.596769
6.4275,26,149.056773
2.407299,28,149.453957
3.8755984,45,149.643171
7.9312,39,149.643171
2.4168959,32,149.791491
2.3766994,34,149.971804
8.4522,29,150.448756
-3.7830114,81,150.849084
6.3862996,38,150.92112
4.3923016,28,151.321222
0.3460989,40,151.714173
5.946502,36,152.050115
