#{"t_start": 1760375898.0451503, "env_id": "None"}
r,l,t
7.9968,31,2.156962
7.993,69,4.705178
7.9929,70,4.758168
7.9928,71,4.842545
7.9907002,92,6.235598
7.9971,30,6.704863
7.9895997,103,6.971459
7.9969,32,6.971459
7.9986,15,7.2424
7.9883,116,7.835526
7.9864,135,9.097759
7.9968,33,9.441897
7.9854,145,9.757648
7.9955,46,10.033023
7.9966,35,10.157578
7.9941,60,10.699062
7.9985,16,10.83758
7.9838,161,10.83758
7.490199,99,11.371457
7.9934,67,11.435316
7.9973,28,12.037425
7.9969,32,12.161237
7.9977,24,12.426404
7.9983,18,12.570049
7.9933,68,13.640559
7.9828,173,13.695659
7.9955,46,13.769313
7.9981,20,13.895648
7.9931,70,14.10786
7.9968,33,14.36743
7.9964,37,14.49137
7.9991,10,15.039885
7.9979,22,15.112124
7.9936,65,15.161484
7.9977,24,15.296368
7.9987,14,15.435321
