#{"t_start": 1760375511.7339592, "env_id": "None"}
r,l,t
-41.56952,698,46.976923
-34.569725,698,46.976923
-33.06983,698,46.976923
-32.569664,698,46.976923
-31.069721,698,46.976923
-41.56962,698,46.976923
-27.069784,698,46.976923
-31.569736,698,46.976923
-26.569796,698,46.976923
-43.069534,698,46.976923
23.948856,512,81.092207
23.942951,571,85.292432
-18.56994,700,93.817561
-21.069958,700,93.817561
-23.569864,700,93.817561
-16.069923,700,93.817561
-8.069894,700,93.817561
-9.569955,700,93.817561
-29.56979,700,93.817561
-22.0699,700,93.817561
22.456972,431,109.929401
20.958664,414,121.163584
22.443556,565,131.232818
6.4300632,700,131.631236
18.941566,585,132.544648
20.938164,619,134.808709
15.436794,633,135.67634
-29.069796,700,140.065881
-9.569937,700,140.065881
-20.069935,700,140.065881
-5.569917,700,156.058353
20.962776,373,156.130055
21.45476,453,160.916173
20.458967,411,162.658343
21.95277,473,163.592044
13.431615,685,166.25562
-26.569834,700,180.986436
-20.069939,700,186.511411
-3.5699275,700,186.511411
-21.069912,700,186.511411
22.953863,462,186.835126
23.460869,392,187.171856
-24.569914,700,202.769553
21.463367,367,205.527926
21.469078,310,207.139818
-20.069939,700,209.418591
-21.069954,700,210.241956
-4.069922,700,212.952415
17.44848,516,221.326389
15.444201,559,223.676312
23.96708,330,224.583708
13.433685,664,231.386958
20.46428,358,231.671401
-14.069934,700,234.3426
22.457363,427,239.661006
23.454662,454,244.218102
20.963375,367,246.961117
22.463871,362,248.996718
6.9319134,682,252.466336
23.458864,412,253.769055
23.966778,333,254.518995
-17.56995,700,257.67958
8.959687,404,262.029838
12.953795,463,275.900675
23.96407,360,277.911843
-13.069942,700,279.393186
22.953667,464,280.529326
