#{"t_start": 1760543266.9356828, "env_id": "None"}
r,l,t
12.775901,90,8.093796
12.775901,90,8.093796
12.734501,104,9.380539
12.7295,104,9.380539
12.734501,104,9.380539
12.729401,105,9.478267
12.734402,105,9.478267
12.208504,114,10.294009
12.662001,129,11.669269
12.667001,129,11.669269
12.739401,107,17.598016
12.739101,110,17.865883
12.765401,97,17.966475
12.7447,104,18.590588
12.749701,104,18.590588
12.734501,106,18.865376
12.7395,106,19.67047
12.223604,115,19.67047
12.780701,94,19.94662
12.744501,106,21.040397
12.2603035,98,26.629454
12.780901,92,26.711467
12.760101,100,27.421729
12.739401,107,28.316465
12.697901,122,28.414413
12.744701,104,28.88259
12.275804,93,29.243696
12.677001,131,29.524786
11.723805,113,29.711456
12.666302,138,32.20204
12.749601,105,36.015284
12.723801,113,36.62765
12.713401,117,37.811746
12.233904,112,38.25132
12.2491045,110,38.608518
12.708301,118,38.885944
12.229103,110,39.247294
12.729001,111,39.508322
11.693006,121,39.987018
12.203005,121,42.90503
12.239404,107,45.529445
12.734001,111,46.514068
12.754702,104,47.504011
12.728901,112,48.593733
12.744501,106,48.950938
12.713401,117,50.365389
12.666601,135,51.24777
12.640701,144,51.718663
5.7388067,163,52.318927
12.635801,143,55.568805
12.718601,115,55.739995
12.755201,99,56.262905
12.702901,122,57.342587
12.718801,113,58.577944
12.7031,120,59.553642
12.249704,104,59.554639
12.7705,96,59.733884
12.755201,99,60.472446
12.7344,107,61.778493
12.780801,93,64.49739
12.724001,111,65.372658
12.724001,111,65.569206
12.776201,89,67.434531
12.754801,103,67.693914
12.697901,122,68.145979
12.755201,99,68.519719
12.723501,116,69.850438
12.197905,122,71.269051
12.6982,119,72.319641
12.702801,123,75.394216
12.708401,117,75.743701
12.729001,111,77.274673
12.6667,134,77.451356
12.718801,113,77.724437
12.791101,90,77.806077
12.7346,105,77.806077
12.7137,114,78.257114
12.749701,104,80.504865
12.754702,104,81.545221
12.775901,92,85.592503
12.7187,114,85.857362
12.775801,93,85.937414
12.697901,122,86.208415
12.744601,105,86.567892
12.692701,124,88.798996
12.703001,121,88.977979
12.671601,135,89.785343
12.734301,108,90.044905
12.703201,119,92.053993
12.739601,105,94.891142
12.754901,102,94.970648
12.719001,111,95.665173
12.739401,107,96.021875
12.708601,115,96.391742
12.786001,91,97.907432
12.728601,115,99.119135
12.7446,105,99.473971
12.6826,125,100.200334
12.713401,117,102.54278
12.739401,107,104.600668
