#{"t_start": 1760542832.7580466, "env_id": "None"}
r,l,t
9.9636,13,1.0864
9.9382,17,1.372365
9.9227,22,1.741533
7.3869,30,2.341604
5.866802,31,2.421075
-0.10880375,37,2.884721
9.973499,16,2.964645
5.850503,44,3.398684
9.9737,14,3.466297
-2.7353039,52,3.968623
9.9635,16,4.034743
9.2849,52,4.933729
4.9279995,21,4.933729
9.9681,20,5.452137
-2.1692038,43,5.535571
9.9586,15,6.03572
-5.3883057,82,6.185354
5.3969994,31,6.327714
2.9278998,22,6.539657
5.3306026,45,6.748673
6.4481997,19,7.52936
-12.546509,114,8.45761
-6.8576107,77,8.533944
6.3202996,48,8.953321
-2.3305054,106,9.110471
6.9428997,22,10.121008
9.9737,14,10.203723
2.2698016,53,10.203723
1.8202996,48,10.270822
5.427602,25,10.414213
-0.2711954,63,10.639615
5.4323006,28,11.076
1.3102994,48,11.076
9.978499,16,11.364288
5.9586,15,11.520212
9.9633,18,11.520212
9.973599,15,11.743956
0.65219975,79,12.340783
8.4737,14,12.419969
3.396699,34,12.631458
9.9277,24,12.849688
9.9634,17,12.990131
7.3409996,41,13.268544
5.953101,20,13.843276
0.8665962,35,14.065584
6.4431,20,14.446034
5.392,31,14.880871
7.9327,24,15.025292
5.8512,39,15.169226
4.8717003,34,15.31672
5.9226007,25,15.70539
9.9686,15,16.148416
5.4534,17,16.148416
8.4074,27,16.449497
-18.72492,150,16.449497
9.9634,17,16.449497
-2.337304,74,16.5178
9.9737,14,16.769915
3.3762999,38,16.917358
9.9637,14,17.211761
9.9789,12,17.43476
5.4532003,19,17.581435
7.8668995,32,17.726346
9.9734,17,17.726346
7.9533,18,18.241778
3.8972998,28,18.538076
7.9125,26,18.684196
7.997,31,18.763034
9.9633,18,19.082802
5.9531007,20,19.227158
9.9737,14,19.305326
4.509206,109,19.590871
6.3971996,29,19.73082
9.9630995,20,20.552158
6.3002996,48,20.783801
9.9226,25,21.087665
6.3767996,33,21.155957
5.3718014,33,21.237383
3.7748036,53,21.387963
8.887099,30,21.846642
7.3918996,32,22.149129
9.9481,20,22.296107
5.2951035,50,22.296107
8.3509,42,22.444206
7.4581995,19,22.513066
6.8970995,30,22.802518
9.948,21,22.949306
6.9125996,25,23.107162
8.9738,13,23.107162
5.4433002,18,23.645043
8.3716,35,23.792894
7.4684997,16,24.323651
9.9634,17,24.402086
6.4329996,21,24.402086
6.9015994,35,24.468627
8.3871,30,25.227736
9.9636,15,25.457472
5.836004,41,25.535063
7.9533997,17,25.680831
7.9021997,29,25.974852
7.3816996,34,26.205202
8.4327,24,26.296098
9.9789,12,26.450835
7.9023,28,26.517085
7.9582996,18,26.593326
9.9738,13,26.658194
1.9037995,63,27.015527
5.9276,25,27.326628
8.4481,20,27.772781
-3.3220043,71,27.842594
9.9789,12,27.925177
5.922702,24,27.993706
7.3920994,30,28.22159
6.8971,30,28.764193
9.892099,30,28.832483
9.896999,31,28.981285
7.9329,22,28.981285
9.9635,16,29.209389
9.9687,14,29.280736
3.8258014,43,29.657788
9.9686,15,29.956349
6.3971996,29,30.023894
9.9684,17,30.023894
7.877,31,30.250977
8.3864,37,30.552994
9.9583,18,30.552994
7.4173994,27,30.980669
9.9687,14,31.068985
9.9636,15,31.148404
9.9072,29,31.148404
8.448,21,31.224889
9.8921995,29,32.129256
6.9177,24,32.356483
4.8407016,44,32.595711
8.4379,22,32.663234
9.8768,33,32.742863
8.4178,23,32.957751
9.9121,30,33.310644
8.8969,32,33.560903
9.9279995,21,33.707539
8.3664,37,33.938994
8.4482,19,34.198762
6.9329996,21,34.272499
9.9635,16,34.604657
9.9789,12,34.692242
7.3868995,32,34.851247
9.9738,13,35.000956
6.4330997,20,35.148385
9.9789,12,35.148385
7.3513994,37,35.541111
8.3818,33,35.652003
6.8735,66,35.740312
9.9685,16,36.093024
7.4277997,23,36.594088
9.912,31,36.965668
8.4584,17,37.097135
8.9479,22,37.228646
6.9483995,17,37.328811
11.8921995,29,37.531761
8.8818,33,38.27684
9.9686,15,38.27684
9.3968,33,38.502405
9.9687,14,38.620876
9.9121,30,38.718847
9.9787,14,38.84185
9.9024,27,38.9784
9.9789,12,39.695678
7.9379997,21,39.824736
9.9786,15,40.085834
9.9075,26,40.203346
5.997302,28,40.899192
8.4279995,21,40.990975
8.4481,20,40.990975
9.9177,24,41.622887
9.9683,18,41.622887
9.9636,15,41.707727
9.9583,18,41.857035
9.8716,35,42.371293
9.943,21,42.614202
8.8411,40,42.706032
7.9978,23,42.862274
9.8717,34,42.94617
8.4636,15,43.017363
7.4279,22,43.332982
9.9687,14,43.488402
6.9019995,31,43.488402
9.9227,24,43.569002
7.8870997,30,43.954512
9.9584,17,44.025992
9.9581995,19,44.113685
8.4585,16,44.203081
9.9482,19,44.363719
9.973499,16,44.86634
9.9739,12,44.954005
9.4429,22,45.322455
9.9688,13,45.517699
6.9585,16,45.590403
9.9073,28,45.682717
9.9531,20,45.757022
6.8866997,34,45.838238
