#{"t_start": 1760542952.195232, "env_id": "None"}
r,l,t
9.9121,28,2.526464
9.8914995,34,3.059496
9.901299,36,3.226182
9.8962,37,3.304616
9.8961,38,3.394532
9.9011,38,3.394532
9.906099,38,3.394532
9.896,39,3.468759
9.886,39,3.468759
9.8706,43,3.79143
7.8953996,47,6.704489
8.8861,40,6.805113
7.3912992,38,6.805113
9.9011,40,6.891131
9.8707,44,6.988029
8.4012,39,6.988029
7.3860993,40,7.06859
7.396199,39,7.333005
7.8852997,48,7.693414
7.8601,50,7.872607
9.9321995,29,9.336501
9.927,31,9.563685
9.9217,34,9.648152
9.9218,33,9.720976
9.9168,33,9.802183
9.926399,37,9.803301
9.9221,30,10.117646
9.916599,35,10.194168
9.8959,42,10.278754
9.9014,37,10.876634
7.3912992,38,12.765435
7.3861995,39,13.109178
7.8855996,45,13.109178
6.8860993,40,13.19713
7.3958993,42,13.274163
9.9014,37,13.443724
6.8807993,43,13.887829
7.8605,46,14.123029
9.3705,46,14.869646
9.9268,33,15.651124
9.927,31,15.82839
9.847499,76,16.192552
9.921599,35,16.282334
9.9267,34,16.282334
9.9268,33,16.37649
9.9113,38,16.458781
9.906199,39,17.326452
9.9268,33,17.731489
9.8757,44,17.901001
9.396099,40,19.078485
9.8966,35,19.422132
8.8859,42,19.422132
9.906099,40,19.622099
9.880899,42,19.868949
6.3400993,50,20.56776
7.329799,53,20.911582
9.360399,47,21.322234
9.885599,45,21.722222
9.901299,38,22.684956
9.8959,42,22.684956
9.901199,39,22.76287
9.8391,60,22.85754
9.4372,29,23.046717
9.9113,38,23.133364
8.3299,52,24.081079
9.9219,32,24.529167
9.9058,43,24.630063
9.8907995,43,25.071752
9.9426,25,26.304392
9.8963995,37,26.304392
9.9065,36,26.304392
9.8757,44,26.574461
9.8602,49,27.086612
9.8342,59,27.848807
9.8961,40,28.104076
9.3705,46,28.558035
9.927,31,28.975449
9.8979,72,29.139386
9.8601,50,29.376251
9.9165,36,29.376251
9.9265995,35,29.53379
9.8808,43,29.93058
9.9426,25,30.165694
7.8661,40,30.417359
9.9368,33,31.224648
9.4009,42,31.296883
9.9319,32,31.921527
9.886,41,32.239055
9.3959,42,32.479564
9.926399,37,32.870494
8.370399,47,33.14319
9.8806,45,33.14319
9.8759,42,33.542298
9.8598995,52,34.599276
9.8862,39,35.06663
9.8349,52,35.38426
9.9011,40,35.457793
9.9269,32,35.719442
9.8495,56,35.79137
9.9218,33,36.191855
9.9113,38,36.191855
