#{"t_start": 1760542989.439605, "env_id": "None"}
r,l,t
9.916699,32,2.643234
9.911699,32,2.643234
9.901199,37,3.046537
9.8911,38,3.122892
6.8454,45,3.70043
9.8197,52,4.254422
4.814303,56,4.572316
9.7741995,57,4.658008
7.232899,70,5.709023
4.661705,82,6.663984
9.3651,50,6.663984
8.870899,42,7.062697
9.879999,51,7.137063
6.330099,50,7.137063
5.8490014,61,7.535911
9.875199,49,8.517742
9.8448,53,8.517742
9.374399,57,9.216312
9.8706,45,9.300998
9.9324,27,9.300998
9.916599,35,9.927832
9.8807,44,10.159732
9.9168,33,10.159732
6.3353996,47,10.423827
6.8457,44,10.587015
9.427,31,10.967196
9.917,31,11.681397
9.9218,33,11.910738
7.3555994,45,12.068198
9.891399,37,12.224591
9.9272995,28,12.386034
9.901299,38,13.101014
9.8966,35,13.101014
6.3604994,46,14.47806
9.881,41,14.687193
9.8651,50,15.055834
9.9168,33,15.420226
9.3708,43,15.662156
9.8966,35,15.79562
9.871,41,15.796124
9.4119,32,16.234376
9.9218,33,16.33222
9.870299,48,16.677963
9.9168,33,17.78167
9.916599,35,17.78167
9.9321995,29,18.412366
9.4065,36,18.412366
9.8912,39,18.97847
9.9063,38,19.314936
6.8608994,42,19.726463
9.891399,37,20.124088
9.881,41,20.124088
9.385799,43,20.207674
9.8963995,37,21.803063
9.927,31,21.89687
9.875199,49,22.267848
9.3647995,53,22.600704
9.927,31,22.95227
7.3858995,42,23.166503
9.8396,55,23.444181
9.9114,37,23.445688
9.8757,44,23.747414
9.8649,52,24.884233
9.4171,30,25.077642
7.3660994,40,25.523386
9.8854,47,26.231324
9.906,41,26.420213
9.8913,38,26.520358
9.901299,38,26.986382
9.8862,39,27.071922
9.9321995,29,27.532876
9.835199,49,27.724365
9.8601,50,28.348532
9.8807,44,29.009744
9.922,31,29.262002
9.9063,38,29.594196
9.8912,39,29.843059
9.9218,33,29.921633
9.849899,52,30.092328
9.880899,42,30.61203
9.8912,39,30.905267
9.3963995,37,30.905267
9.9323,28,31.428782
8.865399,47,32.374114
9.8911,40,32.769219
9.9426,25,33.113904
9.911699,34,33.113904
9.9064,37,33.113904
9.3963995,37,33.214282
9.9011,40,34.222789
9.8909,42,34.709703
9.8494,57,34.709703
9.911699,34,35.48727
9.365299,48,35.811609
9.911699,34,35.8872
9.9017,34,36.283753
9.391299,38,36.662694
9.9011,40,36.967156
9.8758,43,37.162443
9.8913,38,37.813648
