#{"t_start": 1760543028.305668, "env_id": "None"}
r,l,t
9.4067,32,2.885001
9.8965,34,3.087226
9.8863,36,3.26412
9.8907995,41,3.739412
9.900399,45,4.129851
9.410199,47,4.289012
9.910099,48,4.38776
9.9049,50,4.579347
9.3348,51,4.677478
9.403699,62,5.693252
9.8763,38,6.623149
9.8757,44,7.294963
9.3762,39,7.610225
9.871099,40,8.220796
8.3862,39,8.220796
9.879,61,8.485972
9.8705,46,8.559865
9.8396,55,8.719606
8.894699,54,9.149117
9.891,41,9.307634
9.886,41,10.7518
8.911799,33,10.911017
9.9049,52,10.982288
8.9065,36,11.142718
9.901199,39,11.859546
9.91,51,11.859546
9.920799,43,12.020632
9.4309,42,12.492491
9.8995,56,12.963871
9.905199,49,13.198102
9.865399,47,14.602934
9.8552,49,14.988916
9.8546,55,15.304357
9.8706,45,15.387578
9.888999,61,15.543709
8.8642,59,16.673161
9.853899,62,16.749508
9.385599,45,16.749508
9.864599,55,16.834125
9.8602,49,16.834125
9.9158,43,18.024987
9.8962,39,18.112908
9.911699,34,18.275623
9.396299,38,18.429429
9.906099,40,18.500909
9.922,31,19.19885
9.9169,32,19.19885
9.9108,43,20.127088
9.400299,48,20.594588
9.910299,48,20.594588
9.866,41,21.608722
9.8958,43,21.608722
9.880099,50,21.997577
9.8496,55,22.31161
9.849899,52,22.546952
9.8805,46,22.791899
9.854099,60,23.864866
9.9267,34,24.279711
9.9113,38,24.596354
9.8642,59,24.753308
9.4116,35,24.753308
9.8693,58,25.167687
9.9015,36,25.167687
9.921599,35,25.555345
9.853499,66,25.799524
9.8995,56,27.009682
9.4321995,29,27.094177
9.8907995,43,27.324564
9.880899,42,27.630644
9.885699,44,29.066049
9.874399,57,29.15292
9.9099,52,29.312699
9.900399,47,29.547139
8.8446,55,29.547139
9.3587,64,29.861345
9.8862,39,30.103287
9.401299,38,30.664361
6.8656993,44,30.823647
9.875099,50,31.069503
9.9169,32,31.705928
9.931999,31,32.337677
9.4009,42,32.414868
9.8707,44,32.802199
9.880899,42,32.87608
9.906099,40,33.279026
9.415299,48,33.35406
9.9221,30,33.438596
9.885799,43,34.068369
9.904499,56,35.280252
9.8913,38,35.370436
9.922,31,35.370436
9.8755,46,35.370436
9.8605995,45,35.995805
9.9324,27,36.231766
9.3707,44,36.822535
9.8707,44,36.899009
9.889899,52,36.982883
9.859699,54,37.778418
8.4066,35,38.163712
9.8656,45,38.870586
