#{"t_start": 1760543984.177146, "env_id": "None"}
r,l,t
17.5316,193,17.79603
17.9998,221,20.353925
17.4806,223,20.539992
17.8969,260,23.919642
13.398791,261,24.004142
14.858395,285,26.217415
12.117892,390,35.791648
15.545196,199,41.995442
5.958707,462,42.279571
16.442692,244,42.742106
14.034594,215,43.577122
-16.769897,498,45.615288
-12.177903,498,45.615288
15.814494,296,47.364511
16.456493,236,47.722077
12.766593,335,48.386412
20.108006,151,56.134272
18.584904,172,57.783508
16.604198,149,59.259966
20.103704,154,61.468947
16.900799,193,63.322612
19.364706,234,65.088689
15.519593,215,67.438113
10.808407,397,72.132365
18.405102,260,72.231081
18.639198,179,72.6052
17.6098,193,79.225734
17.3677,274,84.464886
10.780107,330,88.150696
-7.1749077,500,88.70354
18.027199,229,93.280628
10.99061,335,94.149554
11.790705,344,99.10631
17.4802,239,101.294602
18.642899,172,104.638327
6.306796,443,105.935311
15.092093,200,106.65051
19.070906,162,108.304792
11.070707,294,111.613722
3.5525932,425,111.823887
18.156898,172,115.05392
-14.490905,500,118.273559
16.537193,219,121.496166
19.972706,184,121.57799
18.6184,187,125.531211
16.556694,194,129.69958
16.9085,256,130.247368
18.025202,209,130.916685
9.050104,450,135.696434
12.226693,344,137.633458
17.4788,233,139.726567
13.530294,208,140.657122
15.995894,222,142.078333
12.359491,306,143.269591
20.142506,136,143.455816
16.547493,206,144.59956
18.064499,196,147.820659
20.033005,171,151.508361
20.074406,167,153.088665
18.070602,155,154.104419
15.351791,273,155.492261
18.0299,182,157.496451
18.646301,158,157.854793
20.138504,146,158.045161
18.0317,164,158.616357
19.928907,202,160.765567
20.058006,171,163.616488
20.067806,153,168.285122
20.009205,179,169.659775
18.969706,204,170.397676
20.098206,149,171.346294
20.034805,173,171.532259
19.707203,119,171.815279
18.056599,175,174.130397
19.515606,175,174.310103
20.085905,152,177.750711
18.3862,229,179.857786
19.567806,163,183.352161
19.577404,157,184.18728
16.6451,170,186.192554
19.555004,161,186.758759
20.004805,173,187.612642
19.459507,186,188.606255
19.529005,161,189.112961
20.093704,164,189.596236
17.5761,150,191.790813
19.598404,157,194.618551
20.159605,125,195.201931
19.572405,167,201.885599
19.065805,163,202.068046
20.008606,195,202.527024
19.644604,145,202.711803
19.520603,175,204.056053
19.023405,177,206.148592
20.163504,126,206.334329
19.972504,196,207.005781
19.999805,173,207.935146
20.004303,188,212.664812
19.686005,121,213.328995
19.085506,136,214.552545
