#{"t_start": 1760543068.232258, "env_id": "None"}
r,l,t
15.801132,71,6.863392
15.790333,79,7.601479
15.773266,83,7.966948
15.7575655,90,8.597996
15.752466,91,8.684609
15.752466,91,8.684609
15.755699,92,8.785411
15.2404995,94,8.969104
13.226265,103,9.818301
12.201731,115,10.910122
15.809166,76,13.948542
15.293465,83,15.387758
14.778166,86,16.010436
15.298666,81,16.294912
15.7835655,82,16.383373
15.774933,85,16.757031
15.753431,100,17.957226
15.741665,101,18.43533
15.772965,88,23.557568
15.726065,107,23.912233
15.283365,84,24.091115
9.773927,195,29.026566
15.800532,79,30.794526
15.623732,147,31.98842
9.780594,195,34.000258
8.701725,267,34.531039
15.205365,114,34.531039
6.803065,187,35.161158
8.776165,206,35.339507
3.778019,204,35.520359
15.241766,100,38.259851
15.788566,82,38.347142
15.7869,82,39.593343
15.800932,75,40.974044
15.793566,82,42.200961
15.793766,80,42.649716
15.790533,79,42.925353
15.277966,88,43.553344
15.684866,119,45.599638
14.788766,80,45.787828
8.742764,240,46.070772
14.745298,98,47.367909
15.766299,88,47.740511
15.285233,82,48.605073
15.295631,78,49.891372
15.285132,83,50.615039
15.263832,96,51.105099
15.245299,98,52.642299
15.798965,78,53.007654
15.774632,88,53.765096
15.783365,84,55.122491
15.795233,82,55.307107
15.743332,101,57.848282
15.789431,90,58.125004
15.810532,79,58.315839
15.807599,75,59.51257
15.798164,86,60.884324
15.203599,115,61.160496
15.782866,89,61.882643
15.2835655,82,62.796216
15.253832,96,63.889032
15.292299,78,65.454965
15.778166,86,65.726275
15.263831,96,66.887982
15.259132,93,67.990374
15.760698,94,69.774251
15.250198,99,69.955276
15.795432,80,70.136298
15.772566,92,70.320198
7.236528,269,70.771404
15.280132,83,71.540419
15.787965,88,73.875025
15.257366,94,74.151552
14.776499,86,74.919195
15.2502985,98,77.140031
15.293565,82,77.985317
15.743732,97,78.947567
15.733433,100,79.050222
15.246965,98,79.229226
15.258732,97,79.775676
15.770899,92,80.048266
15.302198,79,81.16619
15.312698,74,81.711518
15.251865,99,83.303509
15.286598,85,85.72888
15.264032,94,85.72888
15.800733,77,86.108509
15.257166,96,88.038904
15.277765,90,88.301406
15.7867985,83,88.764747
15.2242985,108,88.851533
15.2762985,88,89.771421
15.696532,119,90.709635
15.795132,83,93.388321
15.779932,85,93.569539
15.776399,87,94.114922
15.684465,123,94.563107
15.300833,76,95.309437
15.755699,94,96.680926
15.779732,87,96.866008
