#{"t_start": 1760543832.362737, "env_id": "None"}
r,l,t
17.145546,131,12.40179
16.085201,147,13.906452
17.092495,149,14.085394
14.565451,157,14.85021
15.54265,160,15.155193
17.016846,168,15.934033
15.0053005,171,16.20692
15.937652,185,17.482203
15.438299,191,18.029501
15.92355,201,18.961485
16.587296,153,26.840145
16.571796,158,29.013495
17.120995,141,29.503444
17.069696,154,29.693401
15.01355,178,30.757338
17.059196,159,30.941109
16.1054,147,31.393411
17.085745,156,32.781803
16.956944,194,33.154199
15.501801,183,36.233555
16.603344,155,41.465422
17.175396,122,42.201361
16.616844,145,42.707503
17.146294,138,42.707503
17.092295,153,43.9438
17.147745,136,45.611373
16.548595,165,46.488686
16.571396,162,46.683651
17.000244,186,50.658779
16.564095,160,51.317617
17.130997,141,54.759068
17.129646,142,55.59922
17.162296,128,55.984823
17.087196,154,57.198181
17.084293,158,57.598729
17.092796,148,60.413954
16.485847,180,62.621136
16.099152,147,65.240765
16.912395,202,65.717657
17.053394,167,66.489717
17.211098,115,66.489717
17.079494,156,69.532634
17.085745,156,70.833699
17.087196,154,72.311919
17.046745,171,73.574009
17.165846,130,75.106472
16.520645,182,77.862641
16.631294,138,79.02158
17.138794,138,79.785668
17.074196,159,80.53477
17.158646,127,81.72342
16.556295,163,82.125202
17.189146,122,82.50814
17.145346,135,85.128728
15.132648,137,88.119531
16.080746,156,88.407656
17.128595,140,91.170316
17.142845,135,91.830215
13.6664505,124,94.280174
15.596451,149,94.65642
17.032246,166,95.505056
17.112495,151,96.442889
15.545149,162,97.117652
17.137344,140,101.349675
13.0131,170,104.531865
16.15815,132,106.844173
17.043495,166,106.944219
16.571396,162,107.224233
17.096046,153,109.220084
17.137344,140,110.472447
17.037148,167,111.421869
16.0564,162,111.879543
12.551022,328,116.336935
17.083046,158,116.43855
17.127144,142,118.050709
17.157097,130,119.303299
16.663647,127,119.303299
16.1106,145,120.636273
17.151796,133,121.835218
16.627045,143,124.00834
16.617245,141,125.240089
17.107296,153,125.89927
16.642746,136,129.230001
16.617046,143,131.6135
17.141296,138,132.366796
12.0173,178,133.318565
17.143696,139,135.018254
16.554245,171,135.473837
17.048195,169,136.638489
17.152845,135,136.82252
17.165646,132,137.745309
17.141296,138,138.979528
14.07055,158,144.257682
17.106747,146,146.248622
17.082844,160,146.812791
17.159695,129,147.287751
17.108946,149,147.479609
17.163546,128,147.669948
17.129745,141,150.188253
17.092695,149,150.758078
