#{"t_start": 1760543372.589503, "env_id": "None"}
r,l,t
14.70783,104,9.154866
14.690965,106,9.321364
14.668899,110,9.660374
14.149965,116,10.171867
14.146431,118,10.343445
14.154762,118,10.343445
14.6680975,118,10.343445
14.642498,124,10.842681
12.597931,153,13.327697
14.460331,179,15.677757
14.726765,100,18.884232
14.713331,101,19.683359
14.156231,122,20.275719
14.150831,126,20.275719
14.641897,132,20.62776
14.676531,119,20.719369
14.653964,128,21.465665
14.709198,109,22.887291
14.588931,145,22.98182
14.592464,143,28.267783
14.681931,115,29.072573
14.699298,108,29.840221
14.682331,111,30.109467
14.166832,116,30.889793
14.665065,117,31.085551
14.682331,111,31.343728
14.565298,148,32.705394
14.682131,113,32.877861
14.661531,119,33.481941
14.706565,102,38.04028
14.156431,120,38.864919
14.687231,112,39.766768
14.677332,111,40.765053
14.714898,102,41.823755
14.105032,134,42.97148
14.570198,149,43.31976
14.658198,119,44.121494
14.120531,129,44.378258
14.571865,149,44.554095
14.188032,104,49.048063
14.1322975,128,50.263325
14.187431,110,50.524899
14.692431,110,52.718268
14.6599655,118,53.7673
14.1770315,114,54.623071
14.570398,147,54.799703
14.658198,119,54.892091
14.613865,129,55.492369
14.406965,198,55.582281
14.170164,116,59.163127
14.670364,114,60.557549
14.622198,129,61.63132
14.711765,100,63.466582
14.205099,100,63.744264
14.624065,127,63.917045
14.145065,117,65.12952
14.137898,122,66.294552
14.137598,125,66.642308
14.701865,99,68.000335
14.486631,168,68.639259
14.692631,108,71.275065
14.122198,129,72.068552
14.709999,101,72.964049
14.687332,111,73.39958
14.146532,119,74.377461
14.672333,111,75.089855
14.161632,118,77.283697
14.192832,106,77.549621
13.694498,106,78.166746
14.6152315,132,78.166746
14.735798,93,80.425092
14.706565,102,82.078409
14.625431,130,82.931431
13.668798,113,85.282035
14.1152315,132,85.282035
14.637598,125,85.632792
14.222065,97,86.846818
14.682431,110,87.103104
14.180565,112,88.155576
14.634065,127,88.848531
14.151331,121,91.145643
14.666931,115,93.091274
14.637498,126,93.263061
14.699598,105,94.481125
14.696165,106,94.576554
14.716465,103,97.194676
14.108565,132,97.194676
14.6322975,128,98.066212
14.681066,107,98.243941
14.608165,136,99.005552
14.730598,95,99.467759
14.732466,93,102.713781
14.653099,120,103.597271
14.125631,128,104.452502
14.601398,137,106.46227
14.711966,98,106.640617
14.673999,111,106.893659
14.720499,96,107.405268
14.690664,111,107.933485
14.628965,128,108.365501
