#{"t_start": 1760542742.0970132, "env_id": "None"}
r,l,t
7.9993,6,1.678509
7.9989,10,1.950483
7.9988,11,2.020244
7.9988,11,2.020244
7.9987,12,2.091024
7.9989,12,2.511824
7.9979,20,2.655045
7.9991,10,2.656042
7.9992,9,2.725026
7.9978,21,2.725026
7.9986,15,3.053012
-6.0029,28,3.187295
-6.0029,28,3.187295
-6.0029,28,3.187295
7.9989,12,3.326155
7.9992,9,3.326155
7.9994,7,3.558091
7.9993,8,3.762236
7.9993,8,3.897294
-6.0029,30,4.102831
7.9994,7,4.236436
7.9987,14,4.304184
7.9995,6,4.304184
7.9996,5,4.641446
7.9996,5,4.641446
-6.0029,30,4.708447
-6.0029,30,4.708447
-6.0029,30,4.777291
7.9993,8,4.777291
7.9997,4,4.91716
7.9994,7,5.190323
-6.0029,30,5.247186
-6.0029,30,5.247186
7.9990997,10,5.389184
7.9996,5,5.536522
-6.0029,30,5.610139
7.9988,13,5.849479
7.9985,16,5.920502
7.9991,10,5.978776
-6.0029,30,6.182415
7.999,11,6.182415
7.9993,8,6.461237
7.9982,19,6.600821
7.999,11,6.725854
-6.0029,30,6.725854
7.9995,6,6.86454
-6.0029,30,6.86454
7.9984,17,7.006397
7.9988,13,7.075512
7.9995,6,7.144503
7.9993,8,7.144503
7.9993,8,7.407395
-6.0029,30,7.612319
7.9994,7,7.612319
-6.0029,30,7.68614
-6.0029,30,8.247353
7.9987,14,8.3743
7.9986,15,8.650215
7.9986,15,8.72017
7.9995,6,8.785266
-6.0029,30,8.785266
-6.0029,30,8.918181
-6.0029,30,9.050949
-6.0029,30,9.118019
-6.0029,30,9.186457
7.9992,9,9.256084
7.9995,6,9.526804
-6.0029,30,9.658911
7.9988,13,9.658911
7.9995,6,9.919445
-6.0029,30,10.28853
7.9991,10,10.358057
-6.0029,30,10.771072
-6.0029,30,10.83869
-6.0029,30,10.978467
7.999,11,11.046471
-6.0029,30,11.115156
7.9996,5,11.185271
7.9989,12,11.185271
-6.0029,30,11.254147
-6.0029,30,11.312194
7.9994,7,11.451946
7.9996,5,11.522296
7.9992,9,11.650939
-6.0029,30,11.720296
7.9996,5,11.865894
-6.0029,30,11.992464
7.9983,18,11.992464
7.9988,13,12.360046
7.9996,5,12.360046
7.9992,9,12.624908
7.9996,5,12.690225
7.9996,5,13.024406
-6.0029,30,13.1621
-9.0029,30,13.225132
-6.0029,30,13.291718
-6.0029,30,13.357372
7.9991,10,13.692304
-6.0029,30,13.692304
-6.0029,30,13.760176
7.9993,8,13.760176
-6.0029,30,13.899076
7.9989,12,14.112922
7.9987,14,14.112922
7.9995,6,14.179816
7.9992,9,14.382071
-6.0029,30,14.382071
7.9995,6,14.538524
7.9991,10,14.60821
7.9995,6,14.60821
-6.0029,30,14.676698
7.9995,6,14.822571
7.9994,7,14.898052
7.9995,6,14.966156
7.9994,7,15.111513
7.9993,8,15.256122
-6.0029,30,15.464051
7.9992,9,15.54072
7.9995,6,15.54072
-6.0029,30,15.821942
-6.0029,30,15.821942
7.9992,9,15.894027
7.9994,7,16.040129
7.9997,4,16.115583
7.999,11,16.258788
-6.0029,30,16.258788
7.9989,12,16.392704
7.9993,8,16.462996
-6.0029,30,16.730595
7.9993,8,16.822945
7.9995,6,16.822945
7.999,11,16.822945
-6.0029,30,16.9639
-6.0029,30,17.112981
7.9996,5,17.175495
7.9994,7,17.256286
7.9994,7,17.319863
7.9984,17,17.319863
7.9993,8,17.394313
7.9994,7,17.46872
7.9995,6,17.60931
7.9993,8,17.680554
7.9995,6,17.680554
7.9994,7,17.824438
7.9994,7,17.885266
-6.0029,30,17.956718
7.9995,6,18.102651
7.9994,7,18.102651
-6.0029,30,18.375294
7.9994,7,18.4478
7.9995,6,18.506675
-6.0029,30,18.577986
7.9994,7,18.577986
7.9989,12,18.721152
7.9982,19,18.782219
7.9996,5,18.782219
7.9995,6,18.997916
7.9983,18,19.079301
7.9993,8,19.079301
-6.0029,30,19.418825
7.9986,15,19.628338
7.9992,9,19.628338
7.9987,14,19.697391
-6.0029,30,19.765589
7.9995,6,20.031347
7.9996,5,20.101103
7.9982,19,20.101103
7.9989,12,20.230557
7.999,11,20.368726
7.9996,5,20.368726
-6.0029,30,20.437053
7.9994,7,20.574473
7.9994,7,20.701624
7.9977,24,20.701624
-6.0029,30,20.837127
7.9992,9,20.977901
7.9997,4,20.977901
-6.0029,30,21.110858
7.999,11,21.474964
-6.0029,30,21.738047
7.9992,9,21.738047
-6.0029,30,22.144717
7.999,11,22.210371
-6.0029,30,22.410913
-6.0029,30,22.476593
7.9988,13,22.621118
-6.0029,30,22.621118
-6.0029,30,22.880976
7.999,11,22.953596
7.9994,7,22.954099
7.9992,9,23.02465
-6.0029,30,23.02465
-6.0029,30,23.02465
7.9991,10,23.303867
7.9995,6,23.379413
7.9995,6,23.463665
7.9993,8,23.463665
7.9995,6,23.463665
7.9996,5,23.745359
7.9989,12,23.816875
-6.0029,30,23.816875
7.9995,6,23.889235
7.9983,18,23.889235
7.9995,6,23.889235
7.9987,14,24.020915
7.9996,5,24.171986
7.9994,7,24.2324
-6.0029,30,24.2324
7.9995,6,24.304928
7.9994,7,24.377194
7.9993,8,24.377194
7.9989,12,24.856932
7.9994,7,24.856932
7.9989,12,25.053914
7.9988,13,25.122125
7.9984,17,25.338569
-6.0029,30,25.407172
-6.0029,30,25.546056
7.9987,14,25.845037
7.9993,8,25.912494
-6.0029,30,25.977855
7.9994,7,26.045613
7.9995,6,26.320424
-8.0029,30,26.385892
-6.0029,30,26.452496
7.9994,7,26.452496
7.9994,7,26.520795
7.9995,6,26.726177
7.9985,16,26.924516
7.9993,8,26.924516
-6.0029,30,26.924516
7.9994,7,26.990999
7.9992,9,27.058785
7.9995,6,27.125992
-6.0029,30,27.125992
-6.0029,30,27.185445
7.9996,5,27.257155
7.9995,6,27.330131
-6.0029,30,27.472914
7.9996,5,27.472914
7.9995,6,27.611995
7.9993,8,27.611995
7.9994,7,27.611995
7.9994,7,27.816944
7.9996,5,27.816944
7.9989,12,27.816944
7.9993,8,28.047911
7.9995,6,28.047911
7.9995,6,28.264448
7.9995,6,28.265482
7.9982,19,28.265482
7.9991,10,28.326696
7.9994,7,28.326696
7.9996,5,28.400537
7.9995,6,28.472352
-6.0029,30,28.543938
7.9986,15,28.68022
7.9995,6,28.68022
7.9995,6,28.68022
7.9995,6,28.68022
7.9994,7,28.956144
7.9990997,10,29.02837
7.9996,5,29.02837
7.9995,6,29.098975
7.9989,12,29.374772
7.9996,5,29.374772
