#{"t_start": 1760542915.3716068, "env_id": "None"}
r,l,t
9.8967,32,2.454811
9.8965,34,2.630955
9.901299,36,2.770389
9.8757,42,3.190748
9.8657,42,3.190748
9.8349,50,3.759281
9.8692,57,4.264835
9.853299,66,4.959071
9.778,69,5.16911
9.8808,43,5.598624
9.9058,43,5.885953
9.717,79,5.885953
9.8503,48,6.098854
9.906099,40,6.098854
9.8953,48,6.701393
9.870299,48,7.288913
9.8705,46,8.299967
9.9164,37,8.301009
9.8494,57,8.440423
9.9065,36,8.514459
9.8965,36,8.514459
9.911099,40,9.0534
9.8759,42,9.193899
9.904499,56,9.272206
9.885599,45,10.019004
9.8862,39,10.168403
9.8963995,37,11.045638
9.906199,39,11.338108
9.9009,42,11.404799
9.8759,42,11.623786
9.8658,43,12.256555
9.8546,55,12.613954
9.921499,36,12.689358
9.881,41,13.171982
9.916699,34,13.515481
9.8654995,46,14.777215
9.842299,78,14.920937
9.901999,31,14.920937
5.7259083,92,16.010594
9.8812,39,16.366153
9.9219,32,17.242892
5.7583065,68,17.5219
9.8912,39,17.746299
5.7063084,88,17.746299
9.868599,65,17.90951
5.681308,88,18.069341
9.895599,45,18.069341
9.9172,29,18.148113
5.726807,83,18.305294
9.915099,50,20.017014
9.875999,41,20.222746
9.891399,37,20.709624
9.8965,36,20.709624
9.8859,42,20.78449
9.8859,42,21.28954
9.87,51,21.562364
9.8994,57,21.643879
9.8692,59,22.006303
9.9422,29,22.298944
9.875999,41,22.933208
9.921599,35,23.206362
9.8917,34,23.206362
9.8963995,37,23.351298
9.9171,30,24.15965
9.891,41,24.240829
9.9323,28,24.304292
9.896299,38,24.305289
5.6712084,89,24.445498
9.8811,40,24.523697
9.9114,37,25.598533
9.880199,49,26.747511
9.865399,47,26.747511
9.8601,50,26.822291
9.906199,39,27.023754
9.906099,40,27.174241
9.885799,43,27.522713
9.8953,48,27.743951
9.84,51,27.81986
9.895599,45,28.825117
9.901899,32,29.063819
9.8587,64,29.13232
9.901,41,29.736161
9.880899,42,29.924346
9.881,41,30.062016
9.875999,41,30.662731
9.860399,47,30.732332
9.8755,46,31.34363
9.8551,50,31.753617
9.8761,40,32.089188
9.9269,32,32.701487
9.8966,35,32.773348
9.865299,48,32.947594
9.901,41,33.136798
9.840099,50,33.257442
9.8609,42,34.130781
9.8455,46,34.345284
9.9008,43,35.061359
9.9014,37,35.521352
9.870299,48,35.771926
9.9066,35,35.771926
