#{"t_start": 1760542879.6453512, "env_id": "None"}
r,l,t
9.8819,30,2.246142
9.9169,30,2.246142
9.8715,34,2.545644
9.8664,35,2.62289
9.931399,35,2.62289
9.9063,36,2.68275
9.9261,38,2.824019
9.861,39,2.89392
9.869599,53,3.852794
9.823999,59,4.264842
9.901899,32,4.478827
9.9466,35,5.065134
9.8867,34,5.201189
9.8508,43,5.549627
9.936899,32,6.119186
9.906799,33,6.602881
9.869499,56,6.850943
5.787505,76,7.668581
9.9463,38,7.837547
5.742406,77,8.16407
9.915999,41,8.239279
9.8303995,47,9.876309
5.715309,98,10.039306
9.9522,29,10.589248
9.886,41,11.020244
9.9112,39,11.370776
9.772599,75,11.370776
5.772606,75,12.509874
9.9316,35,12.650111
9.8912,39,12.792632
9.952,31,12.867863
5.6236105,115,13.223626
5.766407,87,13.591562
5.727707,74,13.592559
9.957,31,13.673333
9.8701,50,14.779529
9.809999,51,15.194069
9.911099,40,15.482716
9.9521,30,15.482716
9.8761,40,15.759836
9.8854,47,16.104772
9.8814,37,16.324857
9.9314995,36,16.324857
9.934299,58,17.133341
9.9267,34,17.204805
9.7847,54,17.555355
9.9016,35,17.725555
9.926399,37,18.165662
9.9067,34,18.232335
9.890699,44,18.666888
9.9465,36,18.742285
9.866,41,19.339721
9.887,31,19.83238
9.9113,38,19.918905
9.920799,43,20.372935
9.901299,38,20.513851
9.911799,33,20.576384
9.8864,37,21.455234
9.9217,34,21.810852
5.7620077,81,22.224126
9.8867,34,22.374737
5.7742043,59,22.515418
9.8763,38,22.579639
9.9269,32,22.656231
9.927099,30,22.730981
9.901899,32,22.796639
9.941799,33,23.827104
9.9519,32,24.670584
9.915899,42,24.81828
9.952,31,24.953554
9.9113,38,24.953554
9.9066,35,25.168597
9.8714,37,25.445466
9.8907995,43,25.659077
9.9519,32,26.121274
9.909599,55,26.474992
9.9423,28,26.965278
-16.607906,130,28.034997
9.9465,36,28.034997
9.930399,47,28.192621
9.9414,37,28.354886
9.8356,45,28.431148
9.8659,42,29.150621
9.7641,60,29.295124
9.9318,33,29.359392
9.7885,66,29.436527
9.900399,47,29.868792
9.9268,33,30.570549
9.932099,30,30.570549
9.8911,40,30.962147
9.8867,34,31.724998
9.9115,36,31.724998
9.8764,37,32.075198
9.9464,37,33.223259
9.8616,35,33.433464
9.8147,54,33.720641
5.687407,77,33.867935
9.8201,50,34.154953
9.9361,40,34.610961
9.777699,74,34.67733
