#{"t_start": 1760542791.5293791, "env_id": "None"}
r,l,t
7.9971,28,2.053103
7.9964,35,2.553404
7.9954,45,3.236475
7.9979,22,4.048461
7.9934,65,4.692621
-27.009876,98,7.333009
-20.509903,98,7.333009
-24.0099,98,7.333009
7.996,41,7.333009
-14.509903,98,7.333009
-20.509903,98,7.333009
-22.509903,98,7.333009
7.9966,35,7.473871
-6.0099,100,9.491072
7.9959,42,10.346137
7.9958,43,10.558253
-25.00988,100,10.689285
7.9964,37,13.090353
7.9944,57,13.450438
-6.0099,100,14.369098
-38.509872,100,14.369098
-12.509909,100,14.369098
-20.009903,100,14.369098
-32.509865,100,14.369098
-6.0099,100,14.369098
7.9977,24,15.111019
7.998,21,15.793135
7.995,51,16.628853
-21.509903,100,17.22477
-6.0099,100,17.569556
7.9952,49,17.705972
7.9949,52,17.916717
7.9948,53,17.974799
7.999,11,18.31944
7.9981,20,19.080551
-3.507906,80,19.840322
7.9944,57,20.508892
7.9927,74,20.877459
-12.009899,100,21.214059
7.9903,98,21.830459
7.9959,42,21.964543
7.9929,72,22.16225
7.9977,24,23.802691
7.9918,83,24.00449
7.9902,99,24.752127
-6.0099,100,24.752127
7.9986,15,25.767718
7.9923,78,25.834315
-17.009909,100,26.640497
7.9927,74,26.968121
-6.0099,100,27.661935
-6.0099,100,27.997269
7.9951,50,28.134662
7.9907002,94,28.213
7.9982,19,29.312149
7.9964,37,29.511673
7.9986,15,30.534646
-9.009892,100,30.603721
7.9957,44,30.673291
-6.0099,100,30.816005
7.9939,62,30.886596
7.9926,75,30.94468
7.9959,42,31.014313
7.9988,13,31.582212
7.9965,36,31.795025
7.9988,13,31.922017
1.9901,100,32.606007
0.0,1,32.66471
7.9981,20,32.951051
7.9968,33,33.154236
7.9978,23,33.370168
7.9966,35,33.370168
7.9963,38,33.430646
7.9959,42,33.430646
7.9979,22,33.430646
7.9945,56,34.481341
7.9908,93,34.614369
7.9981,20,34.750455
7.9979,22,34.896657
7.9968,33,34.970138
7.9978,23,35.031415
7.9971,30,35.233396
7.9975,26,35.233396
7.9988,13,35.853986
7.998,21,36.230044
7.9953,48,36.310189
7.9974,27,36.518057
7.9977,24,36.580062
7.9971,30,36.580062
7.9954,47,36.719461
7.9991,10,36.990309
7.9974,27,37.128707
7.9982,19,37.882365
7.9961,40,38.026644
7.9985,16,38.092546
7.9955,46,38.257113
7.9973,28,38.531835
7.9969,32,38.738457
7.9959,42,38.810595
7.9971,30,38.810595
7.997,31,39.294998
7.9989,12,39.35515
7.9983,18,39.495412
7.9976,25,39.762184
7.9975,26,39.903872
7.997,31,40.046767
7.9982,19,40.118297
7.9944,57,40.18094
