Wall time,Step,Value
1760542745.566011,320,9.0
1760542747.77546,640,30.0
1760542749.9828641,960,30.0
1760542752.1612842,1280,6.0
1760542754.369771,1600,18.0
1760542756.54942,1920,30.0
1760542758.8311086,2240,30.0
1760542761.0989976,2560,6.0
1760542763.2880905,2880,30.0
1760542765.4807746,3200,6.0
1760542767.7222636,3520,30.0
1760542769.9179473,3840,12.0
1760542772.1729639,4160,10.0
1760542774.3583598,4480,7.0
1760542776.558809,4800,9.0
1760542778.768186,5120,8.0
1760542780.9930258,5440,30.0
1760542783.2064555,5760,6.0
1760542785.4775982,6080,9.0
1760542787.6700974,6400,5.0
1760542789.9150612,6720,11.0
1760542793.862092,7120,28.0
1760542796.1161647,7440,22.0
1760542798.7104394,7760,65.0
1760542801.0257568,8080,100.0
1760542803.2319758,8400,100.0
1760542805.478766,8720,57.0
1760542807.6640122,9040,21.0
1760542809.851958,9360,11.0
1760542812.041808,9680,57.0
1760542814.2296996,10000,72.0
1760542816.4164631,10320,100.0
1760542818.5765693,10640,74.0
1760542820.755641,10960,94.0
1760542822.9534848,11280,42.0
1760542825.1697466,11600,22.0
1760542827.386357,11920,13.0
1760542829.625915,12240,16.0
1760542835.2482135,12860,31.0
1760542837.596266,13180,16.0
1760542839.9169383,13500,45.0
1760542842.2375932,13820,106.0
1760542844.6468568,14140,15.0
1760542846.9679055,14460,35.0
1760542849.3568196,14780,74.0
1760542851.7422743,15100,31.0
1760542854.148792,15420,53.0
1760542856.5542088,15740,35.0
1760542858.9662404,16060,34.0
1760542861.343196,16380,30.0
1760542863.741955,16700,27.0
1760542866.1502504,17020,30.0
1760542868.8541465,17340,16.0
1760542872.3055427,17660,27.0
1760542875.374717,17980,21.0
1760542877.949099,18300,12.0
1760542882.0290368,18690,30.0
1760542884.2655325,19010,32.0
1760542886.578078,19330,56.0
1760542889.1701376,19650,41.0
1760542891.6281755,19970,75.0
1760542894.055514,20290,31.0
1760542896.3297026,20610,36.0
1760542898.6813967,20930,36.0
1760542901.0032866,21250,33.0
1760542903.3084617,21570,32.0
1760542905.6138222,21890,43.0
1760542907.9152179,22210,47.0
1760542910.219429,22530,30.0
1760542912.4966395,22850,37.0
1760542917.829916,23420,32.0
1760542920.1356318,23740,57.0
1760542922.499164,24060,48.0
1760542924.863531,24380,56.0
1760542927.2532096,24700,42.0
1760542929.5182824,25020,34.0
1760542931.87002,25340,39.0
1760542934.2432797,25660,83.0
1760542936.5006828,25980,42.0
1760542938.7950068,26300,37.0
1760542941.110346,26620,37.0
1760542943.4051533,26940,51.0
1760542945.8333356,27260,41.0
1760542948.5134342,27580,41.0
1760542950.8964822,27900,37.0
1760542955.0708854,28250,28.0
1760542957.8173802,28570,43.0
1760542960.726261,28890,50.0
1760542963.3432283,29210,37.0
1760542966.0866177,29530,43.0
1760542968.9164128,29850,38.0
1760542971.6207335,30170,42.0
1760542974.3527663,30490,45.0
1760542977.1686172,30810,43.0
1760542979.9469743,31130,49.0
1760542982.6161537,31450,40.0
1760542985.1545413,31770,37.0
1760542987.742169,32090,40.0
1760542992.0863342,32490,32.0
1760542994.6560616,32810,57.0
1760542997.2076728,33130,61.0
1760542999.7596686,33450,33.0
1760543002.400538,33770,28.0
1760543005.538492,34090,41.0
1760543008.4220636,34410,39.0
1760543011.419699,34730,31.0
1760543014.4121716,35050,52.0
1760543017.3264318,35370,49.0
1760543020.0552719,35690,42.0
1760543022.923664,36010,37.0
1760543025.92018,36330,34.0
1760543031.194703,36790,32.0
1760543034.2096958,37110,62.0
1760543037.028328,37430,55.0
1760543039.6028092,37750,36.0
1760543042.1189644,38070,49.0
1760543044.638159,38390,61.0
1760543047.1824589,38710,40.0
1760543049.665538,39030,48.0
1760543052.1735265,39350,60.0
1760543054.7387702,39670,66.0
1760543057.2765894,39990,42.0
1760543059.8407118,40310,50.0
1760543062.3773308,40630,43.0
1760543064.9478571,40950,27.0
1760543071.3927786,41550,35.0
1760543074.424635,41870,35.0
1760543077.3871198,42190,94.0
1760543080.3870144,42510,115.0
1760543083.4222822,42830,76.0
1760543086.3758185,43150,100.0
1760543089.394423,43470,101.0
1760543092.3264215,43790,84.0
1760543095.2777593,44110,84.0
1760543098.1740806,44430,195.0
1760543101.1172624,44750,147.0
1760543104.037133,45070,204.0
1760543107.0322995,45390,82.0
1760543110.0466633,45710,75.0
1760543112.972123,46030,88.0
1760543115.9760878,46350,88.0
1760543118.9500306,46670,83.0
1760543121.8945613,46990,78.0
1760543124.8217683,47310,82.0
1760543127.7483943,47630,75.0
1760543130.663051,47950,89.0
1760543133.5814593,48270,96.0
1760543136.5200357,48590,93.0
1760543139.482443,48910,269.0
1760543142.4824326,49230,94.0
1760543145.4741416,49550,98.0
1760543148.3851736,49870,92.0
1760543151.3285532,50190,74.0
1760543154.2389545,50510,94.0
1760543157.1843278,50830,108.0
1760543160.1732738,51150,119.0
1760543163.0790818,51470,123.0
1760543169.2060366,52010,94.0
1760543171.9867737,52330,94.0
1760543174.9282749,52650,95.0
1760543177.8315024,52970,117.0
1760543180.624462,53290,155.0
1760543183.5306761,53610,184.0
1760543186.5016003,53930,108.0
1760543189.3835354,54250,117.0
1760543192.2153149,54570,174.0
1760543195.074973,54890,114.0
1760543197.91748,55210,144.0
1760543200.8432164,55530,90.0
1760543203.6826766,55850,108.0
1760543206.5573072,56170,217.0
1760543209.4637146,56490,108.0
1760543212.3468616,56810,103.0
1760543215.1931062,57130,117.0
1760543218.0490746,57450,95.0
1760543220.9080722,57770,103.0
1760543223.7489357,58090,112.0
1760543226.600451,58410,94.0
1760543229.4593642,58730,88.0
1760543232.2906075,59050,94.0
1760543235.1162927,59370,101.0
1760543237.9652562,59690,83.0
1760543240.797733,60010,85.0
1760543243.6275382,60330,104.0
1760543246.5072682,60650,94.0
1760543249.3401444,60970,95.0
1760543252.162993,61290,91.0
1760543255.0354214,61610,100.0
1760543257.8812468,61930,84.0
1760543260.6924925,62250,107.0
1760543263.598778,62570,106.0
1760543269.9837954,63140,116.0
1760543272.7057023,63460,116.0
1760543275.5806875,63780,90.0
1760543278.4934669,64100,114.0
1760543281.2790947,64420,129.0
1760543284.0694487,64740,129.0
1760543286.96906,65060,94.0
1760543289.8262582,65380,106.0
1760543292.570144,65700,106.0
1760543295.4409907,66020,122.0
1760543298.3368723,66340,113.0
1760543301.1173089,66660,138.0
1760543303.9256964,66980,113.0
1760543306.8077924,67300,111.0
1760543309.6488006,67620,121.0
1760543312.467322,67940,107.0
1760543315.3277051,68260,104.0
1760543318.1867604,68580,135.0
1760543321.0084524,68900,163.0
1760543323.81924,69220,99.0
1760543326.6725774,69540,96.0
1760543329.5103395,69860,107.0
1760543332.3114347,70180,111.0
1760543335.164278,70500,122.0
1760543338.0118134,70820,116.0
1760543340.8115005,71140,119.0
1760543343.662704,71460,117.0
1760543346.5268393,71780,114.0
1760543349.3319912,72100,104.0
1760543352.1565032,72420,104.0
1760543355.0038853,72740,105.0
1760543357.8564594,73060,108.0
1760543360.6786692,73380,119.0
1760543363.5237155,73700,115.0
1760543366.4938025,74020,105.0
1760543369.2820413,74340,125.0
1760543375.4070091,74910,117.0
1760543378.2453825,75230,117.0
1760543381.0538826,75550,117.0
1760543383.7670305,75870,124.0
1760543386.537921,76190,153.0
1760543389.390186,76510,179.0
1760543392.1606743,76830,100.0
1760543394.9151719,77150,128.0
1760543397.7964609,77470,145.0
1760543400.6587405,77790,145.0
1760543403.4832857,78110,116.0
1760543406.2480867,78430,119.0
1760543409.077016,78750,119.0
1760543411.9897857,79070,120.0
1760543414.8480308,79390,102.0
1760543417.6754453,79710,149.0
1760543420.5507703,80030,149.0
1760543423.3674257,80350,110.0
1760543426.1710742,80670,110.0
1760543428.9228027,80990,198.0
1760543431.75613,81310,116.0
1760543434.6525478,81630,129.0
1760543437.4376745,81950,127.0
1760543440.2806194,82270,125.0
1760543443.1978564,82590,168.0
1760543446.0746253,82910,111.0
1760543448.958065,83230,111.0
1760543451.8174706,83550,132.0
1760543454.6709049,83870,102.0
1760543457.5665505,84190,130.0
1760543460.3836849,84510,110.0
1760543463.191345,84830,127.0
1760543466.0188022,85150,126.0
1760543468.817314,85470,106.0
1760543471.598059,85790,136.0
1760543474.396028,86110,95.0
1760543477.2200801,86430,128.0
1760543479.9975631,86750,96.0
1760543485.152707,87180,111.0
1760543488.0395138,87500,111.0
1760543490.9452007,87820,111.0
1760543493.746546,88140,111.0
1760543496.5801954,88460,111.0
1760543499.3693316,88780,111.0
1760543502.1250658,89100,111.0
1760543504.9486752,89420,254.0
1760543507.837282,89740,288.0
1760543510.7350264,90060,288.0
1760543513.6352232,90380,288.0
1760543516.4561286,90700,372.0
1760543519.2965758,91020,398.0
1760543522.1172516,91340,398.0
1760543524.990449,91660,398.0
1760543527.7472658,91980,398.0
1760543530.5427191,92300,398.0
1760543533.3621159,92620,319.0
1760543536.112364,92940,333.0
1760543538.9801736,93260,400.0
1760543541.8510594,93580,268.0
1760543544.8411684,93900,313.0
1760543547.7544036,94220,313.0
1760543550.62574,94540,313.0
1760543553.4183657,94860,313.0
1760543556.2343261,95180,313.0
1760543559.0503247,95500,243.0
1760543561.8780956,95820,243.0
1760543564.6952565,96140,230.0
1760543567.5659747,96460,400.0
1760543570.3873239,96780,400.0
1760543573.246314,97100,400.0
1760543576.1381855,97420,400.0
1760543579.0012114,97740,400.0
1760543581.8535936,98060,400.0
1760543584.660506,98380,309.0
1760543587.3908968,98700,315.0
1760543590.2163403,99020,315.0
1760543593.0053906,99340,195.0
1760543595.8098934,99660,400.0
1760543598.6225698,99980,227.0
1760543601.4493358,100300,376.0
1760543604.320771,100620,185.0
1760543607.1491964,100940,185.0
1760543610.029043,101260,173.0
1760543612.8757248,101580,173.0
1760543615.7236345,101900,168.0
