#{"t_start": 1760634391.9996917, "env_id": "None"}
r,l,t
-39.627903,298,26.59815
-32.1279,298,26.59919
-33.6279,298,26.59919
-39.62793,298,26.59919
-38.62793,298,26.59919
-45.127956,298,26.59919
-31.1279,298,26.59919
-38.6279,298,26.59919
-42.127934,298,26.59919
-37.1279,298,26.59919
-41.127903,300,53.115521
-39.127926,300,53.115521
-36.6279,300,53.115521
-36.6279,300,53.115521
-43.127968,300,53.115521
-31.627897,300,53.115521
-36.6279,300,53.115521
-32.6279,300,53.115521
-36.6279,300,53.115521
-35.6279,300,53.115521
1.1871929,209,71.627705
1.1699924,221,72.666581
1.147193,229,73.362132
1.1489925,231,73.53865
-5.939007,271,77.105102
-2.941908,280,77.89317
-5.9935064,296,79.30056
-30.627897,300,79.674592
-28.075876,300,79.674592
-20.035904,300,79.674592
-1.3099089,220,91.114039
1.1571922,229,93.832296
0.6613922,227,97.155251
-5.9457073,278,97.958053
-7.499606,297,98.918743
0.69538975,227,99.746734
-4.362606,227,99.746734
-40.127922,300,104.367044
-5.987707,298,105.633419
-21.529903,300,106.181037
1.1830931,210,112.328769
-4.9312077,273,115.084658
1.201292,208,117.996272
0.6826925,214,118.507598
1.1036911,264,120.358158
-4.9205103,286,123.115042
-5.954007,281,123.648528
1.1394911,246,126.052465
1.158391,237,127.005174
-5.9895067,296,131.581873
1.1879911,221,134.439986
0.14898682,271,136.005075
1.1563911,237,139.201197
0.60908985,270,141.534844
1.1630917,230,143.103728
1.1258898,262,143.187203
1.1971922,209,145.142775
1.1585913,235,146.447007
0.10058975,275,147.556855
1.1381893,259,154.04622
0.6897907,223,155.362462
1.2057896,223,158.494328
-14.9999075,300,160.379783
0.15169048,244,162.649708
0.1732912,228,162.904962
1.1624908,236,163.542641
1.170991,231,165.108163
1.1898909,222,165.626497
0.11009121,260,170.067151
0.20259094,215,173.929493
9.832099,160,176.510188
-0.29760933,217,179.255099
1.076788,293,179.428287
1.1040916,260,181.134304
0.6099911,261,186.349834
0.120791435,253,187.216726
0.63218975,259,188.260743
-18.107899,300,189.14522
1.1385899,255,192.399121
-0.3071108,232,194.30814
1.2296934,184,195.588636
7.9923,78,195.950166
9.886999,111,198.025276
9.876899,132,198.796794
1.098589,275,200.761782
-1.3132105,233,201.63082
0.57409,280,203.900621
1.1652918,228,206.361826
9.8703985,137,207.692769
9.861099,130,209.404538
9.866199,139,211.00285
9.908299,98,212.513543
1.1342926,238,213.327723
1.2063932,197,213.327723
1.1659927,221,213.761594
1.1960936,200,218.294
8.383301,148,219.33705
8.885899,122,221.730149
9.890499,116,222.715989
0.12739182,247,223.326183
9.386399,117,223.590639
8.3365,156,227.03406
1.1638927,222,227.209877
0.17909336,210,227.911518
8.884099,120,228.858804
8.871099,130,230.770282
8.893199,109,231.32033
1.1850929,210,232.197866
8.4041,100,232.375062
9.883699,124,234.278254
9.370799,133,234.452721
9.906199,99,235.93175
9.871799,123,239.647871
9.905799,103,240.333158
9.883999,121,241.40791
9.398699,114,242.218911
9.875399,127,243.539577
9.890799,113,244.310797
8.892499,116,244.406198
0.6272917,248,248.789579
8.381201,149,248.963652
9.866599,135,251.475351
9.882399,117,251.650718
7.408699,114,252.178081
9.888699,114,253.562883
9.8895,106,253.740535
-14.035904,300,254.272135
9.883999,121,254.98892
5.3923097,198,257.897167
8.884199,119,259.545791
9.892899,112,261.405113
9.881598,125,263.297631
9.396999,111,264.074165
9.881399,127,264.980012
9.884599,115,265.154253
9.347399,147,266.55233
-15.270632,208,267.171766
9.881899,122,268.580379
9.882399,117,271.696807
0.6592922,228,271.775388
9.905099,110,272.915628
9.395399,107,273.46974
9.892799,113,275.054844
9.379398,127,276.152902
9.353098,190,276.235455
9.901699,104,276.332832
9.894899,112,276.417471
9.888599,115,278.650486
9.390799,113,281.609102
9.886399,117,282.035762
6.8957987,123,283.703677
9.888299,118,283.797013
9.405999,101,285.131016
9.893099,110,285.752494
9.386399,117,286.472417
9.880199,119,286.831019
9.864199,139,287.281868
9.890499,116,292.18489
9.871199,129,292.895374
9.869498,166,293.157061
9.904599,95,294.033748
9.875099,130,295.189444
9.905999,101,295.638248
9.873699,124,295.991483
9.886999,111,296.179229
9.873299,128,298.477426
7.8772993,188,300.220656
9.885899,122,302.837941
9.887799,123,303.603082
9.897299,108,305.340022
9.888099,120,306.581383
9.878599,135,306.952566
9.877499,146,308.341209
9.854298,178,309.585367
9.875198,129,309.677715
1.1807928,213,311.79796
9.890499,116,313.034168
9.882499,116,313.809824
9.392699,114,315.40014
9.912999,91,317.691896
9.875399,127,317.789583
9.868699,134,318.755799
9.875599,125,320.594375
9.851799,143,320.964248
9.894399,117,322.096565
0.073693275,264,323.302647
9.879899,122,323.760891
9.870998,131,325.335498
9.879199,129,326.734786
9.899799,103,326.816043
9.890499,116,327.85239
9.881399,127,329.868906
9.899599,105,330.116211
9.875499,126,331.63357
9.879599,125,333.034023
9.890499,116,333.917299
9.891099,110,335.002935
9.872799,133,335.002935
9.890799,113,336.651311
9.899699,104,336.997763
