#{"t_start": 1760633906.1423821, "env_id": "None"}
r,l,t
9.9826,13,1.091936
9.9781,18,1.455217
9.9636,23,1.802598
1.9633989,25,1.94013
9.9711,28,2.153921
9.9886,15,3.228597
6.4879,22,3.384008
7.4351997,47,3.526414
4.918302,56,4.175378
5.486602,35,4.456572
8.4295,46,4.744821
9.9656,25,5.051235
8.4909,12,5.336273
1.3624992,74,5.474435
-5.6205006,66,5.83461
9.9676,25,6.851151
2.412899,52,7.276738
-4.097701,58,7.555043
-7.0958014,59,8.934425
-9.6165905,67,10.21638
-40.2949,148,10.714861
-36.812897,148,10.714861
-0.5707016,48,10.936274
9.9779,22,11.792096
-8.664795,89,12.155698
-12.71109,112,12.155698
0.44679928,33,13.075041
9.4082,59,13.150586
-14.008472,86,13.371901
7.474,21,13.65549
1.957099,30,13.960048
9.976,21,14.60291
7.4866,15,15.051551
-32.792892,150,16.090241
8.9481,40,16.090241
-0.5535011,36,16.319642
-21.753784,139,16.829283
5.4525013,36,17.271105
-6.1751003,92,17.641609
-1.1437006,78,17.856576
9.9676,25,17.935853
8.974,21,18.353111
-1.1251011,72,18.664909
-0.7109003,110,18.729568
6.432,41,19.095953
4.4507008,34,20.100999
6.4737997,23,20.385376
5.9691005,30,20.820654
8.464499,36,20.984347
1.4694967,46,21.208657
-4.625001,71,21.525578
-6.6550016,91,21.755202
4.889302,68,22.287287
9.8941,60,22.367616
7.9981,20,22.513005
9.9823,18,22.873629
5.444601,35,23.031193
9.969,31,23.178986
9.9256,45,23.49878
5.392001,61,23.64137
9.9909,12,23.916074
9.9552,29,23.916074
3.9678998,22,23.991729
6.4632,29,24.426018
8.4818,23,24.568537
6.9868,13,24.939651
6.4718,23,25.162409
5.434201,39,25.393949
11.9826,15,25.544872
9.9719,22,26.225017
7.4404,37,26.373962
3.4926949,74,26.751678
4.9981003,20,27.048772
9.979799,23,27.116291
5.9268017,53,27.116291
8.4456005,45,27.263297
7.4293003,48,27.487678
9.9548,33,27.63102
8.9359,42,28.078044
9.9908,13,28.078044
6.9531,30,28.618864
7.9507003,34,28.77247
9.9804,17,29.372542
8.453,31,29.450956
9.9615,26,29.597471
7.9487,34,30.029808
9.4377,44,30.317742
8.4838,23,30.317742
6.4758,23,30.462649
5.9127016,54,30.782811
1.4193993,47,31.628744
9.9802,19,31.93396
9.981999,21,31.93396
7.3939004,62,31.93396
5.448801,33,32.079957
5.9552007,29,32.225517
4.934201,39,32.373203
6.9337,44,32.659498
9.9866,15,33.054759
8.4551,30,33.054759
6.9758997,22,33.574858
9.9908,13,33.658723
6.4509,32,34.022503
7.9508,33,34.386005
5.9547014,34,34.607953
6.9634,27,35.053077
5.9464006,37,35.130764
7.4539,42,35.359964
3.963399,27,35.573429
6.9763002,18,35.731236
2.4610996,30,35.875077
2.8646994,74,35.875077
9.986199,19,36.549046
6.9784,17,36.615879
9.9885,16,36.924576
9.9862995,18,37.23447
2.893999,61,37.607236
8.9864,17,37.856198
9.9864,17,37.939353
4.906801,53,38.008067
6.4235,46,38.088371
9.9548,33,38.088371
9.989699,24,38.763124
9.9847,14,38.917794
6.9090004,51,38.917794
8.986199,19,39.514206
5.915101,50,39.666527
6.4588,33,39.73528
6.4532003,29,39.817527
9.9867,14,39.817527
9.9612,29,40.197163
9.9531,30,40.349022
5.944501,36,40.647824
6.9783,18,41.022307
9.9573,28,41.022307
9.9782,19,41.165272
7.4678,23,41.529374
5.967401,27,41.529374
7.951,31,42.12783
6.4614,27,42.358228
9.9571,30,42.429407
6.4762,19,42.607085
6.9699,22,42.694046
9.9845,16,42.764886
3.9487991,33,43.152933
9.9867,14,43.221734
1.8921995,59,43.371661
7.9488,33,43.520581
9.9909,12,43.520581
9.9883995,17,43.66855
7.9867,14,43.814615
9.98,21,44.040475
8.4406,35,44.184488
9.9866,15,44.250311
8.9843,18,44.858764
7.4488,33,45.182893
9.9865,16,45.479896
9.969399,27,45.713471
7.9929,12,45.783086
9.9654,27,45.862144
5.448801,33,46.004565
6.9504,37,46.153705
4.430001,41,46.303456
6.955,31,46.384259
9.9908,13,46.453059
9.9909,12,46.894156
7.9846,15,46.975231
7.474,21,47.280767
9.4299,42,47.349352
6.9761,20,47.824543
6.4445,36,47.893938
6.9552,29,47.976332
9.9887,14,48.044726
7.4655,26,48.124861
9.9909,12,48.274736
9.9866,15,48.931182
8.450601,35,49.012134
9.9866,15,49.082365
6.9466,35,49.082365
9.457,31,49.231832
8.4802,19,49.312646
7.4698,23,49.999025
5.440401,37,50.08161
9.9867,14,50.150286
9.9552,29,50.231277
8.9782,19,50.441128
7.4821,20,50.599548
8.4803,18,50.669024
9.977799,23,50.968461
7.4825,16,51.198111
9.9257,44,51.421699
6.4488,33,51.421699
9.9887,14,51.651534
7.9981,20,51.729376
5.973901,22,51.796272
6.9698,23,52.177227
9.9931,10,52.415403
9.979799,23,52.415403
9.9846,15,52.561141
7.9466,35,52.704871
8.4842005,19,52.856932
9.9865,16,53.016922
6.4593,28,53.10184
9.9908,13,53.401884
9.9909,12,53.629962
7.9721003,20,53.697526
7.9888,13,53.846501
9.9844,17,53.846501
9.9421,40,54.207482
8.4447,34,54.274189
9.9823,18,54.425109
7.955,31,54.75355
9.9904995,16,54.833758
7.4551,30,55.273114
9.9887,14,55.273114
9.9886,15,55.41181
8.4552,29,55.553151
7.9632,29,55.994959
7.9692,29,55.994959
9.9868,13,56.351953
6.4593,28,56.87989
6.951,31,57.050144
9.9864,17,57.287123
7.4634,27,57.287123
9.9614,27,57.287123
1.4631963,49,57.356874
5.967701,24,57.356874
9.973599,25,57.892169
9.993,11,57.892169
9.9845,16,58.115484
9.9888,13,58.25674
6.9066,55,58.550993
7.4803,18,58.618909
8.9591,30,58.618909
9.9862,19,58.765451
9.981899,22,58.911444
9.9761,20,59.373081
9.9507,34,59.9013
8.4634,27,59.9013
9.9781,20,60.049913
6.4593,28,60.197022
8.4778,23,60.345665
7.9776,25,60.646297
5.467701,24,60.727957
9.9528,33,60.728955
7.9972,29,60.798216
9.9888,13,60.87838
9.9843,18,61.235891
7.9783,18,61.397713
7.955,31,61.696203
9.984,21,61.934651
9.9824,17,62.023025
9.9634,27,62.242059
9.978,21,62.326185
9.9741,20,62.326185
7.9783,18,62.639547
9.9908,13,62.711843
9.9741,20,62.945552
8.9509,32,63.097147
9.9887,14,63.315658
9.9823,18,63.315658
9.9907,14,63.396691
9.978,21,63.614428
9.9824,17,63.614428
9.9909,12,63.614428
6.9342003,39,63.842409
7.4761,20,64.144164
9.9844,17,64.214272
7.9825,16,64.311459
9.991,11,64.673259
9.9803,18,64.761957
9.9761,20,64.831357
9.9843,18,64.982386
7.9782,19,65.064212
9.9866,15,65.421435
8.9573,28,65.421435
7.9721003,20,65.646844
7.9611,30,65.870866
8.9799,22,66.35266
7.9803,18,66.428025
9.955,31,66.580414
9.9634,27,66.901153
9.9762,19,66.901153
9.9822,19,67.138717
9.9592,29,67.21094
7.9507003,34,67.362396
8.474,21,67.510524
8.9823,18,67.96142
11.9758,23,68.19985
9.948299,38,68.355055
7.9762,19,68.355055
9.9759,22,68.576604
9.9719,22,68.802791
9.9615,26,69.201852
6.9758,23,69.284936
7.9986,15,69.354529
9.988,21,69.585485
6.9398003,43,69.654168
9.9864,17,69.882258
9.9678,23,70.10392
