#{"t_start": 1760634087.302088, "env_id": "None"}
r,l,t
9.9671,28,2.342187
9.967,29,2.423264
9.9647,32,2.646073
9.9626,33,2.750107
9.9625,34,2.821848
9.9584,35,2.904676
9.9602995,36,2.987545
9.9581995,37,3.057423
9.9581995,37,3.057423
9.9581995,37,3.057423
7.4585,36,5.195236
7.9566,35,5.713349
7.9500003,41,5.713349
7.9585,36,5.960094
7.9559,42,6.047017
7.4603996,37,6.047017
9.9560995,40,6.286791
7.4519,42,6.374229
7.9533,48,6.611519
7.9472003,49,6.776623
9.971,31,8.18898
9.9689,32,8.493467
9.962,41,8.493467
9.9646,35,8.493467
9.9667,34,8.722259
9.9669,32,8.874013
9.9685,36,9.115691
9.960199,39,9.115691
9.9668,33,9.342099
9.964499,36,9.426609
7.9648,33,11.103898
8.4585,36,11.353591
7.454,41,11.429058
8.9627,34,11.82832
8.441401,47,12.472466
9.9471,50,12.472466
7.9539003,42,12.792744
7.4474,47,13.129163
8.4385,56,13.360064
8.436601,55,13.516803
9.9664,37,14.085194
9.966599,35,14.161134
9.966599,35,14.242787
9.9711,30,14.242787
9.969,31,15.22629
9.964499,36,15.310678
9.9667,34,15.802597
9.9667,34,16.030334
9.9574995,46,16.113419
9.9667,34,16.189439
8.4606,35,16.974933
8.456,41,17.298818
7.9517,44,17.618756
7.9647,34,17.947553
9.9428,53,18.441004
9.949599,45,18.922942
9.9713,28,19.242333
7.4542,39,19.332058
8.449901,42,19.405995
7.9435,46,19.49004
7.4498,43,19.562475
9.9668,33,19.96155
9.968699,34,20.371616
9.971,31,20.460151
9.9711,30,20.861984
9.9625,36,21.785781
9.9711,30,21.785781
9.9689,32,22.105521
9.9622,39,22.41969
9.9641,40,22.649424
9.9395,46,22.88597
7.9521003,40,23.13852
7.4516997,44,23.864385
7.9435,46,24.104834
9.9414,47,24.590141
9.4602995,38,24.839698
9.9647,34,25.632178
9.947599,45,25.725013
9.936999,51,25.877677
9.9649,32,26.43028
9.9539995,41,26.43028
9.968699,34,26.810209
9.934199,59,27.132695
9.934299,58,27.289165
9.968599,35,27.363369
9.9623995,37,27.761296
9.9711,30,28.251727
9.9667,34,28.406988
9.4604,37,29.348038
9.9689,32,29.666475
9.9396,45,29.985016
9.95,41,30.061003
8.934299,58,30.221374
9.9494,47,31.038487
9.947499,46,31.038487
9.9478,43,31.676988
9.9689,32,31.910113
9.9415,46,32.064202
9.9689,32,32.617229
9.964499,36,32.856169
9.953899,42,33.016868
9.921499,66,33.016868
9.9646,35,33.016868
9.9668,33,33.667288
9.9545,36,33.910899
9.964399,37,34.616291
9.9688,33,34.700185
9.9563,38,34.928555
9.9668,33,35.659955
9.964399,37,36.00566
9.451799,43,36.082836
9.9459,42,36.24531
9.962999,31,36.405176
9.9558,43,36.489926
7.948,41,36.963772
9.9713,28,37.199068
8.952,41,37.920138
7.4532995,48,38.562205
9.9668,33,38.881399
9.975599,25,38.95847
9.9439,42,39.043589
7.9566,35,39.201563
9.9646,35,39.277315
9.96,41,39.360517
9.941299,48,39.821114
7.4523,38,40.21666
9.9734,27,40.679333
9.962299,38,40.915572
9.9712,29,41.310596
9.968699,34,41.85448
9.9712,29,42.088452
9.4498,43,42.24651
8.4496,45,42.488163
7.9499,42,42.646623
9.9642,39,43.278582
6.4209003,52,43.351256
9.9713,28,44.470787
9.9541,40,44.470787
7.9492,49,44.553125
9.947499,46,44.553125
9.9542,39,45.178965
9.9625,36,45.337095
9.9414,47,45.571943
9.9713,28,45.571943
9.960199,39,45.732867
9.9544,37,46.222816
9.969,31,47.008583
9.9668,33,47.094963
9.9626,35,47.321853
9.9711,30,47.553732
9.945399,47,48.160917
9.9733,28,48.395968
9.9541,40,48.481294
9.9601,40,48.733763
9.952,41,48.979089
9.947599,45,49.137547
9.9608,33,49.92714
9.4459,42,50.337583
9.9713,28,50.754865
9.945399,47,50.826272
9.9667,34,50.911676
9.947599,45,51.158548
9.950399,37,51.397838
9.9668,33,51.624442
9.9606,35,51.933432
9.4712,29,52.244978
9.9755,26,52.404285
7.9474,47,52.487558
9.9711,30,53.171223
9.973499,26,53.171223
9.9711,30,53.745042
9.4542,39,53.975241
9.9546995,34,54.289593
9.945399,47,54.453313
9.964499,36,55.329458
9.9437,44,55.402987
6.9397,44,55.718313
9.9545,36,56.033713
9.9431,50,56.37039
9.9541,40,56.37039
9.9688,33,56.612384
9.969,31,56.768892
9.9689,32,56.991726
9.9733,28,57.605412
9.971,31,58.148417
9.9541,40,58.462995
9.9713,28,58.537469
9.9607,34,58.719404
9.935699,64,58.803909
9.960199,39,59.42029
9.9522,39,59.655462
9.948,41,59.979143
9.9519,42,60.295511
9.9607,34,60.295511
9.952,41,61.420758
9.9505,36,61.420758
9.9667,34,61.506381
9.960199,39,61.577856
9.9544,37,61.660512
9.969,31,62.124159
