#{"t_start": 1760634150.4782012, "env_id": "None"}
r,l,t
9.965,29,2.450387
9.9585,34,2.854449
9.9584,35,2.938851
9.9498,41,3.405049
9.435699,42,3.479726
8.945499,44,3.637513
9.9527,52,4.272829
9.9204,55,4.515359
9.912,59,4.82947
8.888499,74,6.035067
9.453899,42,6.19549
9.452,41,6.19549
9.948299,58,7.084282
9.945499,46,7.084282
9.447499,46,7.32426
8.4428005,53,7.732189
9.947399,47,8.077607
9.448,41,8.152186
9.945399,47,8.312787
9.9713,28,8.472371
9.952,41,9.338724
9.965099,30,9.499294
9.9649,32,9.659269
7.4537997,43,9.659269
9.9649,32,9.87915
9.9691,30,10.114826
9.9669,32,10.671983
9.9587,34,10.756034
9.9669,32,10.828031
9.9521,40,11.610949
9.9503,38,12.337762
9.9563,38,12.497629
9.9542,39,12.737938
9.9498,43,13.085501
9.95,41,13.411311
9.439199,49,13.832987
9.9563,38,13.832987
9.9477,44,14.397705
9.9368,53,14.969836
9.955999,41,14.969836
9.967,31,15.046113
9.9669,32,15.363368
9.973599,25,15.446918
9.9691,30,15.519307
9.951799,43,15.849921
9.969299,28,16.092369
9.9669,32,16.412585
9.9712,29,16.729178
9.9608,33,17.621229
9.9605,36,17.86835
9.9524,37,18.021896
9.9602995,38,18.90087
9.4458,43,18.985241
9.941299,48,19.2186
9.438999,51,19.537191
9.473499,26,19.694865
9.943199,49,20.010598
9.936899,52,20.580492
9.9324,57,21.29443
9.9373,48,21.706299
9.9669,32,21.780612
9.9586,35,21.782047
9.4713,28,21.782047
9.9541,40,22.088834
9.9407,54,22.326181
9.9671,30,22.400352
9.9435,46,23.355281
9.962299,38,23.60375
9.967,31,23.760477
8.9713,28,23.915587
9.9733,28,24.29248
9.9521,40,24.921362
7.9456,45,25.334806
9.9543,38,25.334806
9.9471,50,25.736603
9.9477,44,25.916755
9.9562,39,26.478695
9.952,41,26.869418
9.971399,27,27.112854
9.951799,43,27.184585
9.967199,29,27.648332
9.945299,48,27.733964
7.4413,48,28.126181
9.9625,36,28.211024
9.9669,32,28.283668
9.9667,34,28.609829
9.969299,28,29.084229
9.9563,38,29.482934
9.9586,35,29.961578
9.9564,37,30.037073
9.9628,33,30.352935
9.4563,38,30.668578
9.9623995,37,31.09054
9.9457,44,31.734805
9.951799,43,31.734805
7.9521003,40,31.810904
9.4649,32,32.058683
9.9541,40,32.314099
9.4646,35,32.885336
9.953799,43,33.440371
