#{"t_start": 1760634184.9686103, "env_id": "None"}
r,l,t
9.9626,33,2.685086
8.9563,36,2.913814
9.9499,40,3.217855
9.9578,41,3.299766
9.4654,45,3.610337
9.957199,47,3.765821
9.9591,48,3.837582
9.953099,48,3.837582
9.9387,52,4.135492
9.9506,53,4.2151
9.9574995,46,6.417051
9.947499,46,6.786753
9.9498,43,7.102032
9.4388,53,7.256577
9.9539995,41,7.32857
9.9337,64,7.589012
9.955299,48,7.81805
9.942599,55,8.05643
9.439799,63,8.595596
9.937099,70,8.994282
9.9671,30,9.452726
9.9732,29,9.607276
9.965699,44,9.836658
9.9713,28,9.988565
9.451599,45,10.311423
9.9625,36,10.394082
8.9519,42,10.544876
9.4669,32,11.069165
9.957,51,11.993417
9.962,41,12.147712
9.9564,37,12.296793
9.948,41,12.806969
9.958799,33,12.890238
9.951699,44,13.432209
9.9435,46,13.432209
9.45,41,13.589851
9.967,31,14.739837
8.4564,37,15.069175
8.934799,53,15.218216
9.9648,33,15.438497
9.945799,63,15.438497
9.945399,47,15.667081
9.963499,46,16.360548
9.9601,40,16.520428
9.969899,42,16.828889
9.9577,44,16.828889
9.9669,32,17.675719
9.4604,37,17.89917
9.4643,38,18.36059
9.953899,42,18.675888
9.948999,51,18.675888
9.967699,44,19.049811
9.9521,40,19.43656
9.4545,36,19.590025
9.947599,45,20.296627
9.971399,27,20.766313
9.969,31,21.074365
9.948099,60,21.148554
9.9477,44,21.754198
9.4484,57,22.061402
9.944599,55,22.14855
9.4563,38,22.372995
9.9507,54,23.251684
9.9681,40,23.409345
9.4591,50,23.482848
9.9647,34,23.782881
8.9477,44,24.163052
9.9604,37,24.626688
7.4648,33,24.698415
9.9633,48,25.790039
9.9668,33,25.790039
9.941199,49,26.166041
9.9331,70,26.474843
9.943199,49,27.240864
8.936999,51,27.327524
9.9634,47,27.836009
9.9479,42,27.997028
9.9486,55,28.067983
9.965099,30,28.526575
9.934199,59,29.226915
9.4409,52,29.851829
9.946699,54,30.026544
9.959499,46,30.098978
9.9585,36,30.797004
9.9557,44,30.797004
9.962799,53,31.399783
9.957199,49,31.869853
9.9626,35,31.942808
9.9713,28,32.024816
9.943399,47,32.179617
9.944399,57,32.260154
9.9514,47,33.66167
9.4481,40,33.885822
9.953899,42,34.037254
9.9566,35,34.640969
9.9564,37,34.724283
9.9522,39,35.282822
9.965799,43,35.516561
9.9508,53,36.128686
9.9629,32,36.353465
