#{"t_start": 1760635156.115858, "env_id": "None"}
r,l,t
15.362595,129,11.930169
17.352493,138,12.758795
17.822899,158,14.567165
11.3305,162,14.949924
15.824697,168,15.506595
17.803097,172,15.886564
16.309399,173,15.988755
15.816391,175,16.18223
17.296597,185,17.133342
16.264994,213,19.729655
17.846893,148,25.492136
17.368694,134,26.874549
17.366596,131,27.875945
16.858997,127,28.669409
16.831295,164,29.937536
17.335896,158,29.938591
17.337795,159,30.670492
16.284996,207,31.690706
16.817299,176,35.664253
17.775608,225,36.472152
17.346699,142,39.830434
17.356596,139,42.677256
17.332994,163,42.76547
16.8413,156,42.951885
17.303997,193,43.139344
17.847494,150,44.461775
17.830097,164,45.012758
17.837494,158,46.25323
17.857296,132,47.936229
17.341696,144,49.851302
17.328594,159,54.568608
17.868494,140,55.919936
17.862198,131,57.137727
17.340595,159,57.409577
17.841099,146,57.952818
17.365593,137,60.522871
17.806395,197,61.320731
16.7838,215,62.60441
17.314594,179,62.692313
16.797394,183,66.612817
17.334293,162,70.685957
17.845293,160,71.700016
17.857594,153,71.886547
17.839794,159,71.886547
16.774395,197,72.521765
17.840595,155,74.653639
16.346994,151,75.111487
16.290396,189,79.835791
16.779993,201,81.011324
17.333595,165,81.666762
17.358196,127,83.39489
17.327297,160,85.417294
17.828592,175,87.949841
17.830395,177,88.13019
16.827492,178,88.869754
17.839493,170,90.240222
17.805796,179,91.569243
17.839993,145,94.356833
17.858791,157,96.061425
17.818295,182,96.511549
16.858593,151,97.201382
17.347895,170,101.022675
16.835194,149,103.917603
17.347198,141,104.458595
17.823795,183,104.744164
17.793793,187,105.295272
17.296694,186,105.947955
17.325897,162,109.263989
17.846996,139,109.353706
17.842896,152,110.056526
17.832396,153,111.265777
17.813995,173,116.824763
17.328999,155,118.125745
17.824396,165,119.570288
17.816797,165,119.841706
17.326195,171,120.958413
17.840595,143,122.404563
17.830093,180,122.404563
17.360294,142,123.052558
17.850794,145,124.501008
15.333893,170,124.773429
17.353397,135,129.151227
17.819595,161,132.805492
17.345295,152,133.452302
16.851698,136,134.815489
17.316196,159,135.50198
17.853296,140,135.880023
17.812593,183,136.625827
13.311995,169,137.890408
15.814593,155,138.732227
17.343494,158,139.286351
16.866398,121,144.531634
16.350697,142,145.807004
17.8434,147,148.277345
16.759392,211,148.45684
17.365694,120,148.825728
17.342194,143,148.912553
17.341898,142,149.57052
17.342796,157,149.863375
17.351196,137,151.280027
17.352192,151,153.117872
17.861895,142,158.860726
17.873497,122,159.516102
14.305693,168,159.97185
17.355698,132,161.077554
17.841396,147,162.019235
15.315693,156,163.202536
17.857794,135,163.643644
17.329796,167,164.928382
15.294292,178,166.213803
17.330397,157,167.498532
17.871197,121,172.13366
14.336391,145,172.767715
17.320496,164,173.885305
17.786995,175,176.015256
17.844196,147,176.684813
17.825996,161,176.782509
17.312897,160,178.346829
17.352793,157,179.426634
17.846992,143,179.426634
17.832693,158,182.096987
17.850094,140,185.743022
16.847494,138,186.64396
17.3197,168,187.651947
17.844593,143,189.284137
17.843697,140,192.441571
17.804293,174,192.915844
17.826693,158,193.106306
17.800293,178,193.402285
16.806793,177,195.967072
17.306192,183,199.157726
17.848194,139,199.708462
17.354294,138,200.676873
17.330095,160,200.762749
17.345695,140,202.467561
17.368896,124,204.51096
17.856392,129,205.135281
17.837593,153,206.706027
17.845993,149,207.258004
17.341795,147,209.535135
