#{"t_start": 1760634222.3758066, "env_id": "None"}
r,l,t
13.906762,78,7.260416
13.904462,81,7.531997
12.399661,89,8.232604
13.892895,90,8.317271
13.892694,92,8.492042
13.891061,95,8.765236
13.88406,105,9.694744
13.879394,105,9.694744
13.849693,122,11.203244
13.842592,133,12.203702
13.910662,81,14.519432
11.891831,96,16.178714
13.395461,93,16.884854
13.881494,106,17.858234
13.39076,100,18.670216
13.884827,106,19.217327
13.879394,107,20.880853
13.811058,157,22.411769
13.876959,118,22.852116
13.915328,81,23.49378
10.8456955,164,23.59228
12.88816,106,24.121799
13.409394,87,24.742156
13.904528,89,25.919039
12.903194,89,26.747486
13.896794,93,27.646098
13.915528,79,28.008399
13.895927,95,31.004741
13.406327,91,31.09419
13.402328,91,32.353642
13.889994,101,32.633973
13.3940935,100,32.633973
13.896594,95,33.34204
13.397361,94,35.243577
13.383193,109,35.7953
13.895727,97,36.799047
13.897927,95,39.757832
12.910461,83,39.931204
13.852457,143,40.633066
13.903094,90,40.836355
13.913228,82,40.836355
13.903761,90,40.836355
13.868825,126,42.434991
12.896394,97,44.631152
12.871726,117,45.871912
13.390059,107,46.484364
13.416661,81,48.118789
13.902528,89,48.845773
13.880226,112,49.845832
12.391127,103,50.105589
13.901661,91,50.641224
13.380092,120,50.735211
13.373325,121,51.533782
13.393227,102,55.030048
13.376458,123,57.532509
13.85349,146,57.707991
13.382126,113,58.257069
13.395927,95,58.344659
13.903761,90,58.800253
13.87776,110,59.952131
13.387393,107,60.230046
13.8952265,102,60.667359
13.325858,149,62.1986
13.911895,82,62.376023
13.903695,84,65.356754
13.401827,96,66.276416
13.895627,98,67.304646
13.895827,96,67.589007
13.406161,86,68.118261
13.372893,112,68.472217
