#{"t_start": 1760635052.0941298, "env_id": "None"}
r,l,t
15.8436985,132,12.382799
15.834798,141,13.20177
15.824099,153,14.338088
15.822097,153,14.338088
15.307396,160,14.990837
15.812098,163,15.284784
15.811598,163,15.284784
15.803896,175,16.363725
15.772797,191,17.7895
15.774197,192,17.88868
15.857798,128,24.253634
15.850195,149,28.139277
15.344597,145,28.422493
15.816196,164,28.422493
15.848999,136,28.988875
15.3288965,157,29.827332
15.839294,168,29.931849
15.836498,141,30.993829
15.340797,143,31.088922
15.291098,185,32.374907
15.849197,134,36.664912
15.844297,138,40.929028
15.868998,121,41.016333
15.8443985,137,41.119062
15.855198,134,41.393121
15.823897,152,42.554084
15.856895,142,44.254402
15.819498,161,44.833706
15.827698,149,44.833706
15.840298,138,45.216015
15.812595,175,52.962821
15.348898,132,53.252837
15.339397,147,54.812237
15.830997,151,55.483255
15.3197975,158,55.751744
15.830197,149,56.400978
15.847797,133,57.615994
15.837197,144,57.713627
15.840498,141,57.983547
14.8063965,167,60.369349
15.876799,113,63.476877
15.347098,135,65.802318
15.856096,130,66.915236
15.853397,132,67.734269
15.865398,122,67.734269
15.833899,147,71.680257
15.796597,175,72.058489
15.836096,160,72.629926
15.342898,137,73.177434
15.783297,188,75.11745
15.833698,144,76.911462
15.362498,121,78.233293
15.345898,137,80.541311
15.8183975,162,80.91983
15.332397,152,81.958241
15.369598,115,83.349782
15.329497,151,86.146006
15.819898,157,86.331712
15.831297,148,87.020294
15.845898,137,87.944638
15.845995,151,91.02182
15.8415985,140,91.323333
15.352098,130,93.095957
14.350296,148,94.378516
15.853996,136,96.076739
15.864597,125,97.845536
15.803297,178,98.601223
15.849798,133,99.429394
15.331198,149,100.264518
15.822996,161,102.963766
