#{"t_start": 1760634730.042894, "env_id": "None"}
r,l,t
12.315193,147,13.001973
13.821123,161,14.24913
12.255556,210,18.467672
12.218357,222,19.485388
10.751204,227,19.926867
10.742004,239,20.930567
10.208438,268,23.46778
8.663366,292,25.550339
-9.396575,298,26.060439
-12.352575,298,26.060439
8.796267,165,27.255122
12.329493,146,32.131053
13.868628,108,32.806032
12.284292,178,36.30739
12.315393,147,38.20079
7.2751603,216,38.535471
-21.339243,300,40.075587
13.8547945,113,41.780002
13.800155,186,42.049599
12.276659,181,42.806532
13.843628,118,42.896004
-20.340582,300,44.261582
5.240632,248,47.368665
11.851832,136,47.957441
13.855959,128,49.498461
13.874793,113,49.758155
13.840189,159,51.768618
13.8687935,113,52.52563
13.855593,125,53.503768
12.315625,158,55.307349
12.289593,165,56.176074
13.823289,168,58.629275
13.849959,128,58.881841
13.855192,129,60.768538
13.867394,107,62.616313
12.341294,128,62.708237
13.836289,158,62.971218
12.3207855,193,63.834297
13.816325,151,65.417829
13.356626,128,67.06535
13.8687935,113,68.524407
13.86066,121,68.941371
13.37816,106,71.695248
13.878827,106,72.049369
13.842958,138,72.562655
9.281123,223,74.374872
13.85016,126,76.280161
12.317956,168,77.140785
12.295993,161,77.672698
13.856694,114,78.349972
13.855927,115,78.856424
12.339757,150,79.952081
13.85246,123,82.294878
13.821727,137,83.899863
12.320093,140,84.68448
13.873694,104,86.697676
13.853827,116,87.206516
13.360625,128,87.373322
13.829557,152,87.544268
13.874195,99,88.580128
13.855993,121,88.833875
13.796858,159,92.684071
13.867394,107,93.200331
13.853161,116,94.770595
13.828424,150,95.375421
13.865395,107,95.958242
13.870928,105,96.463298
13.861661,111,96.828086
13.868628,108,96.920543
13.873594,105,97.682078
13.841027,124,99.637109
13.882129,93,101.326043
13.852394,117,102.92155
13.884895,92,104.574462
13.882129,93,105.088544
13.858228,112,105.780551
13.844561,122,106.036291
13.826127,133,106.372844
13.870261,105,106.887174
13.851061,117,107.054413
13.867294,108,109.042996
13.885728,97,109.772966
13.876095,100,111.800084
13.894829,86,113.517697
13.877428,100,115.488191
13.873694,104,115.488191
13.858494,116,115.572814
13.852094,120,117.768215
13.836527,129,118.73893
13.796959,158,118.73893
13.832793,133,121.087233
13.828293,138,122.23701
13.851759,130,123.462932
13.847027,124,124.555918
13.869394,107,124.997968
13.854594,115,125.62054
13.856494,116,125.708397
13.864828,106,127.071847
13.868628,108,128.197409
13.845027,124,129.572752
13.893295,88,131.075145
13.856028,114,131.075145
13.857661,111,131.945957
13.865294,108,134.989119
13.846395,117,135.162867
13.82316,136,136.352461
13.844827,126,136.618551
13.858328,111,136.698789
13.864428,110,137.731503
13.893395,87,138.588563
13.880561,102,139.90215
13.851427,120,139.984618
13.887562,92,142.945472
13.830793,133,143.465237
13.882295,98,143.640615
13.873694,104,145.367766
13.890429,90,145.542525
13.872361,104,145.717339
13.864628,108,147.981182
13.838993,131,147.981182
13.885362,94,148.071391
13.868361,104,149.009362
13.869961,108,152.35784
13.867695,104,152.530945
13.882129,93,153.652218
13.850961,118,153.904107
13.885362,94,153.904107
13.875228,102,154.248367
13.878195,99,156.57044
13.877995,101,156.747738
13.877162,96,157.354397
13.858694,114,157.971958
13.882895,92,160.499909
13.852294,118,162.608178
13.872461,103,162.869369
13.863194,109,163.388194
13.858694,114,163.557174
13.857361,114,164.181024
13.892128,93,164.87801
13.844827,126,167.666911
