#{"t_start": 1760633826.7308364, "env_id": "None"}
r,l,t
7.9991,8,1.783334
7.9989,10,1.921627
7.9987,12,2.049427
7.9987,12,2.049427
7.9995,6,2.188588
7.9983,16,2.322783
7.9995,6,2.456985
7.998,19,2.524526
7.999,11,2.661625
7.999,11,3.071496
-6.0029,28,3.137522
-6.0029,28,3.137522
-6.0029,28,3.137522
-6.0029,28,3.137522
7.9991,10,3.137522
7.999,11,3.407527
7.9994,7,3.641153
7.9975,26,3.842525
7.999,11,3.914163
7.9989,12,3.914163
7.9987,14,4.121632
-6.0029,30,4.250973
7.9992,9,4.250973
7.9996,5,4.459913
7.9982,19,4.459913
-6.0029,30,4.594872
7.998,21,4.862768
7.9982,19,5.135499
-6.0029,30,5.207598
7.9981,20,5.279834
7.9988,13,5.496367
7.9996,5,5.636035
7.9994,7,5.728957
7.9992,9,5.786328
-6.0029,30,5.991836
-6.0029,30,6.339849
7.9974,27,6.339849
7.9990997,10,6.339849
-6.0029,30,6.339849
-6.0029,30,6.544005
-6.0029,30,6.944423
7.999,11,7.082932
7.9979,22,7.288725
7.9986,15,7.356288
7.9987,14,7.490298
7.9995,6,7.490298
-6.0029,30,7.559925
7.9996,5,7.701498
7.999,11,7.701498
-6.0029,30,7.771258
7.9994,7,7.771258
7.9995,6,7.929727
-6.0029,30,8.064433
7.9995,6,8.197364
-6.0029,30,8.39171
7.9994,7,8.39171
-6.0029,30,8.39171
7.9994,7,8.52784
7.9987,14,8.52784
7.9995,6,8.607679
7.9995,6,8.813172
7.9994,7,8.884365
7.9993,8,8.956243
7.9995,6,9.027838
7.9996,5,9.172645
7.9991,10,9.233634
7.9996,5,9.233634
7.9996,5,9.377501
7.9987,14,9.514587
-6.0029,30,9.581423
-6.0029,30,9.777884
-6.0029,30,9.777884
-6.0029,30,9.844837
7.999,11,9.980966
7.9995,6,10.265876
7.999,11,10.561634
7.9981,20,10.960436
-6.0029,30,11.035543
7.9988,13,11.165952
-6.0029,30,11.230807
-6.0029,30,11.296584
-6.0029,30,11.435982
7.9994,7,11.505913
-6.0029,30,11.573848
7.9994,7,11.645063
-6.0029,30,11.844662
7.9992,9,11.916698
7.999,11,11.988266
7.9986,15,11.988266
7.9994,7,12.061829
-6.0029,30,12.061829
7.999,11,12.193435
7.9993,8,12.193435
7.9994,7,12.494682
7.9996,5,12.562636
-6.0029,30,12.629934
7.999,11,12.699549
7.9988,13,12.979114
7.9993,8,13.050412
7.9995,6,13.108403
7.9993,8,13.108403
7.9982,19,13.389671
7.9995,6,13.390676
-6.0029,30,13.588063
7.9994,7,13.588063
7.9995,6,13.802987
7.9996,5,13.929698
-6.0029,30,13.929698
7.9995,6,13.999224
-6.0029,30,14.069381
7.9988,13,14.278685
-9.0029,30,14.278685
7.9995,6,14.421231
7.9991,10,14.490931
7.9992,9,14.584983
7.9996,5,14.656414
7.9995,6,14.727066
-6.0029,30,14.727066
7.9996,5,14.798423
7.999,11,14.859434
7.9993997,7,14.998123
7.9994,7,15.127157
-6.0029,30,15.127157
7.9995,6,15.127157
-6.0029,30,15.197269
7.9994,7,15.269839
7.9995,6,15.54959
7.9995,6,15.623707
7.9996,5,15.623707
7.9987,14,15.683657
7.9988,13,15.755372
7.9996,5,15.898704
7.9988,13,16.041314
-6.0029,30,16.041314
7.9994,7,16.100872
7.9987,14,16.100872
7.9995,6,16.100872
7.9992,9,16.239675
7.9997,4,16.378203
-6.0029,30,16.643403
7.9988,13,16.643403
7.9993,8,16.80049
7.9989,12,16.94352
7.9989,12,16.94352
-6.0029,30,17.074531
7.9985,16,17.146885
7.9994,7,17.146885
7.9996,5,17.291343
7.9995,6,17.351751
7.999,11,17.423388
7.9995,6,17.564376
7.9989,12,17.63355
7.9994,7,17.839638
-6.0029,30,17.972901
7.9992,9,18.04113
-6.0029,30,18.108849
7.9988,13,18.177685
7.9996,5,18.3827
7.9996,5,18.451872
7.9994,7,18.451872
-6.0029,30,18.451872
7.9994,7,18.854678
7.9993,8,19.012151
7.9984,17,19.013354
-6.0029,30,19.159444
-6.0029,30,19.216702
7.9995,6,19.287361
7.9989,12,19.287361
7.9995,6,19.42719
7.9995,6,19.42719
-6.0029,30,19.635602
7.9995,6,19.635602
-6.0029,30,19.703634
7.9994,7,19.774945
7.9994,7,19.908671
7.9995,6,20.106211
7.9994,7,20.106211
7.9993,8,20.184379
-6.5029,30,20.251096
7.9995,6,20.517323
-6.0029,30,20.517323
7.9991,10,20.58586
7.9991,10,20.910362
7.9995,6,20.910362
7.9993,8,21.111879
7.9985,16,21.199475
-6.0029,30,21.199475
-6.0029,30,21.340891
7.9995,6,21.340891
-10.502901,30,21.475877
7.9995,6,21.534709
7.9995,6,21.606517
-6.0029,30,21.818264
7.9996,5,21.963436
7.9994,7,21.963436
7.9992,9,21.963436
7.9992,9,21.963436
7.9994,7,22.021929
7.9989,12,22.021929
-6.0029,30,22.233251
7.9995,6,22.233251
7.9996,5,22.36701
7.9974,27,22.36701
7.9994,7,22.440577
7.9994,7,22.440577
7.9995,6,22.440577
7.9993,8,22.503367
7.9991,10,22.637579
7.9994,7,22.710196
