#{"t_start": 1760634055.6426537, "env_id": "None"}
r,l,t
9.9585,34,2.450405
9.951799,41,2.918294
9.9498,41,2.918294
9.9337,42,2.979393
9.945499,44,3.11058
9.943199,47,3.318872
9.9265995,53,3.72315
9.8953,66,4.605324
5.8910017,69,4.807111
9.9542,39,5.070498
9.956699,34,5.202939
9.966499,36,5.409443
9.875799,81,5.619559
9.9493,48,6.358772
9.949599,45,6.358772
9.9394,47,6.933939
9.905499,66,7.429694
9.964499,36,7.565091
9.9606,35,7.639678
9.9456,45,7.715308
9.961499,46,7.993683
9.95,41,8.27405
9.958799,33,8.694894
9.9457,44,8.694894
9.9584,37,8.998358
9.954599,35,9.420957
9.969,31,9.776095
9.969299,28,9.984197
9.9539995,41,10.53329
9.9415,46,10.672953
9.95,41,11.164098
9.9688,33,11.316749
9.9449,52,11.390143
9.9539995,41,11.623222
9.9526,35,11.90445
9.965,31,11.979847
9.9605,36,13.214802
5.911502,66,13.348854
9.9515,46,13.78628
9.9566,35,13.84849
9.958799,33,14.190065
9.9536,45,14.333694
9.95,41,14.802017
9.9668,33,15.470784
5.907902,62,15.899255
9.9503,38,15.960171
5.871003,91,16.304852
9.9565,36,16.656164
9.9457,44,16.806297
9.9558,43,16.806297
9.9602995,38,16.939668
9.9607,34,17.145399
5.893703,84,17.145399
9.9667,34,18.349107
9.964,41,18.349107
9.946,41,18.770692
9.9545,36,18.83657
9.970799,33,19.24894
9.9586,35,19.24894
9.9523,38,19.323771
9.9588995,32,19.397416
9.936299,58,20.888362
9.9522,39,21.106144
9.952,41,21.239029
9.9586,35,21.31247
9.943999,61,21.444509
9.9543,38,21.444509
9.9668,33,21.587718
9.9543,38,22.015327
9.9581995,39,22.015327
9.9492,49,22.876337
9.9625,36,23.426016
9.9566,35,23.57124
9.9526,35,23.70281
9.9668,33,23.774613
9.9581995,39,24.060441
9.9555,46,24.705052
9.943399,47,24.914718
9.9499,42,24.975689
9.9578,43,25.0529
9.9692,29,25.466475
9.9584,37,25.466475
9.9543,38,26.227894
9.9543,38,26.360627
9.9499,42,26.708922
9.959,31,27.078608
9.9414,47,27.362489
9.958,41,27.566836
9.9669,32,27.700464
9.9416,45,28.181571
9.9436,45,28.59687
9.952499,36,28.738653
9.9246,55,28.81243
9.9609995,31,28.874969
9.9534,47,29.640904
9.966599,35,29.989627
9.9605,36,30.200187
9.9435,46,30.276438
9.965,31,30.33883
9.9534,47,30.60934
