#{"t_start": 1760633977.2941597, "env_id": "None"}
r,l,t
9.9272995,46,3.319716
9.9101,58,4.137896
9.953799,61,4.341956
9.8896,63,4.485587
9.9393,66,4.707669
9.9049,70,4.987665
9.9028,71,5.059347
9.916699,54,7.067925
9.943399,47,7.749566
9.936,41,7.821126
9.8045,114,8.033593
9.9226,55,8.867731
-10.2709,128,8.999012
-26.270899,128,8.999012
9.9574995,66,9.293031
9.974099,40,10.540438
9.9655,46,11.20855
9.9598,43,11.995999
9.9309,72,12.065106
-18.2709,130,13.156071
-20.2509,130,13.362639
9.932099,60,13.434149
9.9247,54,14.964082
9.9106,75,15.729012
9.9144,57,16.005935
9.9101,60,16.148521
-14.2709,130,16.831996
9.9542,59,17.525079
9.9641,40,17.739731
9.9077,64,17.799427
-18.2709,130,17.871436
-4.2009006,130,18.033534
9.975699,44,18.780299
9.9616995,44,19.060887
9.9449,52,19.745957
9.9527,34,21.11979
9.917999,61,21.736827
-4.2469006,130,22.137707
9.9293995,47,22.273753
9.963899,82,23.511768
9.962299,38,24.905702
9.913999,101,24.977349
-8.2649,130,25.812756
-6.2689004,130,26.695841
-4.2709002,130,26.790978
9.9429,72,27.131383
9.8426,95,28.248193
-6.2709002,130,28.652325
9.9532995,48,29.095954
9.973499,66,29.449071
-6.2709002,130,30.039421
9.9642,39,30.912398
9.9298,63,31.38575
-2.1929007,130,32.385853
9.9532995,48,32.646992
9.7905,116,32.85625
7.9906,95,33.129813
7.9899,102,33.695241
9.8518,83,34.701032
9.950399,57,36.529021
9.7856,125,37.152557
9.8115,106,37.224112
9.963799,43,37.659079
7.9918,83,38.083718
9.8684,77,38.146656
9.892799,73,38.146656
9.963599,65,38.146656
9.8221,100,38.223547
9.9734,27,38.428306
-5.7648993,130,39.777289
9.9641,40,40.004367
9.964,41,40.004367
9.9767,34,40.511008
9.970099,40,40.922102
9.9381,40,40.922102
9.980399,37,40.993658
9.9314995,46,41.41266
9.9177,64,42.121951
9.9684,37,42.396929
9.946199,39,42.742055
9.9032,69,42.875287
9.9359,42,42.945711
9.972199,39,43.21866
9.973999,41,43.781952
9.9642,39,44.130716
9.9583,38,44.773009
9.9642,39,45.459515
9.9706,35,45.666477
9.8911,70,45.804338
9.9458,43,45.878876
9.953799,43,45.94295
9.930599,55,46.225302
9.900499,76,46.300524
9.9237,44,46.874461
9.970099,40,46.94848
9.948,41,47.645996
9.9744,37,48.53882
9.949699,44,48.909733
9.935699,44,48.984773
9.949499,46,49.542294
9.9313,48,49.616529
9.9581995,59,49.825068
9.9597,44,49.956716
9.976199,39,51.29759
9.936399,57,51.647599
9.8792,89,51.722858
9.9549,32,51.794959
9.9774,47,52.280546
9.8963995,77,52.354418
9.9641,40,52.779703
9.9352,49,53.057039
9.9429,52,53.49772
9.945299,68,53.716557
9.9565,36,54.206345
9.9317,44,54.417218
9.9685,36,54.840377
9.9545,36,54.918477
9.9374,47,55.13083
9.968699,34,55.193974
9.9629,32,55.341788
9.956399,57,55.78821
9.9501,40,56.34993
9.963799,43,56.760226
9.9542,39,56.970012
9.9522,39,57.175908
9.9745,36,57.394682
9.9424,37,57.532505
9.9567995,33,57.532505
9.949599,45,58.53847
9.947599,45,58.943842
9.9,61,59.433723
9.952499,36,59.508647
9.9422,39,59.508647
9.955299,48,59.713049
9.9684,37,60.14292
9.9696,45,60.348884
9.9338,43,60.420619
9.965699,44,60.621682
9.9618,43,61.520983
9.977099,30,61.593357
9.951799,43,61.942692
9.950399,37,62.090657
9.9521,40,62.22621
9.948299,38,62.391999
9.967,31,62.595165
9.964399,37,62.943542
9.944,41,63.01835
9.9765,36,64.053494
9.9643,38,64.272577
9.9626,35,64.544764
9.954599,35,64.711113
9.9527,34,64.785146
9.908999,71,65.623836
9.9443,38,65.623836
9.9368,53,65.68512
9.9451,50,66.090102
9.979,31,66.221942
9.9507,34,66.627369
9.9767,34,66.916141
9.9689,32,66.986148
9.968699,34,67.045568
9.9627,34,67.920536
9.9626,35,68.055794
9.8845,76,68.266958
9.9251995,49,68.951347
9.962,41,69.04384
9.963799,43,69.04384
9.9544,37,69.177187
9.948299,38,69.570371
9.953899,42,69.773516
9.9401,40,69.773516
9.9731,30,70.331302
9.9704,37,70.473577
9.964399,37,70.607908
9.9835,26,70.815351
9.9688,33,71.324663
9.9607,34,71.532116
9.9444,37,71.532116
9.9593,28,71.736745
9.9565,36,72.299253
9.9681,40,72.374965
9.9727,34,72.714715
9.9681,40,73.406613
9.9464,37,74.119552
9.9634,47,74.119552
9.942499,56,74.410341
9.967899,42,74.47329
9.947499,46,74.546772
9.9558,43,74.759239
9.9627,34,74.759239
9.9442,39,75.031749
9.9623995,37,75.308301
9.9464,37,76.043505
9.9692,29,76.604712
9.962999,31,76.604712
9.9565,36,76.678293
9.9526,35,77.224827
9.976999,31,77.224827
9.963699,44,77.224827
9.952499,36,77.298842
