#{"t_start": 1760633857.1913598, "env_id": "None"}
r,l,t
7.9975,24,1.764861
7.9947,52,3.65727
-21.506905,68,4.749471
-11.006901,68,4.750514
-13.506905,68,4.750514
-23.0069,68,4.750514
-13.506901,68,4.750514
-16.5069,68,4.750514
-14.006903,68,4.750514
-10.006901,68,4.750514
7.9986,15,5.749387
-6.5069003,70,6.489877
7.997,31,6.850146
-26.506895,70,8.389865
7.996,41,8.521457
-6.0069,70,9.47326
-13.006905,70,9.47326
-19.006905,70,9.47326
-31.006887,70,9.47326
-6.0069,70,9.47326
-11.506901,70,9.47326
1.9931,70,11.242868
0.0,1,11.308497
-6.0069,70,11.576181
7.9968,33,11.715424
7.9936,65,12.786692
7.9979,22,13.201551
-6.0069,70,13.267228
-11.006904,70,14.209807
-23.506897,70,14.209807
-18.506905,70,14.209807
-1.5068989,70,14.209807
-9.506897,70,14.209807
0.0,1,14.27617
7.9981,20,14.609383
7.9957,44,15.776344
-6.0069,70,16.044351
-10.506903,70,16.313796
7.9969,32,16.378706
-21.506905,70,17.926278
-9.506895,70,18.929291
-12.006907,70,18.929291
-16.0069,70,18.929291
0.0,1,18.996254
-6.0069,70,18.996254
-23.0069,70,19.33011
7.9967,34,20.229871
-6.0069,70,20.492505
1.9931,70,20.76471
0.0,1,20.829148
-18.506905,70,21.0301
-6.0069,70,21.104012
7.9979997,21,22.261217
7.9951,50,22.327681
7.9952,49,22.667687
7.9967,34,23.411768
7.9956,45,23.549699
7.9933,68,23.607488
-13.506901,70,23.673307
-12.506903,70,23.749699
7.9972,29,24.241033
7.9979,22,24.920482
-15.006902,70,24.990555
7.9975,26,25.465672
-15.506903,70,25.805127
7.9951,50,26.082315
7.9983,18,26.234597
7.9942,59,26.3735
7.9976,25,27.513043
-6.0069,70,28.3248
7.997,31,28.3248
-6.0069,70,28.41143
-10.006903,70,28.543343
7.9931,70,29.018544
7.9989,12,29.151785
-9.006901,70,29.692303
-6.0069,70,30.224364
7.9973,28,30.428551
7.9934,67,30.647921
-6.0069,70,31.124381
7.9959,42,31.258903
-15.006906,70,32.269767
7.9954,47,32.33969
7.9968,33,32.466772
7.9978,23,32.670843
-6.0069,70,33.086692
7.9957,44,33.42891
-6.0069,70,33.763009
7.9988,13,33.96804
7.9979,22,34.182501
7.9973,28,34.23965
-6.0069,70,34.445262
7.9986,15,35.272594
3.4932952,68,35.272594
7.9977,24,35.408689
7.9954,47,35.674524
-6.0069,70,36.017688
7.9973,28,36.347266
-6.0069,70,37.023254
7.998,21,37.111408
7.9979,22,37.505078
7.9949,52,37.505078
7.996,41,38.190163
-9.006899,70,38.190163
7.9979,22,38.52635
7.9967,34,38.655135
-6.0069,70,38.916216
7.9977,24,39.124917
7.9943,58,39.191957
7.9963,38,39.684552
7.999,11,39.684552
-6.0069,70,40.022476
7.9966,35,40.57842
7.9968,33,41.400192
7.9957,44,41.684611
7.9967,34,42.026092
7.9969,32,42.242712
7.9976,25,42.312197
-6.0069,70,42.312197
7.9963,38,42.312197
-6.0069,70,42.995278
7.9936,65,42.995278
7.9988,13,43.196533
7.9938,63,43.536674
7.9973,28,43.606819
7.9981,20,43.696047
7.9971,30,44.114223
7.9973,28,44.183077
7.9964,37,44.860936
7.9972997,28,44.932184
7.9981,20,44.999576
7.9982,19,45.472684
7.9962,39,45.891494
7.9972,29,46.096734
7.9964,37,46.096734
-10.5069065,70,46.233387
7.9981,20,46.376065
7.9948,53,46.645389
7.9952,49,47.073049
7.9969,32,47.146638
7.9967,34,47.206259
7.9974,27,47.758319
7.9991,10,47.829798
7.9965997,35,47.9012
