Wall time,Step,Value
1760633830.1414185,320,11.0
1760633832.369864,640,5.0
1760633834.5744514,960,7.0
1760633836.7814589,1280,11.0
1760633838.9989018,1600,8.0
1760633841.2257574,1920,10.0
1760633843.4459794,2240,13.0
1760633845.6575203,2560,7.0
1760633847.8469,2880,8.0
1760633850.065917,3200,6.0
1760633852.3007963,3520,7.0
1760633854.534068,3840,6.0
1760633859.4905229,4390,24.0
1760633861.6513631,4710,52.0
1760633863.8157282,5030,70.0
1760633865.9793723,5350,41.0
1760633868.1532872,5670,70.0
1760633870.3100386,5990,65.0
1760633872.4683316,6310,20.0
1760633874.6450927,6630,32.0
1760633876.7920544,6950,70.0
1760633878.957148,7270,70.0
1760633881.1459343,7590,70.0
1760633883.342678,7910,50.0
1760633885.5192475,8230,31.0
1760633887.6883652,8550,28.0
1760633889.865208,8870,23.0
1760633892.03626,9190,70.0
1760633894.2176704,9510,70.0
1760633896.3873084,9830,58.0
1760633898.595061,10150,33.0
1760633900.8021686,10470,28.0
1760633903.0064476,10790,19.0
1760633908.5843177,11410,28.0
1760633910.8902545,11730,46.0
1760633913.2002552,12050,25.0
1760633915.4219859,12370,59.0
1760633917.7055447,12690,48.0
1760633920.0161228,13010,21.0
1760633922.3792117,13330,40.0
1760633924.714239,13650,21.0
1760633927.0436974,13970,30.0
1760633929.4754329,14290,31.0
1760633931.8389056,14610,15.0
1760633934.2235482,14930,13.0
1760633936.6086276,15250,23.0
1760633939.0302062,15570,44.0
1760633941.4203985,15890,37.0
1760633943.831846,16210,61.0
1760633946.2542646,16530,14.0
1760633948.6591098,16850,30.0
1760633951.072535,17170,18.0
1760633953.4951262,17490,42.0
1760633955.9045818,17810,19.0
1760633958.323106,18130,23.0
1760633960.7240453,18450,18.0
1760633963.0942383,18770,28.0
1760633965.518456,19090,20.0
1760633967.909157,19410,31.0
1760633970.360681,19730,17.0
1760633972.805184,20050,31.0
1760633975.2568274,20370,22.0
1760633979.6271505,20820,17.0
1760633981.841765,21140,63.0
1760633984.067641,21460,71.0
1760633986.2962036,21780,128.0
1760633988.5062208,22100,46.0
1760633990.7313015,22420,60.0
1760633992.9430656,22740,54.0
1760633995.168591,23060,130.0
1760633997.377339,23380,52.0
1760633999.5711615,23700,47.0
1760634001.7629604,24020,82.0
1760634003.993088,24340,130.0
1760634006.156267,24660,130.0
1760634008.332841,24980,39.0
1760634010.4979928,25300,95.0
1760634012.6683767,25620,83.0
1760634014.8638136,25940,106.0
1760634017.0754387,26260,130.0
1760634019.3262308,26580,46.0
1760634021.5612905,26900,39.0
1760634023.8108897,27220,76.0
1760634026.0487764,27540,37.0
1760634028.2919347,27860,44.0
1760634030.5643218,28180,49.0
1760634032.8560014,28500,32.0
1760634035.1044378,28820,33.0
1760634037.347626,29140,48.0
1760634039.5966287,29460,40.0
1760634041.8419232,29780,35.0
1760634044.0594716,30100,34.0
1760634046.2484996,30420,49.0
1760634048.4624135,30740,26.0
1760634050.7043009,31060,40.0
1760634052.9656188,31380,37.0
1760634057.933849,31930,44.0
1760634060.098661,32250,53.0
1760634062.2799408,32570,45.0
1760634064.5610034,32890,44.0
1760634066.8097444,33210,41.0
1760634069.0653172,33530,66.0
1760634071.252046,33850,33.0
1760634073.4884682,34170,84.0
1760634075.7481234,34490,32.0
1760634078.0073092,34810,39.0
1760634080.2569478,35130,39.0
1760634082.495934,35450,42.0
1760634084.7207515,35770,31.0
1760634089.9511778,36310,32.0
