#{"t_start": 1760644030.643478, "env_id": "None"}
r,l,t
9.891899,100,8.858445
9.8956995,102,9.046522
9.891399,105,9.344508
9.893099,108,9.6248
9.882699,112,10.006035
8.880399,115,10.292851
9.367099,128,11.564726
8.870799,131,11.881392
8.3686,133,12.059308
7.8773994,145,13.120446
9.3935995,105,18.347921
9.8916,105,19.046352
9.897199,109,19.128954
9.383899,122,19.98656
5.8959045,122,20.871435
7.8928,133,23.5402
7.8774996,146,24.822136
9.878299,138,25.154464
-1.7777052,178,27.249843
-4.849105,212,29.139396
9.884499,116,29.39783
9.884899,112,29.92363
9.368499,136,30.344618
9.4072,89,31.399503
8.887499,106,34.564635
8.892599,115,34.997403
8.903,91,37.109441
8.908599,95,37.743498
8.871899,122,38.005687
9.898299,98,38.998961
3.8748846,232,39.517133
9.404599,95,39.769099
-2.347806,219,40.242719
9.369599,125,40.962194
9.406799,93,43.271487
9.397999,101,43.53455
9.9091,90,45.715194
9.889299,108,46.675569
9.3977995,103,47.13219
9.391899,102,48.567704
8.384801,113,48.997669
8.902599,95,49.350112
9.393199,109,49.441155
8.881099,110,49.944516
9.371899,122,53.930076
8.893599,125,54.439608
9.383499,126,56.711504
9.889099,110,58.111897
9.394299,118,59.710163
9.881799,123,60.658674
9.355499,146,62.046151
7.375298,188,63.532384
9.904399,97,65.180784
7.8725996,155,67.43349
9.410799,93,67.778067
1.8515863,245,68.076125
5.8738017,163,68.68066
-5.3295097,236,69.561576
9.891699,104,69.729901
9.893799,143,70.612607
9.888999,111,71.82268
8.884699,114,73.56685
9.900099,100,73.996105
9.904499,96,75.913684
9.4082985,98,76.448167
9.903099,90,76.628427
8.894099,100,78.388366
9.379599,125,79.073507
9.3956995,104,79.788369
3.893199,129,81.116138
9.890299,118,82.181119
9.389199,109,83.115217
8.890699,114,83.985461
9.899699,104,85.74918
9.411099,90,86.449489
9.876299,118,86.986689
9.398199,99,87.983486
8.850099,140,88.412469
9.395599,105,90.523339
9.375999,121,90.634648
9.901899,102,91.326923
9.888899,112,93.162217
9.384499,116,94.403458
9.908899,92,94.58122
9.408799,93,95.206583
8.886999,111,95.731779
9.8935995,105,97.226972
9.8977995,103,97.498314
9.917699,84,97.921708
9.902599,95,99.710671
9.884299,118,101.026594
9.404499,96,101.650886
8.897999,101,103.507399
8.3759,122,106.010655
8.4021,100,106.090658
9.362799,133,106.183159
8.876199,119,106.264764
9.402199,99,106.706247
8.3805,116,107.793687
9.3963995,97,108.32285
8.898099,100,110.553742
8.882699,114,111.142974
8.3938,103,112.609592
8.906599,95,114.377741
8.902299,98,114.825742
9.3935995,105,115.53697
9.893099,110,115.789803
9.395599,105,115.964395
9.882699,114,118.411667
9.371699,124,118.770614
9.3916,105,119.832093
9.895999,101,120.085232
9.3998995,102,123.411839
9.404799,93,124.198982
9.908499,96,124.276765
9.854198,139,124.906225
9.888699,114,125.607159
9.362499,136,126.859293
9.411299,88,127.849023
9.880199,119,128.879984
9.884399,117,129.056467
9.393499,106,129.14659
8.911099,90,132.173317
9.398099,100,133.153023
8.389,111,133.250275
9.8935995,105,134.220253
9.399499,106,136.214713
9.390999,111,138.852947
9.875999,121,139.833498
7.8779993,161,139.834496
9.897999,101,142.045048
9.842798,153,142.397029
9.880299,118,142.575626
6.8273993,167,142.575626
9.888999,111,143.013238
9.397699,104,145.40343
7.364399,137,146.303468
9.892799,113,148.847489
9.395499,106,149.200062
9.373599,125,150.903381
9.411099,90,150.986975
9.393799,103,151.51781
8.8935995,105,151.863367
9.890999,111,151.863367
8.877999,121,153.30238
9.9042,99,154.193443
9.395499,106,155.681857
8.4066,95,159.273879
9.882499,116,159.453817
9.869299,128,160.15946
9.893299,108,160.510944
9.400099,100,160.682685
9.891699,104,161.044584
9.888799,113,161.571297
9.882799,113,163.368963
9.900199,99,164.532093
9.860699,134,166.080793
7.9241,80,168.184627
9.882499,116,169.581589
8.402,101,169.678077
9.891099,110,169.962926
9.884499,116,171.836783
9.349799,143,172.189728
8.864899,132,172.270217
9.902299,98,173.158615
9.377999,121,174.052535
9.402599,95,176.620983
8.867399,127,177.315212
8.9105,96,178.477739
9.902199,99,180.599233
9.902499,96,180.692453
9.902199,99,181.043282
9.869099,130,181.124766
9.865199,129,181.124766
9.884899,112,183.11036
9.888899,112,183.962971
9.904799,93,184.870546
9.8958,103,187.605192
9.906899,92,188.850439
8.860399,137,189.497078
9.902599,95,189.598752
9.3874,107,190.168867
9.893399,107,190.705391
9.886299,118,191.671126
9.367399,127,194.506992
9.882599,115,195.183701
9.360699,134,195.974656
9.9021,100,196.59798
9.408799,93,197.91889
9.906399,97,198.828747
9.880499,116,199.873567
9.901699,104,199.968964
9.8979,102,200.673573
9.862699,134,200.850255
9.917599,85,202.691356
9.888499,116,204.806756
9.899799,103,205.797013
9.875699,124,207.106141
9.904499,96,208.563022
9.8612995,128,210.400099
7.8882,139,210.497106
9.890299,118,210.683355
9.4009,92,211.137802
9.875399,127,212.401407
9.867099,130,212.493534
9.909399,87,212.753599
9.889099,110,215.880858
9.9133,88,216.622426
9.391299,108,216.976284
9.904399,97,219.377295
9.904299,98,219.377295
9.904299,98,221.669056
9.882099,120,221.883974
9.898199,99,222.067179
9.869199,129,223.169068
9.870099,120,223.627592
9.904399,97,225.232043
9.904499,96,226.231719
9.901999,101,226.325696
9.897799,103,229.23152
9.9091,90,230.130046
9.886599,115,230.309026
9.915299,88,230.309026
8.9218,83,232.779427
9.880299,118,232.874567
9.8937,104,233.330514
9.879799,123,234.634829
9.904699,94,234.81497
9.888699,114,236.827514
9.905599,105,238.925069
9.899699,104,239.929908
9.891099,110,240.465037
9.9154,87,240.834775
9.892099,120,241.202585
9.8979,102,242.776097
9.903899,102,244.242094
9.893399,107,244.522823
9.371399,127,244.608903
9.888899,112,249.185746
9.864599,135,249.185746
9.895399,107,249.712984
9.895299,108,250.713499
9.893499,106,250.898353
9.866899,132,252.685128
9.382599,115,253.46471
9.895299,108,254.322887
9.8956995,104,254.322887
9.886999,111,254.882908
9.404399,97,258.865116
9.899799,103,258.865116
9.891399,107,259.230865
9.8956995,104,260.719105
9.893499,106,260.719105
9.8998995,102,262.990593
9.878499,116,263.563593
9.8977995,103,264.48194
9.888799,113,264.846515
9.873599,125,266.003877
9.903999,101,268.516625
9.882799,113,270.075863
9.878299,118,270.179126
9.8979,102,270.565864
9.876099,120,272.283425
9.891699,104,273.648799
9.3958,103,274.88046
9.878099,120,276.174223
9.856199,139,276.522816
9.886699,114,277.214989
9.896099,100,278.262547
9.9154,87,279.026873
9.8998995,102,279.980176
9.873599,125,282.366711
9.888999,111,283.13345
9.900399,97,284.378359
9.882399,117,285.025786
9.885099,110,286.95331
9.402599,95,287.530935
9.880699,114,287.620347
9.411099,90,287.814211
9.891299,108,290.522674
9.839199,149,291.73831
9.895899,102,292.302099
9.900299,98,292.685848
9.908799,93,294.160816
9.889299,108,295.04662
9.902599,95,297.166044
9.387199,109,298.819988
9.867299,128,300.145952
9.871599,125,300.780497
9.389099,110,302.226842
9.904599,95,303.00096
9.391299,108,303.310248
9.884799,113,304.503257
9.887099,110,306.223668
9.891299,108,306.817999
9.8873,108,308.81604
9.904599,95,310.833522
9.886599,115,312.336704
9.9021,100,312.713537
9.853999,141,313.678524
