#{"t_start": 1760643670.807122, "env_id": "None"}
r,l,t
8.4821,18,1.453769
4.4774003,25,1.952743
4.4693995,25,1.952743
9.965099,28,2.164695
6.4504,35,2.676375
9.9442,37,2.81755
9.9442,37,2.81755
5.4884996,16,3.327906
4.9759007,22,3.543667
9.9696,25,4.595422
7.9771,30,4.825218
2.3640985,78,5.747108
-2.6423016,82,6.044311
-8.15229,82,6.044311
7.4000998,60,7.110004
9.979799,23,7.398984
9.9739,22,7.602112
-6.6311007,72,8.458431
9.9802,19,8.743297
4.4758005,23,9.22603
-14.219986,121,10.588529
-8.685692,98,11.668564
7.9867,14,11.668564
-37.77626,144,11.836403
9.972,21,13.298651
-34.312897,150,14.313143
-6.2574005,135,14.518612
5.959201,29,15.379946
-13.183889,100,15.668661
4.9777007,24,16.22419
-12.682087,102,16.599205
9.9883,18,16.675724
-48.812973,150,16.815432
9.9888,13,17.50677
1.9711981,29,17.725518
-31.812899,150,17.863831
9.9887,14,18.498295
-13.277893,140,18.804483
1.9234991,46,19.953944
-9.160095,82,20.173619
9.9795,26,20.377761
6.2650003,131,21.029807
9.9608,33,21.175543
-26.312899,150,22.390769
9.9797,24,22.891981
9.4277,44,23.104934
9.9549,32,23.338478
-3.6773005,94,23.549912
-1.0789013,50,23.765941
-13.7212925,114,24.407045
9.981899,22,25.138505
6.9741,20,25.218056
9.9300995,40,26.082228
9.8581,80,26.227746
6.4259,42,26.449952
9.4862995,18,26.59464
1.8937988,63,27.03275
-7.7529,130,27.180926
6.388,61,27.398793
9.9762,19,28.441023
5.425601,45,28.508312
6.9648,33,28.508312
-30.51485,150,28.79313
9.897699,64,29.170633
9.975699,24,29.170633
7.4299,42,29.691499
9.9825,16,30.382904
9.9436,45,30.533261
9.9781,20,30.676642
7.9447002,34,30.983029
8.4526005,35,31.132262
9.9422,39,31.425069
8.9867,14,31.425069
9.9663,38,31.640087
9.9846,15,31.777843
4.8668013,73,31.853718
7.8521004,80,32.136521
9.9885,16,32.955074
5.9694014,27,32.955074
9.927,51,33.451253
9.9677,24,33.596467
9.9151,50,34.198672
9.9426,35,34.198672
9.9888,13,34.561796
7.4195004,46,34.794025
6.9655,26,34.860556
0.9229984,51,35.180347
2.898199,59,35.470083
9.977699,24,35.991396
9.9253,48,36.532157
9.973599,25,36.681288
9.9865,16,36.681288
9.4194,47,36.976137
6.8834,67,37.121402
9.9862995,18,37.334599
9.951,31,37.498184
9.9522,39,37.498184
9.9865,16,37.862011
9.9909,12,38.009881
4.413001,51,38.009881
4.937701,44,38.154248
9.9843,18,38.673359
11.9889,12,38.896485
6.4614,27,38.965099
7.4884996,16,39.043615
9.9551,30,39.706642
4.923701,44,39.807051
9.9237995,43,39.873893
5.944601,35,40.096679
6.955,31,40.320417
9.959,31,40.481664
7.9781003,20,40.561214
9.9883,18,41.310275
4.9447007,34,41.378784
7.9968,33,41.52715
7.4586,35,41.766994
9.9883,18,41.840294
7.9689,32,42.455548
9.9866,15,42.455548
9.9846,15,42.521973
9.973599,25,42.600055
8.4904995,16,42.746108
9.9506,35,42.897651
9.94,41,42.979271
9.9489,32,43.048737
9.9886,15,43.872229
9.9821,20,44.020818
7.984,21,44.020818
8.9866,15,44.097544
9.9738,23,44.162933
9.9548,33,44.24004
9.9862,19,44.305145
7.9656,25,44.444987
5.427701,44,45.1364
7.451,31,45.35112
9.9696,25,45.734675
7.9677,24,45.815092
9.98,21,46.046318
9.9573,28,46.113466
8.454901,32,46.491146
9.953,31,46.491146
9.9758,23,46.883034
9.9383,38,47.120948
6.4423,38,47.209116
9.9909,12,47.438505
9.4823,18,47.508522
9.9888,13,47.508522
9.9782,19,47.508522
5.4616003,25,47.662806
9.9908,13,47.883147
