#{"t_start": 1760643786.1490233, "env_id": "None"}
r,l,t
9.965099,28,2.56836
9.9629,30,2.725299
9.960899,30,2.725299
9.9648,31,2.810637
9.9607,32,2.883804
9.4626,33,2.981258
9.9584,35,3.13068
9.9560995,38,3.355927
9.9501,38,3.355927
7.4653997,45,3.913599
7.9501,40,6.025759
7.9499,42,6.101567
6.9519997,41,6.188226
9.4563,38,6.188226
8.4456005,45,6.188226
7.465,31,6.42679
5.935502,46,6.42679
7.4477,44,6.914923
9.9409,52,7.174812
7.9413004,48,7.252734
9.969,31,8.66362
9.971,31,8.66362
9.966499,36,8.889474
9.964499,36,9.040052
9.962299,38,9.112513
9.965099,30,9.503407
9.9606,35,9.660989
9.9599,42,9.735331
9.951699,44,9.890972
9.9667,34,9.890972
6.9563,38,11.652775
7.9561,40,11.809827
7.9586,35,11.895861
7.4627,34,12.214574
7.952,41,12.293479
9.9524,37,12.70946
8.4606,35,12.70946
7.4392,49,12.784927
7.9521003,40,12.875956
6.9563,38,12.950234
9.968699,34,14.392384
9.9604,37,14.858253
9.9734,27,14.858253
9.9669,32,14.858253
9.958,41,15.088876
9.964499,36,15.088876
9.9732,29,15.171994
9.9646,35,15.548062
9.9602995,38,15.894426
9.9623995,37,15.96824
7.4629,32,17.02128
6.9545,36,17.804941
7.9584002,37,17.879329
6.9563,38,18.192976
7.4497,44,18.462754
8.450001,41,18.54225
7.4518,43,18.629267
7.9563003,38,18.629267
9.949699,44,19.512097
8.451401,47,19.67704
9.9605,36,19.909733
9.9625,36,20.754824
9.9734,27,20.754824
9.9733,28,20.754824
9.9692,29,20.926213
9.958,41,21.074559
9.9667,34,21.155987
9.9623995,37,21.155987
9.9668,33,22.085708
9.971,31,22.085708
7.9587,34,22.557078
9.9608,33,23.342773
9.949599,45,24.313439
7.4521,40,24.313439
7.9456,45,24.476363
9.9519,42,24.476363
9.9393,48,24.549255
9.943399,47,24.791192
6.4522,39,25.192933
9.970699,34,25.281419
9.951799,43,25.516452
9.9711,30,25.759928
9.9671,30,26.704192
9.9733,28,26.704192
9.9711,30,26.931291
9.4731,30,27.16118
9.9602995,38,27.313219
9.962299,38,27.468258
9.964399,37,28.095111
9.9646,35,28.254008
9.9560995,40,28.411812
7.9476004,45,29.298441
9.9584,37,29.613965
9.9519,42,30.022544
9.9543,38,30.190555
6.9437,44,30.49319
9.952,41,30.83062
9.9498,43,30.83062
9.9585,36,31.254992
9.9753,28,31.646749
9.9435,46,31.890073
9.9689,32,32.283639
9.9734,27,32.283639
9.9449,52,32.665577
9.9625,36,33.125744
9.9688,33,33.125744
8.969,31,33.284602
9.9646,35,33.590991
9.9688,33,33.840402
9.965099,30,34.240776
9.953899,42,34.939496
9.9458,43,35.660287
9.949599,45,35.818403
9.9584,37,36.053776
9.9523,38,36.139873
9.945499,46,36.321323
9.9498,43,36.712023
9.951799,43,37.035021
9.953899,42,37.196283
9.9502,39,37.356702
9.9689,32,37.515188
9.969299,28,38.293847
9.962999,31,38.293847
9.9669,32,38.689848
9.962199,39,38.780825
9.4668,33,38.929191
9.962299,38,39.693022
9.9647,34,39.693022
9.9622,39,40.404941
9.9563,38,40.482116
9.9616995,44,40.640249
9.9539995,41,42.001102
9.951799,43,42.088244
9.9431,50,42.251972
9.9367,54,42.574253
9.95,41,42.966799
9.9539995,41,42.966799
9.940599,55,43.292241
9.96,41,43.769192
9.949699,44,43.946987
9.95,41,43.946987
9.9713,28,44.498375
9.9688,33,44.658446
9.9688,33,44.731195
9.9733,28,44.812618
9.9689,32,45.518543
9.964499,36,46.161699
9.962,41,46.248627
9.9688,33,46.585023
9.962299,38,46.977055
9.9498,43,47.219369
9.9519,42,47.852949
9.952,41,48.015837
9.9477,44,48.178363
9.9431,50,48.814396
9.953899,42,48.895504
7.4544,37,49.16169
9.4523,38,49.638549
9.971,31,49.710774
9.951599,45,49.867575
9.9477,44,50.532523
9.9668,33,50.532523
9.973,31,50.685113
9.9601,40,51.229805
9.9711,30,51.313094
9.962299,38,51.874586
9.966599,35,51.957586
9.9709,32,52.188914
9.969,31,52.343292
9.975699,24,52.427132
9.9605,36,52.583202
7.9434004,47,54.253828
7.9521003,40,54.417495
9.947399,47,54.417495
9.9733,28,54.81932
9.947599,45,54.894464
9.9499,42,55.301541
9.9541,40,55.376684
9.948999,51,55.943666
9.9428,53,56.577708
9.946799,53,56.671566
9.9689,32,56.978367
9.9625,36,57.288458
9.962299,38,57.288458
9.9585,36,57.678512
9.9642,39,57.985016
9.9668,33,57.985016
9.962,41,58.516985
9.9667,34,58.602113
9.9712,29,58.915614
9.966599,35,59.310679
9.9519,42,60.24199
9.968599,35,60.413646
9.9606,35,60.798209
9.9585,36,60.886386
9.953099,50,61.290795
9.9607,34,61.379252
9.9388,53,61.544384
9.9498,43,62.041035
9.9733,28,62.584906
