#{"t_start": 1760643849.7860274, "env_id": "None"}
r,l,t
9.922899,50,4.008713
6.9207,52,4.166041
4.4083014,56,4.46883
2.4101982,57,4.549323
9.4136,63,5.004082
6.8975,64,5.076194
4.844902,90,7.067343
9.9543,38,7.448775
1.3156986,102,8.016862
9.957199,49,8.24261
5.899502,66,9.23686
6.9091997,69,10.387189
4.3918037,83,10.46743
-26.812899,148,11.70146
-12.8129,148,11.70146
9.9221,60,11.878376
7.8693,88,12.096826
9.9567995,53,12.353999
6.408,61,12.446967
2.388998,71,15.016351
9.949699,44,15.26127
-1.6436033,97,16.04931
9.3766,75,16.514355
6.8765,76,16.514355
9.932799,53,16.515535
6.9164,57,16.591485
9.908199,59,16.591485
7.8933,68,17.12763
6.8992996,68,17.744103
9.4312,49,18.841252
9.4564,37,19.456788
9.9309,52,20.080362
8.891,71,20.782308
9.911699,64,21.491699
9.9015,66,21.649124
9.8874,67,22.344376
9.8847,74,22.344376
5.9187016,54,23.674492
9.8724,77,23.749841
9.4354,47,23.749841
9.8501,100,24.30271
9.937799,43,24.844791
9.9203,58,25.359912
9.445399,47,26.12782
9.9122,59,26.358598
9.9268,53,26.608602
9.9585,36,26.68013
5.809202,109,27.537349
9.4351,50,27.786136
9.4432,49,27.786136
9.9584,37,27.946152
9.9627,34,29.472872
9.9501,40,29.62689
9.9417,44,29.71057
9.914499,56,29.948191
9.949599,45,30.281615
9.967,31,30.445401
9.9564,37,30.531769
7.8745003,76,30.531769
9.9353,48,31.676084
9.9606,35,32.317509
9.9101,60,32.62737
9.451799,43,33.202556
7.9458003,43,33.45424
9.9544,37,33.531701
9.929,51,33.772032
9.947599,45,34.078783
8.9522,39,34.785481
9.9668,33,34.944505
9.452,41,35.922964
9.911099,70,35.922964
9.469,31,36.007286
3.3828983,72,36.30997
9.946199,39,36.543648
9.9356,45,36.786205
9.9605,36,36.946946
7.9519,42,37.102984
9.469,31,37.262535
9.9629,32,38.486911
9.945299,48,38.810575
9.9565,36,38.895913
9.9587,34,39.057477
9.9458,43,39.371596
9.9606,35,39.605001
9.9605,36,40.010351
9.943199,49,40.484833
9.951699,44,40.484833
9.9541,40,40.484833
7.9648,33,41.552225
9.9563,38,41.552225
9.939899,42,42.21863
8.4418,43,42.533153
9.964499,36,42.533153
9.9522,39,43.164883
9.9648,33,43.164883
9.9647,34,43.251358
3.933198,49,43.326668
9.9581995,39,43.65854
9.969399,27,43.745883
9.9539995,41,44.867056
9.9607,34,45.281827
9.969399,27,45.370715
9.9541,40,45.446699
9.9501,40,45.771331
9.9627,34,45.931632
9.9563,38,46.359887
9.9583,38,46.848891
9.9541,40,46.922568
9.960899,32,47.494483
9.934899,52,47.569209
9.4712,29,47.65277
9.9712,29,47.811029
9.9544,37,48.35504
9.9647,34,48.513245
9.9581995,39,49.093948
9.9604,37,49.323762
9.9669,32,49.407527
9.9623995,37,49.865741
9.9586,35,50.428652
9.9585,36,50.428652
9.969299,28,50.587141
9.9543,38,50.815989
9.4553995,47,51.246973
9.9585,36,52.266014
9.9524,37,52.431568
9.9646,35,53.295179
9.932099,60,53.38171
9.9498,43,53.38171
9.9585,36,53.53718
9.9606,35,53.694562
9.9494,47,54.262699
9.9583,38,54.347412
8.413001,71,54.826126
9.9626,35,55.063878
9.9627,34,55.149802
9.958799,33,56.32484
9.9604,37,56.32484
9.9604,37,56.503461
9.952999,51,57.467922
9.9542,39,57.467922
9.9244995,56,57.947226
9.947399,47,58.181226
9.9542,39,58.274021
9.947599,45,58.507279
9.967199,29,58.751495
9.9452,49,59.162229
9.9541,40,59.807071
9.9648,33,60.124564
9.9513,48,60.282677
9.9648,33,60.91781
9.9584,37,61.162815
9.949499,46,61.162815
9.9515,46,61.666134
9.9562,39,61.666134
9.9625,36,62.060251
9.9692,29,62.144794
9.949699,44,62.303425
9.967,31,62.78641
9.9499,42,63.491826
9.9712,29,63.491826
9.9539995,41,64.230144
9.9668,33,64.307389
9.4647,34,64.391543
8.943299,48,65.026236
9.9539995,41,65.350228
9.952,41,65.425701
9.458099,40,65.517479
9.9585,36,65.678236
9.9584,37,66.4713
9.9629,32,66.802317
9.9452,49,67.43199
9.9695,26,67.506922
9.952,41,67.670632
9.9647,34,67.757282
9.9731,30,67.757282
9.945499,46,67.989226
9.965199,29,67.989226
9.9583,38,68.552158
9.4522,39,69.609852
9.9671,30,69.854412
9.9713,28,69.929021
9.967,31,70.479558
9.9409,52,70.957707
9.9477,44,71.033916
9.9578,43,71.195191
9.949699,44,71.280509
9.949699,44,71.522783
9.962299,38,71.610064
9.971499,26,71.685383
9.973599,25,73.380069
9.949499,46,73.626827
9.947499,46,73.700777
9.9626,35,74.107799
9.9623995,37,74.107799
9.967,31,74.107799
9.9534,47,74.338044
9.953799,43,74.495408
9.9479,42,75.090059
9.9498,43,75.249239
9.9648,33,76.282465
