#{"t_start": 1760643927.1190307, "env_id": "None"}
r,l,t
9.4626,33,2.694835
9.9606,33,2.694835
9.4581995,37,3.00064
9.9618,41,3.306038
9.9498,41,3.306038
9.945499,44,3.54004
9.447399,45,3.622758
7.4552994,46,3.69452
9.957299,46,3.69452
9.948299,56,4.457435
9.957399,47,6.274667
9.952,41,6.424689
9.9459,42,6.811582
9.943399,47,6.884426
9.9485,56,6.967204
9.446799,53,7.037388
9.952,41,7.606686
9.944699,54,7.846058
9.950399,57,8.095875
9.4691,30,8.666217
7.9448996,72,9.144254
9.465699,44,10.028965
9.4601,40,10.289567
9.949499,46,10.595511
9.957399,47,10.748663
9.9544,37,10.89724
9.9519,42,11.500683
9.4505,56,12.111041
9.947599,45,12.269511
9.9491,70,12.645914
8.945499,46,13.807978
9.9499,62,14.043403
9.9436,45,14.043403
9.9409,52,14.043403
9.955299,48,14.426895
9.943399,47,14.509265
9.9662,39,15.291784
9.9379,62,16.28893
9.9347,54,16.28893
9.9649,32,16.524218
9.9408,53,16.745285
9.9584,37,16.910235
9.9604,37,17.278654
9.948999,51,17.996944
9.9633,48,18.225836
9.937599,65,18.835628
9.953799,43,19.600965
9.962299,38,19.687174
9.9478,43,19.833088
8.4516,65,20.308757
9.934999,51,20.866524
9.9563,38,20.939938
9.945399,47,20.939938
9.9358,63,21.175347
9.9498,43,21.553155
9.9499,42,22.100264
9.4691,30,22.171629
9.9502,39,22.648583
9.9602995,38,23.805273
9.9514,47,23.967543
9.9502,39,24.196685
9.9402,59,24.278696
9.951699,44,24.350481
9.4662,39,24.65571
9.9431,50,24.885776
9.9604,37,25.612075
9.957399,47,25.83462
9.9382,59,26.838573
9.4501,40,26.993365
9.9584,37,27.149844
9.4662,39,27.3757
9.943399,47,27.705731
9.9605,36,27.705731
9.947399,47,28.32628
9.934199,59,29.020412
9.9627,34,29.489388
9.939199,49,29.64563
9.9465,56,29.950254
9.9641,40,30.101217
9.9623995,37,30.57502
9.4415,46,30.726108
9.947499,46,31.263347
9.9507,54,31.566383
9.9649,32,32.414765
9.965699,44,32.414765
9.960799,53,32.414765
9.959499,46,33.191382
9.947,51,33.417711
9.953799,43,33.417711
9.9682,39,33.720458
9.948999,51,34.496109
9.9559,42,34.496109
9.961499,46,35.126324
9.465,31,35.812005
9.9528,53,36.496995
9.9560995,40,36.496995
9.9465,56,36.73875
9.441299,48,36.89675
9.9519,42,36.969224
9.929999,61,37.124183
