#{"t_start": 1760645524.1406515, "env_id": "None"}
r,l,t
14.354694,132,12.680086
17.853794,137,13.14958
17.350395,139,13.334867
17.851395,141,13.52932
17.843594,147,14.09392
15.331392,157,15.046127
16.821293,166,15.956332
17.805794,169,16.247614
15.274288,212,20.355597
6.3028955,242,23.167299
17.841496,146,27.972708
15.329994,165,28.345621
17.340595,151,29.385467
17.84019,171,29.385467
17.344395,149,30.058588
17.318398,185,31.019634
17.81829,190,31.690767
17.834892,164,31.882996
17.832695,166,36.143049
17.861694,144,36.912703
16.366295,130,40.725928
17.867596,125,41.281421
17.849094,142,41.472133
17.843796,147,43.987381
17.331194,157,44.263729
17.351294,144,44.552858
17.847095,146,45.367788
17.839294,156,46.505822
17.859295,132,48.456223
17.827793,163,52.05419
17.844095,148,55.186195
16.841694,152,55.366959
17.814293,174,56.84534
17.869194,125,56.942491
14.856494,136,57.128175
15.849593,141,59.543893
16.818995,171,59.81504
16.815098,178,60.765112
17.322094,168,64.217183
17.852493,140,65.275751
17.350094,144,68.822037
17.857895,134,69.544827
16.830795,161,70.606997
14.334387,157,71.781022
17.858494,136,72.435432
17.857395,135,72.623695
17.317593,169,73.100857
17.834595,159,75.910737
17.865395,131,76.637985
17.375196,121,76.747955
16.840996,151,83.079853
17.839493,154,84.07279
17.840494,152,84.94499
17.354694,138,85.482077
17.332897,148,86.595565
17.832195,159,86.782953
17.837994,153,87.523195
17.862694,126,88.461468
17.869595,129,88.648292
17.811995,169,91.668039
17.859695,136,95.602988
17.877296,120,95.975549
17.361895,134,96.434903
17.850195,143,99.766155
17.847897,142,99.864619
17.842793,157,99.954813
17.867996,125,100.137747
17.362795,133,100.704219
15.811692,164,102.69338
17.347895,146,105.137865
17.858795,133,108.26205
17.866693,142,108.739543
17.364494,132,112.330572
17.851894,142,112.974274
17.841797,143,113.157415
16.797493,182,113.241057
17.354296,146,114.17776
17.320396,161,114.679573
17.351696,144,115.971135
17.864796,133,117.436135
17.347595,145,121.670739
17.342995,151,122.666896
15.869995,125,124.718506
17.848595,143,125.559457
17.857195,137,125.645183
17.352396,141,126.314015
17.344494,148,128.348811
17.835594,153,128.348811
17.854395,137,128.627735
17.843594,149,131.226724
17.351093,142,135.816691
17.303493,186,138.879536
17.340996,151,139.59377
17.340494,152,140.328748
17.860796,133,140.596848
17.822298,170,141.267657
17.8387,154,142.573893
17.293491,194,142.660221
17.833496,154,142.850202
17.3275,166,146.529564
17.3415,150,149.680724
17.351095,138,151.585882
17.8508,145,153.712719
17.317997,169,155.187434
14.333288,160,157.418645
17.331299,160,157.602568
17.327202,169,158.146972
17.792595,195,159.298481
17.848797,145,159.948663
17.2812,209,159.948663
17.321299,168,165.280634
17.850399,145,167.165757
17.816696,174,167.727197
17.835999,157,169.785318
17.370195,123,170.771368
17.838198,155,172.168247
17.836197,155,172.764367
17.8577,140,173.157462
17.838898,156,174.691359
17.802696,186,174.96709
17.327995,161,180.411788
17.874697,118,180.963451
17.8433,152,181.516853
17.357697,136,184.866572
17.793797,195,186.061021
16.852196,143,186.061021
16.319798,171,186.795637
17.3436,149,186.989621
17.358595,135,187.46986
17.312895,176,190.943816
17.8533,140,194.472619
17.338394,153,195.116376
17.305191,185,197.615047
17.369095,126,198.753398
17.857195,137,198.849656
17.854694,138,198.934474
17.328995,163,200.023799
17.851894,142,200.715611
15.342693,150,200.805861
17.826794,165,206.304404
17.860395,133,207.528687
17.341595,149,208.350956
17.364094,128,210.591824
17.853596,137,211.497719
16.839394,155,211.962946
17.853395,135,212.539786
17.863695,128,212.628115
17.324797,169,214.593069
17.838198,155,215.047124
17.344196,147,219.946276
17.859995,133,220.681498
17.823292,168,223.114998
17.863094,130,223.56385
17.858696,134,224.958283
17.832495,156,225.04375
16.851597,141,225.722802
17.837593,153,226.190884
17.347694,144,228.432696
16.836695,154,228.898177
17.383396,115,231.382599
17.831095,158,234.606574
17.361395,131,235.692977
17.875696,120,236.061914
17.847198,149,236.926215
17.340294,150,239.60723
16.830696,162,240.058371
17.871895,122,240.156995
17.842,153,240.344935
17.862696,130,240.432685
17.855196,137,244.118793
17.361195,133,246.917658
17.868797,125,247.635936
17.333694,156,251.376119
17.304996,187,253.000271
17.850494,140,253.095353
17.841095,150,253.471032
17.843994,149,254.259486
17.305393,183,257.297586
17.801693,188,257.47831
17.868797,125,258.496383
16.331497,162,259.0567
17.845894,146,261.200098
17.860996,131,265.254635
17.335693,156,265.813817
17.837093,154,267.777612
17.831295,160,267.863535
17.825193,165,269.561698
17.855995,137,270.212342
16.856695,138,271.885799
17.319492,170,273.057437
17.311693,160,273.337637
17.349796,143,274.458224
17.359495,134,277.71086
17.860497,132,278.075277
17.850096,140,280.877188
17.855795,135,282.063026
17.363197,129,282.144648
17.332695,158,282.423053
17.872097,124,283.363333
17.356195,135,285.611523
17.846794,145,287.923752
17.813995,173,289.358829
17.852795,141,290.77555
17.833096,158,292.730863
17.861296,132,294.3541
17.858295,134,294.45505
17.846897,148,294.539754
17.362295,130,295.402288
17.869396,123,297.007601
17.854197,135,300.420039
17.271795,215,302.358377
17.865496,126,302.457598
17.844398,149,303.19847
17.851597,137,305.473968
17.851295,140,307.589862
17.856297,134,307.866927
17.337597,153,308.615663
14.84159,153,308.703378
17.863197,129,308.993261
17.848297,142,313.629998
16.837696,144,318.880939
17.308197,179,319.145831
17.809093,178,319.813986
17.862497,132,319.900449
17.858295,130,319.995925
17.858597,135,321.323768
17.360397,133,321.411134
17.820694,170,324.456614
17.818295,170,329.415189
-8.290293,300,330.225474
17.868196,127,331.626445
17.363997,129,331.892785
17.851994,137,332.466852
17.839996,149,332.65978
17.338797,153,335.442816
16.814602,179,335.726794
17.832294,158,335.995492
17.856197,139,337.314999
17.342796,149,343.230837
17.857796,135,344.120125
17.344696,150,344.120125
17.855795,135,345.143979
17.336596,155,346.303653
17.829597,157,347.043154
17.844196,147,349.349937
16.836994,155,350.382133
17.823494,166,350.829428
17.813496,158,351.953191
17.864796,129,356.082803
17.837597,145,356.634923
17.837595,153,358.306747
17.848995,143,358.392363
17.830597,155,360.580235
16.838394,153,361.143778
17.858498,136,361.887797
17.358295,138,363.514863
17.847595,145,363.723653
17.355595,141,364.946571
17.876595,119,367.61997
17.850798,137,368.702642
17.871994,125,369.825902
17.849396,139,371.234899
17.868496,124,372.624944
17.851196,133,372.903194
17.852695,130,373.915262
17.367496,130,376.968901
17.346495,148,377.418439
17.842892,152,377.602569
17.332195,155,381.96223
17.850197,135,382.332247
17.339394,155,383.082313
17.345493,150,385.121388
16.858994,139,385.487145
17.351196,141,386.950557
17.836094,160,387.721924
17.358196,131,389.554968
17.359295,140,390.589878
17.836296,150,390.8682
17.863796,131,394.492536
17.325195,157,396.504358
