#{"t_start": 1760643965.301029, "env_id": "None"}
r,l,t
13.913528,77,7.294743
10.906364,82,7.723913
13.905595,83,7.825466
13.898328,89,8.351235
11.897665,89,8.351235
13.901661,89,8.351235
13.884561,100,9.336474
13.885127,101,9.436475
13.385794,101,9.436475
11.872032,112,10.424618
13.925862,69,13.53501
13.906161,86,15.627641
13.913228,82,15.808846
13.396028,94,16.248864
13.404428,90,16.558536
13.914195,79,16.643705
13.400994,91,17.711849
13.913228,82,17.906971
13.87756,112,18.52296
12.888661,101,18.52296
13.899361,94,22.090651
13.919062,77,22.640132
13.911895,82,24.005016
13.919162,76,24.613593
13.897161,96,25.32436
13.882426,110,26.22964
13.8743925,117,26.408648
13.897461,93,26.9703
13.874593,115,28.326574
13.872393,117,29.131344
13.900228,92,30.952818
13.907495,86,31.932779
13.867792,123,33.398133
13.415528,79,33.57494
13.890094,100,34.53101
13.900894,92,34.893005
13.876226,112,34.893005
13.897527,99,36.091435
13.884626,108,38.297689
13.903395,87,39.815951
13.912195,79,40.70554
13.881293,108,40.89689
9.861696,144,42.347588
13.891427,100,42.4449
13.89696,98,43.404805
13.911128,83,43.593717
13.89056,102,44.156771
13.889127,103,44.249476
13.907394,87,46.141212
13.894394,97,48.66142
13.903661,91,49.025105
13.900428,90,49.109069
13.892294,98,51.278113
13.905961,88,51.457397
13.891227,102,51.7353
13.904428,90,52.353574
13.892094,100,52.714763
13.897827,96,53.011616
13.880426,110,56.192992
13.913895,82,56.539073
13.900428,90,56.80827
13.900328,91,57.253813
13.900794,93,59.912886
13.8919935,101,60.437444
13.898694,94,60.870921
13.903194,89,61.051686
13.885027,104,61.14467
13.883293,108,62.561257
13.914561,82,64.013961
13.917062,77,64.287867
