#{"t_start": 1760644606.812186, "env_id": "None"}
r,l,t
15.881199,102,9.765213
15.860897,115,10.930344
15.360999,119,11.282928
15.852198,127,11.984148
15.848898,130,12.27832
15.8569,130,12.27832
15.8515,134,12.630257
15.833696,137,12.891552
15.825798,146,13.765374
5.852606,173,16.650216
15.860397,112,20.976682
15.892599,95,20.976682
15.888699,99,22.095136
15.8492985,133,24.150438
15.855199,124,24.69505
15.358599,125,25.167995
14.352299,128,25.731354
15.335098,145,26.674299
15.831198,144,28.088107
13.870996,121,28.475233
15.375999,111,31.425566
15.356898,122,32.445801
15.857899,127,34.058034
15.366199,119,35.38462
15.383199,104,35.571428
15.876999,111,35.67706
15.891999,96,35.762306
15.860399,122,36.274666
15.878897,107,38.454961
15.874798,108,38.957885
14.896097,90,41.242718
14.881499,106,41.735695
15.393299,98,45.349139
15.890299,98,45.802478
14.860899,122,45.900592
15.8776,110,46.309434
14.365698,114,46.85516
14.3615,121,47.239405
15.384899,102,48.296886
15.880899,107,49.2241
15.391899,97,50.864038
15.876497,106,52.193526
15.865299,113,57.322029
15.877699,109,57.428129
15.859598,125,58.035477
15.877099,110,58.035477
15.879199,109,59.455462
15.334198,144,60.579882
15.376499,111,62.163121
15.871897,127,62.378284
15.856099,125,64.944376
15.875597,105,69.751079
15.851297,123,70.115595
15.354199,124,70.213632
15.878698,104,72.016836
15.8492985,128,72.845387
15.8825,106,74.849414
15.841699,134,75.05696
-2.7533984,300,76.809373
14.394798,93,78.49332
14.893898,92,78.880087
15.8906,100,79.533509
15.897296,103,82.646911
15.360098,120,83.374677
15.887499,101,84.405763
14.875398,107,85.126097
13.935196,94,85.598202
-2.2509236,300,86.071331
-2.2739217,300,86.172695
15.8993,93,87.588304
15.884998,101,87.961427
15.850898,127,91.6344
15.405298,83,93.125708
15.366298,113,93.435222
15.869497,111,94.011645
15.898198,89,94.764524
15.361298,118,95.730287
15.372198,109,96.105485
15.883497,101,97.367042
15.856697,124,98.050618
15.361198,124,100.016201
15.376599,110,102.186483
15.888698,94,103.044383
15.882999,106,103.613257
15.875198,109,103.614341
15.892097,95,105.227244
15.379099,105,105.855881
14.864298,118,106.142294
15.886498,96,106.645719
15.880798,103,107.929628
14.390698,94,112.783675
15.875498,106,113.369984
15.9047985,83,113.936889
15.375998,106,113.936889
15.835197,139,115.639066
15.886499,101,115.923014
15.798596,170,116.39548
15.877699,104,116.6818
15.861399,122,117.055303
14.878697,104,118.039131
15.3897,99,123.017651
15.891598,95,123.21116
15.377199,109,123.399753
15.867098,115,125.175078
15.382097,105,126.224697
15.879699,104,126.847318
14.877798,103,128.052714
15.864099,120,128.052714
15.874199,114,128.154107
15.8979,92,132.051744
15.886198,99,132.325889
15.884199,104,132.980398
15.873299,108,135.224764
15.866297,113,137.324758
15.883299,103,137.599558
15.877498,106,137.958597
15.848297,128,138.047316
15.860798,118,138.979409
15.888699,94,140.753978
15.890997,96,141.847322
15.861697,119,143.344522
-2.246424,300,143.994056
15.869597,110,145.442608
15.896598,90,145.712347
15.897697,89,146.369389
15.378298,103,147.568473
15.875198,109,147.753255
15.357998,126,150.738902
15.879798,103,151.613396
15.899899,87,151.613396
15.860097,120,152.091642
15.872498,111,154.62926
15.887598,100,157.697229
15.880697,104,157.927138
15.862297,118,158.029589
15.854098,130,158.224574
15.853397,127,158.224574
15.885699,104,161.408617
15.883497,101,161.890445
15.380797,103,162.515576
14.866097,115,163.198136
15.891798,93,167.461092
15.385597,100,167.853936
15.880398,102,167.854964
15.835597,140,168.769721
15.374697,109,168.862529
15.874197,109,169.069155
15.883699,104,172.083866
15.891298,93,172.373763
15.378698,104,172.753728
15.8323965,142,175.304473
14.876598,105,177.74295
15.891298,93,177.830693
15.381098,100,178.603264
14.883198,99,178.705063
15.874298,113,178.895814
15.879799,103,182.334598
15.897299,88,183.741537
15.867697,114,183.741537
15.858797,123,183.929167
15.893999,96,186.995956
15.388798,98,188.264059
15.873199,114,188.669296
15.874397,107,188.854877
15.854198,129,191.027853
15.883799,103,193.692151
15.854898,127,194.539848
15.8710985,115,195.021062
15.860798,118,195.195874
-14.758378,300,196.937451
15.381199,104,198.384063
15.875398,107,199.222258
15.855699,129,199.511292
15.864597,115,199.781426
15.381497,101,200.843961
15.886898,97,204.660395
15.352198,124,205.743105
12.922598,95,206.113383
15.858697,119,206.113383
15.352697,124,207.054298
15.884699,104,208.390305
15.886799,103,209.157186
15.863497,116,210.912731
15.8654995,121,211.104066
15.869297,113,211.676954
15.888498,96,214.896333
15.866297,113,215.333601
15.8946,95,216.045674
15.372197,109,216.422421
15.401497,86,216.522984
15.868998,111,216.633375
15.389699,99,218.500766
15.400898,87,219.161177
15.387698,99,220.512718
15.885899,97,220.881659
15.875097,105,226.456981
14.8692,119,226.647304
15.867097,115,227.035929
15.854698,129,227.124648
15.870398,112,227.226063
15.867798,113,227.418509
15.875498,106,228.649164
15.892597,90,229.143951
15.893198,94,229.91567
15.3590975,120,230.671539
15.9019985,86,235.401471
15.896198,94,235.501272
15.883497,101,236.35833
14.890198,94,236.461063
15.874598,110,237.609138
15.356497,121,238.838201
15.879897,102,238.940345
15.899899,87,239.0295
15.876598,110,239.219356
15.860197,119,241.269551
15.898298,88,244.669942
