#{"t_start": 1760644453.6337965, "env_id": "None"}
r,l,t
13.8676605,109,9.91115
11.83147,131,11.816134
11.834703,132,11.913461
11.801837,154,13.850428
9.755265,213,19.222951
9.777165,214,19.324809
13.858228,112,19.965847
0.7634516,251,22.656966
-2.7516174,275,24.995214
-0.26772022,276,25.091133
-12.27658,298,27.091155
13.876862,99,29.108149
13.868227,112,29.669176
5.785532,199,30.035045
13.856394,117,30.035045
9.822399,177,30.119535
9.802099,200,30.213974
13.855161,116,33.366665
13.875128,103,36.4736
13.886028,94,38.567374
9.851766,150,38.750797
13.865294,108,39.893337
13.841027,124,40.332794
9.794399,197,42.835322
13.840927,125,44.643505
13.887196,89,46.533771
13.884895,92,46.977123
13.853527,119,47.153
13.883061,97,48.565442
5.2904997,216,49.093495
5.7753344,221,50.06249
13.845794,123,51.313985
5.7497673,250,52.50057
13.860127,113,52.939373
13.862428,110,54.489966
13.876095,100,55.928576
13.865294,108,56.185651
13.861195,109,56.900017
13.881162,96,57.166936
13.385462,93,57.422827
13.867595,105,59.473189
13.894528,89,60.925387
13.864327,111,61.279248
12.876196,99,61.361264
13.882595,95,62.942052
13.889562,92,64.377104
13.879062,97,64.555153
13.372727,107,66.749138
13.862994,111,66.853664
13.840627,128,69.009945
13.864994,111,69.560711
13.876561,102,70.619749
12.860996,111,70.984242
13.866061,107,72.678405
13.382495,96,73.122242
13.383828,96,73.301663
13.823426,140,73.92661
13.874195,99,75.740729
13.388629,88,76.873768
13.853928,115,77.231458
13.876561,102,79.735192
13.873028,104,80.282835
13.836893,132,81.357486
13.872161,106,82.14817
13.868361,104,82.410494
13.867495,106,82.763318
13.873795,103,83.117782
13.895395,87,84.667889
13.856494,116,86.089582
13.886028,94,88.210462
13.828393,137,89.565575
13.866061,107,89.949799
13.377428,100,92.137403
13.862428,110,92.685008
13.841193,129,92.949883
13.8807955,93,93.033074
13.85076,120,93.208125
13.876095,100,95.043556
9.833662,151,95.673603
13.895295,88,96.027197
13.874862,99,98.40263
13.877728,97,100.826763
13.34226,125,101.112504
13.883362,94,101.455262
13.877428,100,101.62853
13.880295,98,101.726624
13.360027,114,103.418218
13.871494,106,105.226194
13.858794,113,105.226194
13.881728,97,107.10601
13.343027,124,107.191014
13.876195,99,109.977694
13.874161,106,110.328249
13.377228,102,110.845139
12.3589945,111,111.559305
13.855627,118,111.994025
13.376295,98,114.016787
13.847126,123,114.469607
12.85286,119,115.917083
12.873328,101,116.17554
13.853161,116,117.598594
13.871695,104,119.330826
13.384595,95,120.584319
13.353928,115,120.668766
13.867695,104,120.94303
13.851527,119,121.575133
13.879929,95,122.96994
13.872662,101,123.069368
13.871795,103,125.135493
13.871028,104,125.502962
13.885462,93,125.951985
13.380295,98,128.121329
13.877528,99,129.497423
13.885161,96,130.233652
13.871394,107,130.329642
13.863961,108,130.679313
13.390328,91,131.281564
13.881262,95,131.548931
12.899329,81,133.238104
13.378395,97,133.867694
13.877528,99,134.411981
13.866161,106,137.68895
13.364227,112,139.555315
13.863295,108,139.910514
13.864528,109,140.085699
13.377829,96,140.17792
13.866828,106,140.17792
13.360428,110,141.106214
13.886895,92,142.088433
13.861195,109,142.965444
13.874095,100,143.322899
13.858794,113,147.807585
12.889095,90,148.163236
13.882795,93,148.5069
13.880495,96,148.5069
13.871895,102,149.287522
13.384129,93,149.460808
13.84226,125,150.697391
13.378195,99,151.840839
13.860228,112,152.12287
