#{"t_start": 1760643595.46265, "env_id": "None"}
r,l,t
7.9992,7,1.760651
7.9988,11,2.03144
7.9987,12,2.101014
7.9986,13,2.168855
7.9984,15,2.302848
7.9993,8,2.570893
7.9995,6,2.570893
7.9994,7,3.040836
-6.0029,28,3.169849
-6.0029,28,3.169849
-6.0029,28,3.169849
7.9971,28,3.169849
-6.0029,28,3.170846
7.9994,7,3.670576
7.9994,7,3.670576
7.999,11,3.813926
-6.0029,30,3.815376
-6.0029,30,4.154462
7.9986,15,4.214358
7.9995,6,4.214358
-7.0029,30,4.349673
7.9989,12,4.488179
-6.0029,30,4.627969
7.9989,12,5.030847
-6.0029,30,5.23881
-6.0029,30,5.23881
7.9991,10,5.312254
7.9995,6,5.442588
7.9981,20,5.585354
7.9996,5,5.657827
-6.0029,30,5.749963
7.9993,8,5.821148
-6.0029,30,5.890578
7.9994,7,6.091849
7.9996,5,6.16002
-6.0029,30,6.227159
7.9992,9,6.296824
7.9985,16,6.365853
-6.0029,30,6.433404
-6.0029,30,6.567178
7.9987,14,6.695872
7.9993,8,6.837006
7.9993,8,6.907003
7.9995,6,6.969552
7.9995,6,7.112079
7.9982,19,7.183985
7.9987,14,7.397744
7.9994,7,7.458127
7.9991,10,7.526943
-6.0029,30,7.526943
7.9992,9,7.812782
7.9975,26,7.871711
7.9994,7,7.871711
7.9991,10,8.172834
-6.0029,30,8.241151
7.9996,5,8.241151
-6.0029,30,8.298735
7.9994,7,8.369847
7.9988,13,8.439755
7.9991,10,8.508228
7.9993,8,8.92167
-6.0029,30,8.989007
7.9979,22,9.060851
7.9992,9,9.13022
-6.0029,30,9.198836
7.9989,12,9.73868
7.9979,22,9.73868
7.9993,8,9.73868
7.9978,23,9.81162
7.9989,12,9.870461
7.9988,13,10.010031
7.9995,6,10.175329
7.9976,25,10.175329
-6.0029,30,10.23452
7.9994,7,10.23452
-6.0029,30,10.372806
7.9981,20,10.372806
7.9991,10,10.505938
7.9994,7,10.659747
7.999,11,10.659747
7.9995,6,10.659747
7.9994,7,10.718917
7.9995,6,10.78887
7.9996,5,11.252466
7.9994,7,11.252466
7.9985,16,11.735684
7.9994,7,11.735684
7.9986,15,11.805265
7.9986,15,11.865742
7.9992,9,11.865742
-6.0029,30,11.937271
7.9983,18,12.009658
7.9995,6,12.218522
-6.0029,30,12.218522
7.9993,8,12.292268
-6.0029,30,12.354223
-6.0029,30,12.576128
7.9991,10,12.64783
7.9994,7,12.720308
7.9989,12,12.720308
7.9994,7,12.793117
7.9986,15,12.929816
7.9994,7,13.13001
7.9991,10,13.270281
7.9992,9,13.406486
7.9988,13,13.602802
7.9993,8,13.80515
-6.0029,30,13.80515
7.9987,14,13.874158
7.9976,25,14.077236
-6.0029,30,14.077236
7.9995,6,14.212621
-6.0029,30,14.281703
7.9995,6,14.482539
7.999,11,14.552366
7.9984,17,14.552366
-6.0029,30,14.776789
7.9984,17,15.054651
7.9993,8,15.122518
-6.0029,30,15.191449
7.9982,19,15.39911
7.9995,6,15.531442
7.9992,9,15.664917
-6.5029,30,15.664917
7.9994,7,15.996668
7.9993,8,16.195861
-6.0029,30,16.272142
-6.0029,30,16.339153
7.9986,15,16.409444
