#{"t_start": 1760643754.420519, "env_id": "None"}
r,l,t
9.9588995,30,2.360878
9.9382,37,2.87282
9.9521,38,2.94648
9.946,39,3.00902
9.9459,40,3.081287
9.9479,40,3.081287
9.9477,42,3.21909
9.9335,44,3.348725
9.9186,53,3.976663
9.9646,35,5.387821
9.962999,31,5.520559
9.9521,40,5.665113
9.919899,80,5.871542
9.933,51,5.933144
9.9616995,44,6.077629
9.9418,43,6.208461
9.9355,46,6.280764
9.9534,47,6.354079
9.957,51,7.548359
9.9591,30,7.756591
9.9542,39,8.097718
9.948,41,8.383067
9.962999,31,8.52797
9.9442,39,8.661996
9.935699,44,9.308911
9.9351,50,9.372901
9.9396,45,9.44981
9.9352,49,9.511898
9.9606,35,10.009688
9.9628,33,10.41988
9.9526,35,10.836935
9.9605,36,11.188879
9.954599,35,11.829809
9.9414,47,11.829809
9.9642,39,12.255795
9.944,41,12.328745
9.945299,48,12.663722
9.943299,48,13.348485
9.953699,44,13.494505
9.947599,45,13.995305
9.958,41,14.070122
1.8628969,92,14.20311
9.9604,37,14.412073
9.9606,35,14.753716
9.937799,43,14.828737
9.933599,45,15.385218
9.9578,43,15.669874
9.9564,37,15.931495
9.969,31,16.369027
9.943399,47,16.793957
9.972899,32,16.991285
9.953799,43,16.991285
9.947599,45,17.262042
9.9479,42,17.402302
9.9479,42,17.827737
9.9646,35,17.902307
9.948299,38,18.397002
9.9457,44,19.105244
9.9560995,40,19.25313
9.972899,32,19.315651
9.9416,45,20.01087
9.9501,40,20.222275
9.9566,35,20.295123
9.9532995,48,20.432813
9.9395,46,20.507783
9.958099,40,20.734959
9.9587,34,20.795965
9.9539995,41,21.977156
9.960199,39,21.977156
9.9560995,40,22.115295
9.9691,30,22.115295
9.965099,30,22.385811
9.9607,34,22.882023
9.952499,36,22.9542
9.9583,38,23.381231
9.955099,50,23.722686
9.9577,44,23.867185
9.9649,32,24.208865
9.9564,37,24.561631
9.952,41,24.982927
9.945499,46,25.3455
9.9514,47,25.696715
9.9587,34,25.769241
9.946,41,25.769241
9.9437,44,26.034222
9.9482,39,26.456564
9.9505,36,26.736959
9.951699,44,26.94803
9.9653,28,26.94803
9.954599,35,27.80337
9.9669,32,28.012147
9.9484,37,28.3544
9.9546995,34,28.425542
9.9244995,56,28.494911
9.9536,45,28.835478
9.948299,38,29.112929
9.9649,32,29.183883
9.9621,40,29.768577
9.955,51,30.329094
9.952,41,30.678704
