#{"t_start": 1760643719.737299, "env_id": "None"}
r,l,t
9.9661,38,2.767227
9.9456,43,3.118736
9.933,49,3.538703
9.946899,50,3.612811
9.948899,50,3.612811
9.9268,51,3.675043
9.8772,67,4.802074
9.8804,75,5.361175
9.9398,43,5.780625
9.981,31,5.780625
9.9279,42,6.485743
9.9338,43,6.711366
9.9313,48,7.092399
9.9292,49,8.355877
9.9584,37,8.487641
9.9634,47,8.765559
-16.2509,128,9.166671
-18.270899,128,9.166671
9.9683,38,9.258839
9.967199,49,9.319814
9.965799,43,9.81054
9.950799,53,10.781831
9.9586,35,10.916176
-2.1597052,118,11.492652
9.951599,45,11.922284
9.969,31,11.983726
9.9478,43,12.196541
9.9437,44,12.271041
9.9618,43,12.271041
9.9689,52,12.970918
9.9684,37,13.377976
9.9692,29,13.952716
9.9723,38,14.157588
9.9789,32,14.231776
9.961399,47,14.231776
9.9611,30,14.292179
9.9641,40,15.055804
5.8479033,102,15.470353
9.9727,34,16.323143
9.9607,34,16.677514
9.9486,35,16.677514
9.967299,48,16.735974
9.9439,42,17.088295
9.9639,42,17.159882
9.917999,61,17.232603
9.9586,35,17.513544
9.9579,42,19.244102
9.9625,56,19.381398
9.9562,39,19.381398
5.8358026,103,19.442992
9.946199,39,19.442992
9.967899,42,19.585149
9.9587,34,19.866952
9.9683,38,19.866952
9.960199,39,19.866952
9.9539995,41,19.930192
9.9671,30,21.37854
9.9544,37,22.060049
9.9702,39,22.27522
9.9545,36,22.512096
9.9438,43,22.512096
9.9274,47,22.896761
9.9417,44,23.185277
9.939199,49,23.185277
9.9376,45,23.185277
9.9402,59,24.143977
9.949699,44,24.557715
9.967999,41,24.965379
9.9616995,44,25.406937
9.973999,41,25.406937
9.9744,37,25.478441
9.9522,39,25.894696
9.962099,40,25.968852
9.9611,50,26.030781
9.969999,41,26.030781
9.9422,39,26.865054
9.9463,38,27.640873
9.9696,45,27.712491
9.9772,29,28.044802
9.972099,40,28.187932
9.9398,43,28.470472
9.9379,42,28.811516
9.9571,50,28.883822
9.9731,30,28.956676
9.9697,44,29.027731
9.9688,33,30.506154
9.961499,46,30.851705
9.944,41,30.923283
9.945499,46,30.923283
9.94,41,31.323065
9.966599,35,31.323065
9.970099,40,31.83673
9.944,41,31.83673
9.9588995,32,32.736564
9.976999,31,33.080225
9.9571,30,33.428464
9.9524,37,33.501012
9.961299,68,33.561925
9.944099,40,33.634086
9.9748,33,33.634086
