#{"t_start": 1760643635.6492817, "env_id": "None"}
r,l,t
7.996,39,2.886653
7.9952,47,3.419823
7.9949,50,3.620034
7.9948,51,3.688379
7.9948,51,3.688379
7.9941,58,4.161916
7.9989,12,4.502844
-7.5069,68,4.853313
-15.006901,68,4.853313
-6.0069,68,4.853313
-18.006905,68,4.853313
7.9987,14,5.795027
7.9973,28,6.065598
7.9961,40,6.389656
7.9985,16,7.144777
-15.006902,70,7.607907
-6.0069,70,8.145621
-28.506893,70,8.344011
7.9971,30,8.410969
-27.506893,70,9.237682
-16.006903,70,9.567832
-6.0069,70,9.567832
-15.006902,70,9.567832
7.9967,34,9.91225
7.9977,24,10.047726
7.9953,48,10.379652
-22.506903,70,10.509863
7.9973,28,11.479067
7.9971,30,12.083415
7.9963,38,12.486361
-27.006895,70,12.885992
7.9992,9,13.091882
-6.0069,70,13.091882
7.9955,46,13.650252
7.9987,14,13.851917
-32.00689,70,13.989515
7.996,41,14.268238
-6.0069,70,14.337486
-6.0069,70,14.337486
7.9963,38,14.664788
-6.0069,70,15.131755
7.995,51,16.665185
7.995,51,16.665185
7.9972,29,16.734907
7.9957,44,17.075958
7.9954,47,17.143186
7.995,51,17.909237
7.9936,65,18.179129
7.9979,22,18.578726
7.9976,25,18.846386
7.9933,68,18.979123
-9.506897,70,19.184836
-8.506899,70,20.007993
7.995,51,20.145575
7.9981,20,20.212447
7.9985,16,20.280811
7.9956,45,21.20861
-17.506908,70,21.411339
-13.506905,70,21.488191
7.9948,53,21.488191
7.9971,30,22.306282
7.9965,36,22.579988
-12.506901,70,23.310849
7.9966,35,23.588401
-10.006901,70,23.726892
7.9976,25,24.29869
7.9972,29,24.29869
7.9934,67,24.573101
7.9954,47,24.702334
7.9984,17,24.775057
-6.0069,70,24.981221
7.9948,53,25.112264
7.9945,56,25.253615
7.9972,29,25.32164
7.9981,20,25.662095
7.9972,29,25.731883
7.9987,14,25.93694
7.9972,29,26.704922
7.997,31,27.383047
7.9979,22,27.454515
7.9961,40,27.513292
7.9963,38,27.7291
7.9951,50,27.7291
7.9964,37,28.204285
7.9982,19,28.766888
7.9956,45,28.837805
7.9981,20,29.095153
-16.006905,70,29.37619
7.9962,39,29.37619
7.9967,34,29.8458
1.9931,70,30.117543
0.0,1,30.186269
7.9977,24,30.472202
7.9955,46,30.543272
7.998,21,30.846315
7.9976,25,31.148345
7.9966,35,31.221685
7.995,51,31.293025
7.9967,34,31.505496
7.9977,24,31.903725
7.9966,35,32.316422
7.9985,16,32.597753
7.9937997,63,32.597753
7.9971,30,32.930219
7.9971,30,33.290385
7.997,31,33.290385
7.9955,46,33.691981
7.9984,17,34.108884
