Wall time,Step,Value
1760643598.9101605,320,28.0
1760643601.1234694,640,5.0
1760643603.3379195,960,7.0
1760643605.5455873,1280,13.0
1760643607.8920612,1600,30.0
1760643610.087528,1920,17.0
1760643612.2777238,2240,6.0
1760643614.4617057,2560,6.0
1760643616.6624916,2880,8.0
1760643618.8580382,3200,30.0
1760643621.0685437,3520,5.0
1760643623.3641274,3840,7.0
1760643625.6237168,4160,16.0
1760643627.8612313,4480,6.0
1760643630.1000502,4800,21.0
1760643632.346844,5120,5.0
1760643638.0401378,5760,7.0
1760643640.2241626,6080,12.0
1760643642.383382,6400,40.0
1760643644.529787,6720,30.0
1760643646.7005985,7040,70.0
1760643648.878068,7360,70.0
1760643651.0468981,7680,70.0
1760643653.3410501,8000,47.0
1760643655.5070608,8320,70.0
1760643657.6715221,8640,53.0
1760643659.859811,8960,70.0
1760643662.0601554,9280,14.0
1760643664.2543907,9600,37.0
1760643666.4994488,9920,21.0
1760643668.7211733,10240,30.0
1760643673.2556121,10710,28.0
1760643675.5483513,11030,25.0
1760643677.8380713,11350,82.0
1760643680.1124766,11670,23.0
1760643682.4792032,11990,14.0
1760643684.750753,12310,21.0
1760643687.0343955,12630,24.0
1760643689.3089967,12950,14.0
1760643691.6177683,13270,26.0
1760643693.9151351,13590,44.0
1760643696.2448282,13910,20.0
1760643698.633979,14230,61.0
1760643701.0231068,14550,42.0
1760643703.3797448,14870,80.0
1760643705.7500098,15190,26.0
1760643708.1450562,15510,18.0
1760643710.5162148,15830,30.0
1760643713.0996852,16150,18.0
1760643715.4717858,16470,25.0
1760643717.9313335,16790,38.0
1760643722.080127,17210,25.0
1760643724.3169165,17530,51.0
1760643726.6771598,17850,43.0
1760643728.9070015,18170,128.0
1760643731.139843,18490,35.0
1760643733.3969955,18810,37.0
1760643735.6319294,19130,102.0
1760643737.862762,19450,35.0
1760643740.105747,19770,41.0
1760643742.4677505,20090,43.0
1760643744.7056704,20410,41.0
1760643746.941482,20730,39.0
1760643749.1790788,21050,44.0
1760643751.4135015,21370,35.0
1760643756.9291718,21970,30.0
1760643759.1525314,22290,53.0
1760643761.3935225,22610,47.0
1760643763.6380513,22930,39.0
1760643765.8864908,23250,36.0
1760643768.1176379,23570,44.0
1760643770.3550067,23890,37.0
1760643772.6641083,24210,35.0
1760643774.9312947,24530,46.0
1760643777.1397514,24850,30.0
1760643779.4073222,25170,41.0
1760643781.6536462,25490,28.0
1760643783.8895845,25810,32.0
1760643789.0358267,26300,32.0
1760643791.5930698,26620,45.0
1760643794.184743,26940,48.0
1760643796.6681435,27260,34.0
1760643799.2659118,27580,38.0
1760643801.860572,27900,35.0
1760643804.4327676,28220,38.0
1760643806.987771,28540,28.0
1760643809.4947884,28860,33.0
1760643812.0703542,29180,30.0
1760643814.5638278,29500,40.0
1760643817.228125,29820,43.0
1760643819.7436202,30140,35.0
1760643822.292113,30460,38.0
1760643824.8422081,30780,32.0
1760643827.3356009,31100,44.0
1760643829.9212682,31420,41.0
1760643832.4761705,31740,41.0
1760643835.048456,32060,42.0
1760643837.6193774,32380,30.0
1760643840.149411,32700,36.0
1760643842.7293897,33020,53.0
1760643845.2183554,33340,29.0
1760643847.8575096,33660,53.0
1760643852.38765,34090,43.0
1760643854.8657224,34410,64.0
1760643857.3191185,34730,38.0
1760643859.8272028,35050,66.0
1760643862.5475352,35370,61.0
1760643865.0503607,35690,44.0
1760643867.5331225,36010,68.0
1760643870.022795,36330,52.0
1760643872.516481,36650,74.0
1760643875.040836,36970,43.0
1760643877.7356458,37290,37.0
1760643880.3210554,37610,76.0
1760643882.8926964,37930,60.0
1760643885.459509,38250,33.0
1760643888.0126803,38570,31.0
1760643890.5992248,38890,40.0
1760643893.197944,39210,49.0
1760643895.806418,39530,34.0
1760643898.3853326,39850,34.0
1760643900.9295216,40170,38.0
1760643903.5557916,40490,35.0
1760643906.1140952,40810,37.0
1760643908.7706761,41130,29.0
1760643911.3480794,41450,46.0
1760643913.9140022,41770,29.0
1760643916.4884684,42090,37.0
1760643919.0593479,42410,38.0
1760643921.7026668,42730,26.0
1760643924.285425,43050,43.0
1760643929.7274914,43590,43.0
1760643932.1834059,43910,56.0
1760643934.6274714,44230,53.0
1760643937.3061652,44550,44.0
1760643939.7674472,44870,70.0
1760643942.2380168,45190,47.0
1760643944.7053413,45510,37.0
1760643947.1786084,45830,43.0
1760643949.677505,46150,30.0
1760643952.2422535,46470,50.0
1760643954.7353754,46790,39.0
1760643957.2232747,47110,40.0
1760643959.6849854,47430,53.0
1760643962.1566968,47750,42.0
1760643968.4980114,48340,42.0
1760643971.4068127,48660,42.0
1760643974.2655847,48980,89.0
1760643977.19003,49300,112.0
1760643980.0986192,49620,69.0
1760643983.0158699,49940,91.0
1760643985.933879,50260,101.0
1760643988.8419502,50580,77.0
1760643991.7126708,50900,117.0
1760643994.6192212,51220,117.0
1760643997.6989365,51540,86.0
1760644000.5512543,51860,112.0
1760644003.479231,52180,99.0
1760644006.387018,52500,108.0
1760644009.2622168,52820,83.0
1760644012.242763,53140,87.0
1760644015.1422257,53460,90.0
1760644018.0192876,53780,100.0
1760644020.9443355,54100,96.0
1760644023.8331068,54420,91.0
1760644026.7361274,54740,104.0
1760644033.633877,55370,82.0
1760644036.3537216,55690,82.0
1760644039.1343071,56010,82.0
1760644042.2118778,56330,128.0
1760644045.054194,56650,145.0
1760644047.8340576,56970,145.0
1760644050.6341915,57290,122.0
1760644053.4593706,57610,122.0
1760644056.2207823,57930,138.0
1760644059.1409101,58250,178.0
1760644061.9346533,58570,136.0
1760644064.7471106,58890,89.0
1760644067.5579014,59210,115.0
1760644070.415568,59530,95.0
1760644073.293474,59850,125.0
1760644076.0840592,60170,101.0
1760644078.9295633,60490,103.0
1760644081.7255685,60810,110.0
1760644084.4683752,61130,110.0
1760644087.2431567,61450,125.0
1760644090.0738611,61770,110.0
1760644092.8702981,62090,146.0
1760644095.6317139,62410,188.0
1760644098.424537,62730,93.0
1760644101.2585814,63050,143.0
1760644104.100079,63370,111.0
1760644106.903826,63690,96.0
1760644109.7205489,64010,125.0
1760644112.5451443,64330,129.0
1760644115.3301473,64650,114.0
1760644118.3423197,64970,118.0
1760644121.1703126,65290,105.0
1760644123.9810266,65610,112.0
1760644126.8034096,65930,111.0
1760644129.6322556,66250,84.0
1760644132.4748735,66570,96.0
1760644135.3017874,66890,101.0
1760644138.1416025,67210,99.0
1760644141.0083928,67530,97.0
1760644143.7878752,67850,103.0
1760644146.6108794,68170,105.0
1760644149.4963439,68490,124.0
1760644152.2780044,68810,101.0
1760644155.0925307,69130,96.0
1760644157.9430654,69450,136.0
1760644160.7501898,69770,106.0
1760644163.600796,70090,90.0
1760644166.4037845,70410,105.0
1760644169.213223,70730,106.0
1760644172.0485854,71050,161.0
1760644174.9043112,71370,111.0
1760644177.7411296,71690,137.0
1760644180.5584915,72010,106.0
1760644183.4086556,72330,111.0
1760644186.2171772,72650,99.0
1760644189.0194595,72970,106.0
1760644191.899198,73290,104.0
1760644194.8074563,73610,113.0
1760644197.5827186,73930,134.0
1760644200.4110267,74250,101.0
1760644203.2600408,74570,132.0
1760644206.095792,74890,121.0
1760644208.9267719,75210,127.0
1760644211.7722971,75530,129.0
1760644214.6100218,75850,112.0
1760644217.434067,76170,93.0
1760644220.3337853,76490,95.0
1760644223.285651,76810,118.0
1760644226.0803664,77130,115.0
1760644228.929834,77450,93.0
1760644231.753552,77770,134.0
1760644234.6005552,78090,85.0
1760644237.5490892,78410,103.0
1760644240.475559,78730,96.0
1760644243.4001293,79050,87.0
1760644246.3255603,79370,87.0
1760644249.2580075,79690,108.0
1760644252.4058566,80010,98.0
1760644255.5952122,80330,120.0
1760644258.5186515,80650,101.0
1760644261.4113793,80970,88.0
1760644264.340289,81290,104.0
1760644267.354754,81610,94.0
1760644270.28581,81930,105.0
1760644273.216237,82250,120.0
1760644276.1737912,82570,127.0
1760644279.0855029,82890,127.0
1760644282.0282547,83210,106.0
1760644285.1471322,83530,104.0
1760644288.08018,83850,111.0
1760644291.0684621,84170,107.0
1760644294.0869546,84490,102.0
1760644297.2069323,84810,125.0
1760644300.3193254,85130,101.0
1760644303.4109998,85450,120.0
1760644306.4985824,85770,103.0
1760644309.674341,86090,87.0
1760644312.8012903,86410,102.0
1760644315.859408,86730,117.0
1760644319.0471444,87050,90.0
1760644322.1594574,87370,108.0
1760644325.322053,87690,93.0
1760644328.904059,88010,95.0
1760644332.3953319,88330,125.0
1760644335.9067876,88650,113.0
1760644339.2325208,88970,108.0
1760644342.5536568,89290,95.0
1760644348.785282,89790,100.0
1760644351.8425384,90110,100.0
1760644354.9562573,90430,93.0
1760644358.2183464,90750,119.0
1760644361.2105196,91070,119.0
1760644364.205215,91390,102.0
1760644367.3643026,91710,106.0
1760644370.4305837,92030,150.0
1760644373.4631605,92350,105.0
1760644376.487088,92670,99.0
1760644379.5442884,92990,107.0
1760644382.5518417,93310,89.0
1760644385.544756,93630,116.0
1760644388.608886,93950,92.0
1760644391.6641746,94270,126.0
1760644394.599854,94590,149.0
1760644397.565579,94910,116.0
1760644400.5268755,95230,99.0
1760644403.4804132,95550,103.0
1760644406.5059986,95870,97.0
1760644409.6942112,96190,120.0
1760644412.6474571,96510,133.0
1760644415.5944808,96830,95.0
1760644418.5195937,97150,128.0
1760644421.453537,97470,94.0
1760644424.4363658,97790,135.0
1760644427.3553352,98110,86.0
1760644430.2263837,98430,121.0
1760644433.2204032,98750,117.0
1760644436.1994414,99070,104.0
1760644439.1115959,99390,121.0
1760644442.010363,99710,107.0
1760644444.9349463,100030,121.0
1760644447.8119543,100350,126.0
1760644450.678551,100670,125.0
1760644456.571849,101200,104.0
1760644459.462296,101520,104.0
1760644462.3820083,101840,104.0
1760644465.1701148,102160,109.0
1760644468.026122,102480,154.0
1760644470.9613802,102800,154.0
1760644473.8679168,103120,112.0
1760644476.7344105,103440,251.0
1760644479.7988648,103760,276.0
1760644482.745204,104080,99.0
1760644485.6378968,104400,200.0
1760644488.5788403,104720,116.0
1760644491.4495351,105040,103.0
1760644494.3218884,105360,124.0
1760644497.1891515,105680,197.0
1760644500.065822,106000,125.0
1760644502.9021046,106320,216.0
1760644505.761026,106640,123.0
1760644508.653397,106960,110.0
