#{"t_start": 1760549600.5156229, "env_id": "None"}
r,l,t
9.739399,105,9.313052
9.733899,110,9.761456
9.2235985,113,10.025902
9.708199,117,10.387808
9.718099,118,10.48569
8.2027,122,10.848596
8.187099,128,11.391665
9.671999,129,11.497936
9.181699,132,11.772847
9.671498,134,11.947921
8.285999,91,17.799968
7.7755995,95,18.421588
9.759899,102,19.398857
9.708599,115,19.498041
9.259999,101,19.762859
9.249499,106,20.779254
9.713099,120,21.13308
9.208399,117,21.878366
7.193499,116,22.065711
8.646099,140,24.413403
9.770399,97,27.090035
9.692899,122,28.692663
8.764299,108,29.149172
8.233699,114,29.576197
9.728799,113,29.84614
9.259299,108,30.731865
9.217899,122,32.86267
9.161399,137,32.948115
8.2567,134,33.757953
9.208199,119,34.891793
9.765399,97,35.670524
9.764799,103,38.91576
9.233899,112,39.006964
9.198099,120,39.258569
9.254799,103,39.804537
9.233199,119,40.076546
9.234299,108,42.373606
9.759999,101,42.654684
9.7962,89,42.748763
7.6819,132,44.59949
9.723899,112,45.596905
9.250099,100,47.860417
8.759999,101,48.209198
8.229099,110,48.656575
9.213499,116,50.326421
9.249699,104,51.917741
7.6614003,137,51.917741
9.233999,111,52.45285
9.703199,119,55.101676
8.615099,150,55.632726
9.207799,123,56.417414
9.255099,100,56.684325
9.754699,104,57.404993
9.713199,119,59.166888
9.733299,118,60.754902
9.254799,103,61.006055
9.244499,106,61.80469
8.707998,121,62.605342
8.2653,98,64.289828
9.744599,105,64.372017
9.770499,96,64.896482
8.749499,106,66.051126
9.749899,102,66.396663
9.7603,98,69.391786
9.192899,122,69.910091
9.7498,103,70.088659
9.7764,87,70.261718
9.759999,101,70.694443
9.2862,89,72.141656
9.734499,106,73.778403
9.7498,103,74.044733
9.7657995,93,74.304605
9.7652,99,75.192264
9.729099,110,79.677571
9.739499,106,79.677571
9.754799,103,79.851736
9.708199,119,80.651866
9.666899,132,81.099471
9.7448,103,81.274117
9.7706995,94,82.62799
9.754999,101,82.723286
9.749599,105,83.343212
9.759399,107,84.665177
9.760099,100,88.492232
9.755099,100,88.668193
9.770199,99,89.384242
9.765599,95,89.650128
9.239699,104,90.283926
9.207499,126,90.838849
9.229099,110,92.440202
9.744599,105,92.617443
9.718599,115,92.79456
9.672499,126,95.766336
9.7706995,94,96.991127
9.718999,111,98.289424
9.713699,114,99.472777
9.776099,90,100.536232
9.197399,127,101.505214
9.739199,109,102.042845
9.672298,128,102.134832
