#{"t_start": 1760549119.2508411, "env_id": "None"}
r,l,t
-1.2049036,48,3.51264
-3.8286066,85,6.126023
1.8409967,41,6.396578
-5.315503,104,7.474136
-14.022503,124,8.856533
6.9736,15,9.92373
-28.759924,148,10.56182
-40.75993,148,10.56182
-24.759914,148,10.56182
-37.759933,148,10.56182
-36.259933,148,10.56182
-32.259922,148,10.56182
1.2539988,61,11.781209
2.9069967,31,12.771875
9.841,41,13.467458
8.254399,57,14.647024
-6.5422077,73,15.142292
-4.537611,127,15.433929
-0.25740337,75,15.944166
-0.3224039,75,15.944166
0.7237959,63,16.329954
-2.5081072,82,16.469167
-13.759915,150,16.816612
9.9177,24,16.893385
6.8360996,40,17.529219
8.9534,17,18.101608
-0.0024023056,25,18.625568
2.8502975,48,19.452632
-8.398405,85,19.675745
0.88669777,34,20.058208
4.9274006,27,20.619508
-5.5107136,108,20.619508
-1.7558041,59,20.619508
8.4584,17,20.696976
-0.25659466,67,20.866461
5.4734,17,21.91005
8.4379,22,22.196291
6.4318995,32,22.337334
-5.184704,48,23.156007
6.4584,17,23.451297
4.4177,24,23.668781
-0.15980625,49,24.169534
1.8051014,50,24.235213
2.774806,53,24.672637
-19.9402,103,25.646254
-15.154013,141,25.71307
7.9375,26,26.151324
9.9223995,27,26.152322
9.861,41,26.152322
5.9327974,23,26.368311
9.9789,12,27.017367
-44.23484,150,27.383927
-7.235409,55,27.462523
1.2329922,71,27.528882
3.4530988,20,27.607882
-1.0828028,29,28.277733
1.8562946,38,28.503993
7.463,21,28.572234
8.9583,18,28.797391
9.9787,14,29.315603
9.9684,17,29.7511
9.9585,16,29.970982
9.9165,36,30.045968
0.7489977,61,30.13236
3.871399,37,30.282944
9.9789,12,31.131377
-2.7404032,55,31.645124
3.8921995,29,32.063024
5.8820033,31,32.345381
1.3814983,36,32.655169
4.932001,31,33.361785
-41.759926,150,34.572168
5.936902,32,34.96267
0.050397873,97,35.591088
5.2998004,53,35.875983
3.8562994,38,36.090955
-4.2514095,65,36.305306
9.9686,15,36.956428
-31.514875,150,37.279058
-10.815781,109,37.645381
-5.3174114,75,37.789742
4.8871,30,37.789742
-3.1897058,48,38.07931
7.4221997,29,38.222787
7.4533997,17,38.511853
6.4223995,27,38.959795
8.4735,16,38.959795
6.9431996,19,39.478559
5.947701,24,39.546371
-0.6946068,47,39.777776
-33.754925,150,40.2295
9.9738,13,40.45277
-1.3379021,80,40.829223
4.3715005,36,40.897516
9.9632,19,40.97502
1.9070978,30,41.179607
0.8310957,40,41.474939
2.3666992,34,42.301974
8.4123,28,42.514966
2.2085047,66,42.514966
-4.1999054,50,42.663207
9.9426,25,42.824332
3.9023,28,43.260029
9.9786,15,43.404742
9.8719,32,43.83756
6.3307996,43,44.06308
7.9979,22,44.162184
7.9328,23,44.231092
3.902298,28,44.765273
5.4331,20,44.911685
4.907101,30,45.06346
9.9687,14,45.207049
9.9636,15,45.354521
7.8971996,29,45.426086
2.1932998,68,45.871798
9.9021,30,46.086373
9.9737,14,46.393272
5.3869004,32,46.460761
9.9529,22,46.854778
7.9786997,14,46.924218
9.8868,33,47.233087
2.9425983,25,47.313488
9.9635,16,47.687246
7.3665996,35,47.687246
-4.51011,102,47.835862
6.3461995,39,47.835862
7.9223,28,48.194851
9.927199,29,48.549529
9.9633,18,48.627217
9.9327,24,48.695726
7.8921,30,49.088857
5.937901,22,49.462639
7.4585,16,49.748015
5.3872023,29,49.812661
4.9174004,27,50.177443
7.8717,34,50.177443
4.8816023,35,50.401777
4.8971014,30,50.847635
6.4379997,21,50.998434
6.8717995,33,51.149149
11.9024,27,51.846661
9.9684,17,52.14024
6.4372997,28,52.288979
9.937099,30,52.441812
7.4530997,20,52.508284
6.3870997,30,52.652954
9.958099,20,52.652954
9.6877,74,52.730549
7.9986,15,52.952301
2.7696028,55,53.162871
9.9687,14,53.162871
9.4685,16,53.719922
9.9789,12,54.106237
9.9685,16,54.176082
-0.2761078,62,54.410083
9.9126,25,54.560417
8.3871,30,54.560417
9.9122,29,54.638324
8.9279,22,54.852664
5.3972015,29,54.931815
6.387,31,55.009178
4.4584002,17,55.009178
9.9737,14,55.448254
9.9737,14,55.602491
9.9787,14,56.055646
9.9683,18,56.292226
9.9225,26,56.589414
9.438,21,56.589414
6.8865995,35,56.812927
10.3712,39,57.041642
9.8966,35,57.192627
9.8768,33,57.335851
9.9324,27,57.481355
6.4124994,26,58.221326
7.9983997,17,58.300531
5.876401,37,58.369172
9.4686,15,58.447875
7.4483,18,58.534679
9.8819,32,58.991375
9.9687,14,59.634031
7.9686,15,59.634031
9.8001995,49,59.789138
7.8559,42,59.789138
5.8819017,32,59.941548
9.9635,16,60.242104
6.4276,25,60.31278
8.417,31,60.618634
9.9688,13,60.618634
3.2899995,51,60.70263
2.8918986,32,60.780092
9.9585,16,61.035494
9.4532995,18,61.035494
5.917701,24,61.624861
9.9531,20,61.774081
9.9534,17,61.925046
9.9738,13,62.005972
9.932899,22,62.005972
9.9632,19,62.074317
9.9634,17,62.298709
9.973599,15,62.739491
2.9413986,37,62.739491
9.9688,13,62.979187
6.8868995,32,63.210469
7.3767996,33,63.210469
9.9782,19,63.460244
9.9739,12,63.671421
7.4178,23,63.82764
9.9023,28,63.922721
9.9634,17,64.074872
8.3716,35,64.612923
9.9686,15,64.612923
8.3868,33,64.863543
9.9123,28,65.183682
6.9378996,22,65.397453
9.9583,18,65.475363
11.887,31,65.617831
9.9635,16,65.830926
5.9225006,26,65.830926
7.8812995,38,66.151562
7.4121,30,66.23601
7.9329,22,66.867226
7.9981,20,67.17077
6.8866997,34,67.478858
9.8714,37,67.478858
9.9431,20,67.708477
8.412,31,67.779039
4.9073024,28,68.006378
7.947,31,68.241005
9.9787,14,68.241005
9.9025,26,68.241005
9.9632,19,68.306664
9.8462,39,68.469493
9.9789,12,68.687391
9.9633,18,68.845706
8.4483,18,69.065119
11.943,21,69.817518
9.9636,15,69.817518
9.9174,27,70.046764
9.9629,22,70.113464
4.3615017,36,70.19819
9.9175,26,70.19819
9.9024,27,70.264484
6.943,21,70.632862
8.8969,32,70.699934
9.9581995,19,71.638692
4.9977016,24,71.638692
8.3912,39,71.789037
9.9429,22,71.93777
9.947599,25,72.004832
9.9678,23,72.457995
