#{"t_start": 1760549265.195098, "env_id": "None"}
r,l,t
9.922,29,2.487706
9.9169,30,2.568828
9.906799,31,2.640235
9.8961,38,3.227999
9.9106,43,3.68031
9.905399,45,3.860072
9.900299,46,3.951382
8.865,49,4.183271
8.889799,51,4.341743
9.8796,53,4.499252
7.4063997,37,6.315823
6.8899994,51,6.88002
7.9013996,37,7.209586
7.8692994,58,7.286719
7.8533998,67,8.152908
7.8745,56,8.323127
7.3804994,46,8.323127
7.3642993,58,8.662338
6.889799,53,8.764446
7.8443,58,8.764446
9.927,31,8.934222
9.922,31,9.490835
9.9065,36,10.289016
9.9113,38,10.378225
9.911699,34,11.028619
9.916699,34,11.199634
9.921599,35,11.286729
9.927,31,11.363703
9.916699,34,11.623494
9.9114,37,11.783895
8.885799,43,12.533436
4.870204,49,13.598019
7.3909993,41,13.832111
6.9065995,35,14.091742
6.9015994,35,14.256349
8.906599,35,14.488003
8.379601,55,14.896335
7.8809,42,15.223676
9.911099,40,15.769408
7.8742,59,15.852042
9.9321995,29,16.19464
6.3740993,60,16.19464
9.927099,30,16.891335
9.921599,35,16.891335
9.9009,42,16.988046
9.9112,39,17.374241
9.9265995,35,17.682433
9.422,31,17.682433
9.927099,30,18.230329
9.9321995,29,18.49122
7.8964996,36,18.680255
6.8962994,38,19.246254
7.9014997,36,20.256183
7.8858,43,20.3396
7.8963995,37,20.658516
8.875099,50,20.986456
9.927,31,21.15259
7.3756995,44,21.247271
9.9373,28,21.503823
7.8963995,37,21.503823
8.3491,60,21.738016
2.2994995,56,22.820556
9.9265995,35,23.207606
9.906099,40,23.535094
9.9165,36,23.620049
9.901199,39,24.19108
9.9319,32,24.3477
9.9112,39,24.429729
7.8760996,40,24.741263
9.9008,43,24.967979
8.859799,53,25.446594
9.9066,35,25.611836
9.9067,34,26.334986
9.396299,38,26.616478
9.932099,30,27.226808
6.835099,50,27.310243
9.9321995,29,27.88418
6.8605995,45,28.120523
9.865399,47,28.209398
7.8500996,50,28.284522
9.9375,26,28.533917
6.8963995,37,28.695193
7.350499,46,28.769773
9.4165,36,30.234805
9.900399,47,30.470701
9.9321995,29,31.009957
9.9114,37,31.095203
8.3807,44,31.405865
9.901,41,31.481318
9.8696995,54,31.567213
9.921,41,31.567213
9.385799,43,31.983015
9.8855,46,32.470862
9.8966,35,33.270954
8.9064,37,34.08455
9.9168,33,34.266756
7.3808994,42,34.425954
9.9114,37,34.425954
8.3598,53,34.509485
9.916599,35,34.818938
