#{"t_start": 1760549301.0676203, "env_id": "None"}
r,l,t
9.9066,33,2.806222
9.9116,33,2.806222
9.8912,37,3.123405
9.8956995,42,3.511831
9.855,49,4.07929
9.3397,52,4.309422
5.319705,52,4.309422
4.248705,62,5.096833
9.7382,67,5.516136
9.9009,42,6.165636
8.697399,75,6.165636
9.8554,47,6.55705
9.875299,48,6.9668
8.3805,46,7.201155
6.8805995,45,7.953179
7.3601995,49,8.282976
9.8862,39,8.282976
9.927099,30,8.605411
6.8642993,58,8.761317
7.8859997,41,8.83943
8.9065,36,9.084102
9.9168,33,9.243233
9.9218,33,9.633054
9.4219,32,9.791193
9.896299,38,11.010432
9.9064,37,11.245997
9.9219,32,11.640002
9.896099,40,11.79678
9.9114,37,11.79678
8.890699,44,12.291094
9.8199,52,12.465932
8.911699,34,12.546703
7.3707995,43,12.719327
7.8601995,49,13.649293
9.8864,37,14.685552
8.3914995,36,14.774541
9.8754,47,14.851182
9.8913,38,14.938806
9.385599,45,14.938806
9.9119,32,15.100762
9.4218,33,15.263689
9.4217,34,15.494057
9.896,41,15.651381
9.9063,38,16.722793
9.9221,30,17.19609
9.9015,36,17.809774
9.9064,37,17.809774
9.885599,45,18.300224
9.8959,42,18.458276
9.9114,37,18.617213
9.885799,43,18.934994
9.870399,47,19.009072
7.8914995,36,19.582615
9.8792,59,19.659333
9.3909,42,20.551365
9.8912,39,20.971118
9.8914995,36,21.214896
9.4373,28,21.214896
9.380699,44,21.373648
9.9321995,29,21.373648
9.9016,35,21.452817
9.927,31,22.097821
9.917,31,22.185123
8.8654995,46,22.185123
9.432099,30,23.868603
9.896299,38,24.027992
9.9217,34,24.112699
9.4015,36,24.112699
9.8806,45,24.183311
9.4008,43,24.645482
9.9169,32,24.72877
6.8703995,47,25.119154
9.3911,40,25.367303
8.3756,45,25.696947
9.9165,36,26.998813
6.8861995,39,27.24688
9.8962,39,27.322353
9.8756,45,27.482489
9.875799,43,27.482489
9.9321995,29,27.482489
9.9324,27,27.908305
9.9119,32,27.984523
9.886,41,27.984523
9.8658,43,28.230624
9.927199,29,29.845865
9.9169,32,29.918763
9.9225,26,30.074818
9.9168,33,30.158559
9.927199,29,30.535213
9.8755,46,30.695494
9.8812,39,31.044654
9.8912,39,31.136954
9.8656,45,31.136954
5.763107,70,32.984869
9.9373,28,33.50016
9.886,41,33.578298
9.927199,29,33.579648
9.911699,34,33.579648
9.8705,46,33.672821
9.891,41,34.012491
