#{"t_start": 1760549336.133099, "env_id": "None"}
r,l,t
9.9115,34,2.771058
9.3808,41,3.307315
9.380799,41,3.307315
9.9158,41,3.307315
7.9005,44,3.542839
9.8951,48,3.847255
9.889799,51,4.084549
7.8245993,53,4.235435
9.8743,56,4.462041
4.2526064,73,5.786731
7.8759,42,6.013619
9.3862,39,6.318351
9.889899,52,7.344538
9.8705,46,7.70832
7.8746996,54,7.784042
9.879999,51,7.868314
9.8692,59,7.941525
9.8698,53,8.634916
9.844199,59,8.869069
9.3657,44,9.264518
9.910299,48,9.799854
9.91,51,10.372099
9.9219,32,10.372099
8.906199,39,10.443324
9.3911,40,10.899441
9.4272995,28,11.053663
9.410299,48,11.672653
9.401099,40,11.75682
9.908799,63,12.600186
9.8759,42,13.086074
9.8658,43,13.693445
9.3862,39,14.09005
9.8554,47,14.09005
9.3852,49,14.159887
3.7777987,73,14.931433
9.885799,43,15.090598
9.406799,33,15.194738
9.8640995,60,15.576478
9.8689995,61,16.436647
9.9168,33,16.690496
9.9066,35,16.939651
9.9164,37,17.028185
9.91,51,17.101432
9.4106,45,17.254937
9.9115,36,18.050546
9.911799,33,18.211234
9.394499,56,19.50865
7.8690996,60,19.66694
9.8912,39,19.740139
8.419299,58,20.999752
7.3863993,37,21.082945
7.8796997,54,21.460906
9.365399,47,21.699001
7.7788997,62,21.85638
9.9221,30,22.013175
7.313599,65,22.175006
9.926499,36,22.572325
9.3705,46,23.158817
4.792205,79,23.158817
9.911799,33,23.701039
9.927199,29,24.013348
9.890699,44,24.920461
9.874499,56,25.400838
9.900499,46,25.484263
9.8756,45,25.556337
9.921599,35,25.86235
9.8946,55,26.479769
9.91,51,27.10611
9.8538,63,27.492811
9.8799,52,28.052424
8.839199,59,28.293012
9.9014,37,28.445711
9.3554,47,28.60213
9.904799,53,29.52203
9.8289995,61,30.237048
9.922199,29,30.32037
9.9211,40,30.637205
9.858899,62,30.71208
9.3859,42,31.556868
9.8693,58,31.635523
9.8601,50,32.342653
9.8862,39,32.572335
9.889799,53,32.75398
8.9066,35,33.443094
1.6151972,99,34.21904
9.916599,35,34.377311
9.8693,58,34.782853
9.880899,42,34.857347
9.8397,54,34.857347
9.849099,60,35.013777
9.9165,36,35.429667
9.8754,47,36.459744
9.8944,57,36.855574
9.901199,39,37.318555
9.854799,53,37.646647
9.8862,39,37.990169
9.9011,40,38.063618
9.891,41,38.063618
9.875,51,38.445354
9.8852,49,38.897667
