#{"t_start": 1760550145.6924183, "env_id": "None"}
r,l,t
17.156399,135,12.678091
16.653198,137,12.861439
17.636799,141,13.221778
17.166597,143,13.409911
17.632399,145,13.596814
16.632198,147,13.781334
17.620098,148,13.879498
17.601898,160,15.008163
16.078798,171,16.055027
17.036499,174,16.336443
17.169699,134,25.55513
16.6703,138,26.562232
17.592999,161,28.241405
17.136497,146,28.429864
17.0833,168,29.252831
16.624899,152,30.291378
16.498598,205,31.771124
17.076899,172,31.858413
17.495197,219,32.905456
16.917198,239,35.64275
16.1829,132,38.80764
16.545498,196,43.60221
17.0728,173,44.328203
17.637098,150,45.64011
17.077,171,45.993696
16.989998,211,47.660979
17.575699,174,47.756706
17.5872,169,48.399094
16.4693,208,48.399094
17.581902,162,50.55875
17.649498,146,52.176582
17.1365,146,57.018636
17.137499,146,57.753023
17.145199,149,59.773235
16.6717,134,60.777261
17.6176,155,61.996183
17.119598,165,63.018122
17.0208,193,63.480744
17.649998,141,63.568197
16.085499,166,63.75113
17.157099,140,65.135033
16.6308,143,70.333371
17.6726,135,70.333371
17.153698,144,73.109966
16.647,141,75.028071
16.673298,138,75.742851
16.633198,149,77.326427
17.085098,180,77.415779
17.645298,148,77.415779
16.674799,133,77.415779
17.078598,175,79.610418
17.1125,156,84.68499
17.135399,147,86.605338
16.053799,183,87.161823
16.614199,159,89.671761
17.662598,135,89.857592
17.666298,138,90.037554
16.648098,140,90.305852
17.5722,159,90.408206
17.614098,160,92.184988
17.5947,164,94.760437
17.116299,158,99.243216
16.661198,139,99.961703
17.6661,140,102.551406
17.1431,140,103.202487
16.554897,182,103.386602
17.094599,165,105.6052
17.130098,150,105.967983
12.051594,175,105.967983
17.1499,132,106.909987
17.033998,191,107.645184
17.1519,142,112.353028
17.634699,144,113.294769
16.646599,145,116.0121
17.633099,150,117.270884
17.191399,127,117.736976
14.092598,165,118.505473
17.652397,147,119.238358
17.147697,144,120.23505
17.080198,169,121.6549
17.5663,178,124.099897
17.1551,130,124.397444
16.707699,124,127.423593
16.723297,118,129.362863
17.1363,148,130.959619
16.514297,198,131.602568
16.582497,176,134.033841
17.6301,150,134.119239
15.583399,167,134.67695
17.1449,142,134.779415
17.1363,138,137.187941
17.636898,152,138.18355
17.1683,128,141.217861
16.612099,150,141.303512
17.6898,123,145.403051
17.2113,118,145.67031
17.122698,164,146.114802
16.576801,163,146.670575
17.644897,142,147.229329
17.646698,144,147.991679
