#{"t_start": 1760549376.0873978, "env_id": "None"}
r,l,t
13.782098,78,7.275091
13.273264,83,7.719621
13.750597,93,8.632898
12.719498,104,9.625105
13.17593,123,11.339935
7.664599,153,14.163344
9.600733,175,16.143902
10.585333,179,16.507681
13.244997,101,16.507681
7.025866,207,19.078513
11.2796335,88,19.455229
12.802397,77,23.582089
5.9570312,262,24.144253
9.265599,95,25.211589
13.300631,78,26.201758
13.76963,88,27.508439
8.003763,230,29.707277
7.486563,252,30.803169
10.601099,190,31.508476
13.752464,93,32.052067
10.473732,247,32.230517
12.27443,90,33.424583
13.280031,84,33.883935
7.526231,222,36.421265
13.24833,101,36.70325
13.276497,86,39.329048
12.73263,108,40.601552
13.262263,95,42.54489
13.793364,84,44.110153
7.544864,219,44.110153
13.70113,123,47.977666
13.755297,98,48.35042
13.281597,85,50.393568
13.20643,120,51.675827
13.772663,91,52.452757
13.750196,99,53.160629
9.997865,239,53.860461
13.288263,85,56.049805
-9.129904,300,57.042933
13.749496,106,57.594901
12.75363,98,59.259109
-5.641568,300,59.619246
12.753931,95,60.261556
-8.14157,300,60.81248
13.272364,94,61.718376
12.770797,93,62.352824
13.725763,110,62.450735
12.225463,113,66.371331
13.197897,122,68.161369
12.708396,117,68.259029
13.244396,107,68.977881
13.244696,104,70.219988
7.6959324,125,70.951913
11.7397,104,71.135096
13.262064,97,71.219308
11.241366,104,71.767441
13.783163,86,76.113228
13.749996,101,78.188628
11.2934675,83,78.725083
13.803663,81,79.203092
12.775896,92,79.377759
12.7535305,99,80.25861
11.722134,113,80.520021
10.595232,182,82.915893
13.76403,94,84.641971
7.9221973,279,85.641332
13.288464,83,85.738518
13.809065,77,86.358608
13.274431,90,87.329901
9.0439,212,87.415553
10.724501,106,88.371128
12.809064,77,93.336386
12.7518635,99,93.630211
13.279631,88,93.728471
12.784731,87,95.338424
12.78473,87,96.250789
10.094632,188,97.342331
10.158799,163,97.701228
9.014465,223,100.825684
13.76383,96,102.065438
11.231167,106,103.288002
13.26943,90,105.519989
9.064397,207,106.128952
12.762163,96,106.40089
12.795231,82,108.232821
9.632899,172,109.307581
12.245096,100,111.137665
9.110033,184,112.026277
-12.449914,300,112.818566
13.791597,85,113.172341
10.594333,191,113.533639
12.286297,88,114.371051
12.250397,97,117.050084
13.7469635,98,118.261163
9.609266,175,119.140586
13.309464,73,119.497932
12.260897,92,120.419091
13.707331,111,121.239576
13.726263,105,122.825217
13.226063,107,124.167523
