#{"t_start": 1760549989.7456706, "env_id": "None"}
r,l,t
15.580551,156,14.578296
15.569201,157,14.668964
15.024252,169,15.7998
15.012302,176,16.46276
15.010551,181,16.922585
15.451702,182,17.020288
15.411703,207,19.34677
15.307003,229,21.390956
15.252653,235,21.958601
15.144753,264,24.7067
15.636702,134,27.259677
15.635551,133,28.291
15.076152,152,28.849289
15.537151,167,32.726857
15.492401,177,33.620422
15.625452,134,34.117274
14.546205,189,34.317012
15.538201,169,35.382654
15.551102,165,37.64253
14.0931015,145,38.476583
15.641701,134,39.994285
15.073551,153,43.350732
15.108402,142,46.236441
15.606552,148,48.321826
15.390702,219,49.073714
15.505002,176,50.3095
15.037701,174,50.57544
15.03155,173,51.696375
15.5632515,156,52.365729
15.007603,175,54.987585
14.542351,165,55.532767
15.618901,137,59.113519
15.028202,169,59.324576
15.679351,120,61.573471
15.630251,136,61.844361
15.1001005,150,62.41599
15.603102,145,65.341109
15.576452,149,66.409749
13.622851,135,67.729905
14.139602,130,67.824323
15.429902,202,69.595328
15.6422,129,71.437914
15.64525,136,71.91275
15.584902,152,76.742871
15.048801,163,76.92877
15.5660515,153,79.75116
15.568651,152,80.676164
15.121302,138,80.77379
15.588751,151,83.77301
15.630152,137,84.817277
15.103102,145,85.1057
14.965409,247,85.1057
15.458102,195,86.048355
15.056702,159,91.927645
15.641901,132,92.201641
15.534351,170,92.773395
15.092901,147,94.565273
15.064201,159,95.796315
15.147101,130,96.08615
15.622651,137,97.79227
15.630351,135,97.878744
15.608401,142,98.536502
15.0825,151,100.33535
15.118301,143,105.478569
15.1240015,136,105.692851
15.610501,146,106.077465
12.634001,136,107.472
12.667801,123,107.746759
15.128801,138,108.898866
15.140451,134,110.581568
15.6222515,141,111.146918
15.100502,146,112.38739
15.629951,139,113.506713
15.155851,130,117.753818
12.6597,129,119.920435
15.130451,134,120.112302
14.606251,151,120.297669
15.564002,161,120.886794
11.6609535,129,122.728679
15.138849,150,122.990722
14.137852,135,123.840325
14.113301,143,125.775089
15.618301,143,126.908421
10.665954,129,129.849267
15.578852,150,134.025196
15.578752,151,134.314515
15.074402,157,135.643115
15.539852,165,135.854322
13.608702,139,136.135821
15.082101,155,137.328848
15.601652,147,137.694902
14.577002,156,141.599595
15.623402,142,143.239064
15.475051,188,143.514934
15.618901,137,146.897942
15.6566515,122,147.085173
15.564101,160,149.379231
11.564504,156,150.511783
15.594352,145,151.017828
15.450302,198,154.891151
