#{"t_start": 1760549703.7032926, "env_id": "None"}
r,l,t
13.727464,91,8.103139
13.71903,92,8.1822
13.6882305,100,8.876522
13.69273,105,9.298613
13.670563,110,9.70539
13.623962,126,11.051271
12.136296,136,11.934433
12.074096,158,13.850138
13.710096,100,16.792174
12.021862,197,17.343365
6.5582314,200,17.603099
13.675564,112,17.957816
13.704797,103,18.334658
13.696664,101,18.608511
13.663597,115,18.94468
13.715197,99,19.832582
13.205097,100,20.780575
13.158297,118,24.327463
13.708631,98,26.618757
13.72953,89,26.796466
13.154763,120,27.396883
13.75473,87,27.475824
13.639563,122,28.072593
13.108864,129,28.94532
13.644463,123,29.360064
13.603263,135,30.136579
13.655464,113,30.671258
13.720097,100,33.01915
13.72853,99,35.24889
13.732264,95,35.675042
13.139764,120,37.243805
13.155264,115,38.109803
13.618663,131,38.869301
13.653497,116,39.036199
13.154663,121,39.91647
13.660063,117,40.338812
13.687229,112,40.431995
13.710398,97,41.461302
13.179398,107,44.543267
13.225297,98,45.792101
13.727364,94,46.31773
13.636129,123,46.411414
13.735997,91,48.303132
13.670464,113,48.732222
13.16203,114,48.996315
13.175964,108,49.340184
13.19263,108,49.85084
13.1671295,113,51.334897
13.711864,99,53.178545
13.184298,108,55.187509
13.66703,114,56.358438
13.653296,118,56.613171
13.721863,99,57.970319
13.67763,108,58.14717
13.684498,106,58.239879
13.15173,117,58.487122
13.691164,106,59.113164
13.682831,106,62.448404
13.604929,135,63.153122
13.694397,107,64.561817
13.665463,113,66.188576
13.685663,111,66.27945
12.231197,89,66.873619
12.696464,103,67.130444
13.1792965,108,67.401383
13.669097,110,67.833032
13.67753,109,68.003045
13.737063,97,70.889808
13.734131,93,71.232668
13.744631,88,73.973534
13.735998,91,74.140171
13.658497,116,74.652421
13.230698,94,75.096413
13.729231,92,75.193761
13.758265,85,75.458295
13.664198,109,76.924973
13.675764,110,77.460933
12.772198,79,77.819251
13.701664,101,80.138169
13.736097,90,82.070901
13.70363,98,82.607579
13.686064,107,84.597636
13.248064,87,84.597636
13.739531,89,85.630617
13.66673,117,85.72323
13.620831,126,85.72323
13.627396,127,86.229238
13.668697,114,87.444245
13.653597,115,90.212493
13.673897,112,91.886119
13.668997,111,92.321081
13.746197,89,94.050007
13.722064,97,94.142976
13.722164,96,94.142976
13.66703,114,94.562557
13.638097,120,95.074746
13.65143,120,97.94916
13.696163,106,99.490216
13.694397,107,101.72033
13.7069645,98,102.829853
