#{"t_start": 1760549048.4658706, "env_id": "None"}
r,l,t
7.9992,7,1.754612
7.9989,10,1.966581
7.9987,12,2.094904
-6.0029,28,3.174141
-6.0029,28,3.174643
7.998,21,3.174643
-6.0029,28,3.174643
-6.0029,28,3.174643
-6.0029,28,3.174643
-6.0029,28,3.174643
-6.0029,28,3.174643
7.9995,6,3.616257
7.9994,7,3.688185
7.9993,8,3.747001
7.9991,10,3.889033
7.9995,6,4.032417
7.9989,12,4.032417
-6.0029,30,4.032417
7.9996,5,4.091324
-6.0029,30,4.162569
7.9996,5,4.235577
7.9985,16,4.30905
7.9995,6,4.444143
7.9995,6,4.444143
7.9988,13,4.583525
7.9993,8,4.984901
7.9989,12,5.121548
-6.0029,30,5.258025
-6.0029,30,5.258025
7.9982,19,5.332266
7.9997,4,5.392288
7.9993,8,5.537849
7.9996,5,5.756577
7.9992,9,5.895092
7.9995,6,5.964828
-6.0029,30,6.172092
7.9994,7,6.242409
-6.0029,30,6.242409
7.9995,6,6.314326
-6.0029,30,6.314326
7.9995,6,6.386324
-6.0029,30,6.520725
-6.0029,30,6.66009
7.9996,5,6.66009
7.9994,7,6.990681
7.9992,9,7.263467
7.9992,9,7.263467
-6.0029,30,7.330909
-6.0029,30,7.399146
7.9982,19,7.54283
7.9993,8,7.54283
7.9992,9,7.872472
7.9994,7,8.026696
-6.0029,30,8.238742
7.9988,13,8.238742
7.9995,6,8.30424
-6.0029,30,8.30424
-6.0029,30,8.372493
-6.0029,30,8.441318
7.9988,13,9.184954
7.9988,13,9.252781
7.9988,13,9.323905
-6.0029,30,9.323905
-6.0029,30,9.461312
7.9982,19,9.518139
-6.0029,30,9.595132
7.9996,5,9.810224
7.9995,6,10.023141
-6.0029,30,10.097257
-6.0029,30,10.322025
-6.0029,30,10.390616
7.9994,7,10.52906
7.9991,10,10.804362
7.9994,7,10.80536
7.9983,18,10.80536
7.9994,7,10.874345
-6.0029,30,11.279425
-6.0029,30,11.347825
-6.0029,30,11.416662
-6.0029,30,11.416662
7.9985,16,11.618155
7.9994,7,11.763108
7.9987,14,11.831236
-6.0029,30,11.888239
7.9985,16,11.888239
7.9992,9,11.956753
7.9994,7,12.393835
7.9995,6,12.393835
7.9992,9,12.393835
7.9987,14,12.812235
-6.0029,30,12.880206
-6.0029,30,12.880206
7.9991,10,13.074259
7.9991,10,13.074259
7.9995,6,13.278181
7.9977,24,13.278181
-6.0029,30,13.491636
-6.0029,30,13.491636
7.9992,9,13.692027
7.9995,6,13.692027
7.9991,10,13.760989
7.9996,5,13.83651
-6.0029,30,13.962642
7.9995,6,14.24168
7.9993,8,14.24168
7.9992,9,14.299183
-6.0029,30,14.431905
7.9987,14,14.727534
7.9996,5,14.797219
7.9992,9,14.870825
-6.0029,30,14.870825
-6.0029,30,14.940021
7.9995,6,15.219251
7.9994,7,15.36085
7.9995,6,15.36085
-6.0029,30,15.36085
7.9992,9,15.502577
7.9984,17,15.502577
-6.0029,30,15.572854
7.9994,7,15.841356
7.9992,9,15.841356
7.9995,6,15.914222
-6.0029,30,16.040833
7.9995,6,16.318563
-6.0029,30,16.318563
7.9989,12,16.318563
7.9995,6,16.459488
7.9988,13,16.73558
7.9995,6,16.73558
-6.0029,30,16.826797
7.9994,7,16.826797
7.998,21,17.300028
-6.0029,30,17.43038
-6.0029,30,17.43038
7.9991,10,17.498655
-6.0029,30,17.633582
7.9995,6,17.843925
7.9995,6,18.060648
