#{"t_start": 1760549230.1938648, "env_id": "None"}
r,l,t
9.8907995,41,3.005891
9.8808,41,3.005891
9.8758,41,3.005891
9.8956995,42,3.077118
9.8756,43,3.1382
9.84,49,3.549287
9.894899,50,3.625898
9.832999,69,4.956142
9.9067,34,5.380344
9.8962,39,5.733893
5.706807,81,5.795152
9.8965,36,6.145292
9.8808,43,6.567948
9.884899,52,6.784982
9.874499,56,6.949273
5.6747103,102,7.298991
9.855,51,8.575454
9.906,41,8.652394
9.8909,42,8.78687
9.8811,40,8.996932
9.901299,38,9.29652
9.896299,38,9.509211
9.87,51,10.542135
1.5843935,107,10.6145
9.9113,38,11.315228
5.7217083,84,11.315228
9.8968,33,11.840261
9.870299,48,11.976849
9.885799,43,12.328852
5.702607,75,12.607387
9.8145,56,12.753206
9.8917,34,13.033252
9.9021,30,13.450002
9.9162,39,14.100874
9.8649,52,14.247497
9.8961,40,14.666333
9.8712,39,15.087208
9.864699,54,15.772783
9.8762,39,16.214865
1.5845976,105,16.437164
9.8592,59,16.782021
9.8812,39,16.85744
9.8747,54,16.85744
9.8538,63,17.198726
9.8758,43,17.266326
9.891,41,17.986286
9.8804,47,17.986286
9.891399,37,18.421006
9.8761,40,19.037006
9.9218,33,19.520704
9.9116,35,19.728608
9.8907995,43,19.874109
9.894799,53,20.14782
9.8952,49,20.283583
9.9066,35,20.437204
9.874599,55,20.670846
9.8762,39,20.734295
9.8966,35,20.870003
9.8967,34,21.918603
9.8958,43,22.054112
9.911699,34,22.128882
9.901999,31,23.059366
9.8808,43,23.202018
9.881599,35,23.202018
9.9113,38,23.337535
9.8557,44,23.419772
9.9051,50,23.419772
9.8706,45,23.641757
9.9317,34,24.533015
9.9064,37,24.680462
9.9105,46,25.198748
9.917,31,25.547281
9.8913,38,25.893798
9.871,41,26.100658
9.910999,41,26.307044
9.8808,43,26.657104
9.899699,54,27.211514
9.9114,37,27.306087
9.8762,39,27.306087
9.8817,34,27.587126
9.8375,76,28.42488
9.9009,42,28.497291
9.8965,36,28.632403
9.8813,38,29.327244
9.855599,45,29.460035
9.8916,35,29.768634
9.8438,63,30.331928
9.8811,40,30.40595
9.8705,46,30.542871
9.900299,48,30.618282
9.8918,33,30.961332
9.8813,38,31.103254
9.9217,34,31.743917
9.8864,37,32.125763
9.894899,52,32.186599
9.8659,42,32.751956
9.8907995,43,33.385445
9.886,41,33.460361
9.9204,47,33.744273
9.865399,47,33.948515
