#{"t_start": 1760549192.7559545, "env_id": "None"}
r,l,t
9.9163,36,2.695264
9.8255,44,3.238718
9.8104,45,3.310765
9.8299,50,3.651917
9.8197,52,3.794155
9.8097,52,3.794155
9.8946,53,3.863997
9.8343,56,4.075632
9.7941,58,4.214729
9.8103,48,7.159049
9.8952,49,7.504032
9.9092,59,8.334291
9.7119,82,8.407153
7.6776996,74,9.031922
-4.617901,128,9.093034
9.6411,90,9.606859
9.886,41,10.376616
9.815599,95,10.438844
9.910399,47,10.438844
5.594907,102,10.787044
9.9161,40,11.203071
7.4673986,127,12.125976
9.9063,38,12.259778
9.935299,48,12.393969
9.917,31,12.603093
9.8696995,54,12.886437
9.9265995,35,12.886437
9.860499,46,13.593458
9.7575,76,13.726359
9.910999,41,14.228293
9.9318,33,14.574733
9.931399,37,15.112387
9.8965,36,15.256894
9.9465,36,15.529369
9.8708,43,16.055105
9.9162,39,16.476332
9.849199,59,16.538989
8.7811985,89,17.172212
9.8403,48,17.172212
9.8968,33,17.598094
9.935699,44,17.659544
9.8970995,30,17.659544
9.9361,40,17.948525
9.7891,60,18.466207
9.8808,43,19.569618
9.8854,47,19.772547
9.9219,32,19.851106
9.9113,38,19.851106
9.936299,38,20.347655
9.9165,36,20.497874
9.914599,55,21.069777
9.7928,73,21.211205
9.819799,53,21.415723
9.9109,42,21.415723
9.936899,32,21.831622
9.9067,34,22.250846
9.901299,38,22.457699
9.901299,38,22.530654
9.890499,46,23.749001
9.8712,39,23.822274
9.8665,36,23.966478
9.8813,38,24.100797
9.9058,43,24.233829
9.911699,34,24.871429
9.8709,42,25.242861
9.9309,42,25.517499
9.9269,32,26.078769
5.731906,82,26.140463
9.946699,34,26.355709
9.8813,38,26.431284
9.8864,37,26.844564
9.886,41,27.755945
9.8766,35,27.966555
9.941299,38,28.722454
9.9265995,35,28.871694
9.9464,37,28.933253
9.8509,42,29.077381
9.914599,55,29.077381
9.8972,29,29.783715
9.8503,48,30.201453
5.706009,91,30.482494
9.9463,38,30.627851
-8.382887,130,30.971701
9.9464,37,31.322479
9.9317,34,31.322479
9.8962,39,31.836452
9.875999,41,32.673875
9.9214,37,32.820474
9.8966,35,33.097296
9.8762,39,33.226055
9.9064,37,33.575075
9.9071,30,33.918005
9.8612,39,34.071467
9.935999,41,34.211558
5.7058086,93,35.388552
9.9361,40,35.602954
9.896299,38,35.73654
9.9217,34,35.941501
9.8459,42,36.160442
5.7147093,104,36.389941
9.8916,35,36.389941
