#{"t_start": 1760549091.8157475, "env_id": "None"}
r,l,t
7.9976,23,1.736017
7.9974,25,1.869623
7.9974,25,1.869623
7.9967,32,2.350394
7.9987,14,2.843397
7.9982,19,4.120378
7.9957,44,4.739233
-23.009872,98,6.834007
-24.5099,98,6.834007
-23.009888,98,6.834007
-31.509888,98,6.834007
-31.00987,98,6.835005
-12.009901,98,6.835005
7.9982,19,8.111293
7.9977,24,8.449656
-22.509893,100,8.645233
-37.00988,100,9.147667
7.9966,35,9.21505
7.9983,18,9.344136
7.996,41,9.621256
7.9949,52,10.354541
7.9982,19,10.623362
-33.009872,100,10.892406
-41.509872,100,11.539819
7.997,31,11.763906
7.9963,38,11.826815
7.9972,29,12.372986
7.997,31,12.775681
7.9976,25,13.483495
-18.009909,100,13.679673
7.9959,42,13.81811
6.4927993,73,14.163307
7.9986,15,14.705616
-15.509909,100,15.304288
5.494302,58,15.540236
0.9975982,25,15.541233
-39.009876,100,15.541233
7.9945,56,15.67499
7.9949,52,16.358235
7.9972,29,16.695613
7.9952,49,16.826468
7.9962,39,16.826468
7.9979,22,17.036875
7.9976,25,17.036875
7.9921002,80,17.862678
7.9966,35,17.933002
7.9967,34,18.001976
7.9974,27,18.208897
7.9972,29,18.682474
7.9963,38,19.426921
7.9961,40,19.567522
7.9974,27,19.705326
7.9973,28,19.834732
7.9953,48,20.333771
7.9944,57,20.939098
7.9976,25,21.398969
7.9947,54,21.673085
7.9954,47,21.871035
7.9965,36,21.871035
-16.509909,100,22.380824
7.9969,32,22.517191
7.9946,55,23.588341
7.9976,25,23.589339
7.9968,33,23.658604
6.9915996,85,24.006991
7.9967,34,24.006991
7.9988,13,24.502167
7.9943,58,24.893034
7.9966,35,24.893034
7.9979,22,25.172865
7.9968,33,26.251552
-21.009909,100,26.385597
