Wall time,Step,Value
1760549051.9188445,320,28.0
1760549054.133782,640,8.0
1760549056.3418374,960,9.0
1760549058.5664098,1280,30.0
1760549060.769838,1600,9.0
1760549062.9676313,1920,30.0
1760549065.205651,2240,6.0
1760549067.4279678,2560,10.0
1760549069.6293826,2880,12.0
1760549071.8561354,3200,12.0
1760549074.0670063,3520,30.0
1760549076.2879286,3840,6.0
1760549078.4541302,4160,30.0
1760549080.6650317,4480,5.0
1760549082.911521,4800,5.0
1760549085.1271977,5120,7.0
1760549087.3508332,5440,8.0
1760549089.622946,5760,7.0
1760549094.1695411,6240,32.0
1760549096.3394072,6560,19.0
1760549098.502674,6880,44.0
1760549100.664783,7200,100.0
1760549102.8417022,7520,100.0
1760549105.074614,7840,31.0
1760549107.26639,8160,100.0
1760549109.4551067,8480,25.0
1760549111.6544688,8800,28.0
1760549113.8314998,9120,36.0
1760549116.024389,9440,34.0
1760549121.6244001,10080,33.0
1760549123.8855584,10400,48.0
1760549126.149011,10720,41.0
1760549128.39106,11040,124.0
1760549130.655663,11360,148.0
1760549132.9246433,11680,41.0
1760549135.2724392,12000,75.0
1760549137.5709212,12320,17.0
1760549139.9508312,12640,17.0
1760549142.2427366,12960,32.0
1760549144.5784056,13280,53.0
1760549146.9377928,13600,20.0
1760549149.299883,13920,36.0
1760549151.5992408,14240,31.0
1760549153.8924909,14560,150.0
1760549156.2112586,14880,15.0
1760549158.5698133,15200,16.0
1760549160.9363549,15520,40.0
1760549163.3174493,15840,43.0
1760549165.7150855,16160,32.0
1760549168.0972276,16480,24.0
1760549170.470013,16800,33.0
1760549172.883783,17120,14.0
1760549175.30948,17440,14.0
1760549177.7017496,17760,15.0
1760549180.1837578,18080,32.0
1760549182.6148117,18400,33.0
1760549185.0853603,18720,26.0
1760549187.5604987,19040,19.0
1760549189.9547176,19360,32.0
1760549195.1588218,19910,25.0
1760549197.388421,20230,58.0
1760549199.6160202,20550,58.0
1760549201.8519814,20870,128.0
1760549204.1042862,21190,40.0
1760549206.362909,21510,46.0
1760549208.7203813,21830,36.0
1760549210.982785,22150,40.0
1760549213.2568698,22470,36.0
1760549215.5010912,22790,38.0
1760549217.761854,23110,34.0
1760549220.0245278,23430,37.0
1760549222.2520652,23750,55.0
1760549224.5143836,24070,34.0
1760549226.7371821,24390,30.0
1760549228.97926,24710,42.0
1760549232.5573285,25050,42.0
1760549234.79301,25370,50.0
1760549237.0469394,25690,52.0
1760549239.3384829,26010,40.0
1760549241.5757036,26330,84.0
1760549243.851251,26650,30.0
1760549246.1058607,26970,54.0
1760549248.3912034,27290,47.0
1760549250.6346748,27610,35.0
1760549252.877631,27930,34.0
1760549255.1667762,28250,37.0
1760549257.409026,28570,54.0
1760549259.6579344,28890,45.0
1760549261.9407754,29210,34.0
1760549267.9165046,29840,31.0
1760549270.5824819,30160,53.0
1760549273.249443,30480,58.0
1760549275.9418566,30800,38.0
1760549278.6192644,31120,43.0
1760549281.2057078,31440,59.0
1760549283.780495,31760,29.0
1760549286.350751,32080,31.0
1760549288.9743278,32400,36.0
1760549291.5341454,32720,34.0
1760549294.2131486,33040,46.0
1760549296.765325,33360,41.0
1760549299.3699934,33680,37.0
1760549303.7830093,34080,53.0
1760549306.3241582,34400,62.0
1760549308.9170344,34720,46.0
1760549311.4967268,35040,32.0
1760549314.1215582,35360,43.0
1760549316.7236655,35680,41.0
1760549319.2590249,36000,37.0
1760549321.8581808,36320,42.0
1760549324.4313805,36640,46.0
1760549327.0046625,36960,45.0
1760549329.622165,37280,43.0
1760549332.2076306,37600,45.0
1760549334.9011497,37920,46.0
1760549338.7365413,38260,46.0
1760549341.2061937,38580,56.0
1760549343.7342868,38900,52.0
1760549346.2496827,39220,48.0
1760549348.7367783,39540,63.0
1760549351.227016,39860,43.0
1760549353.784978,40180,45.0
1760549356.280238,40500,39.0
1760549358.7999413,40820,36.0
1760549361.2869267,41140,44.0
1760549363.7810836,41460,63.0
1760549366.2790685,41780,53.0
1760549368.7947745,42100,39.0
1760549371.3024182,42420,60.0
1760549373.8568716,42740,53.0
1760549379.1907775,43210,51.0
1760549382.0943246,43530,51.0
1760549384.9957044,43850,93.0
1760549387.8860736,44170,123.0
1760549390.88346,44490,153.0
1760549393.8000684,44810,101.0
1760549396.7549403,45130,88.0
1760549399.673637,45450,77.0
1760549402.5748262,45770,78.0
1760549405.5116827,46090,88.0
1760549408.415475,46410,247.0
1760549411.3545856,46730,84.0
1760549414.2385118,47050,101.0
1760549417.1458027,47370,108.0
1760549420.0962245,47690,95.0
1760549423.0322058,48010,219.0
1760549426.0092003,48330,98.0
1760549428.8880177,48650,91.0
1760549431.7399762,48970,239.0
1760549434.689434,49290,106.0
1760549437.6099923,49610,300.0
1760549440.5466897,49930,110.0
1760549443.446305,50250,113.0
1760549446.3108134,50570,104.0
1760549449.2549508,50890,104.0
1760549452.2046154,51210,86.0
1760549455.0949254,51530,83.0
1760549457.9910986,51850,113.0
1760549460.9090707,52170,94.0
1760549463.7912014,52490,212.0
1760549466.7408364,52810,106.0
1760549469.6121373,53130,77.0
1760549472.5191872,53450,87.0
1760549475.4215388,53770,163.0
1760549478.3293211,54090,96.0
1760549481.247181,54410,106.0
1760549484.120692,54730,96.0
1760549487.030509,55050,172.0
1760549489.898477,55370,191.0
1760549492.8535588,55690,88.0
1760549495.7711961,56010,73.0
1760549498.7148085,56330,111.0
1760549504.3317847,56820,105.0
1760549507.0823314,57140,105.0
1760549510.0005553,57460,95.0
1760549512.8727968,57780,116.0
1760549515.6712174,58100,80.0
1760549518.5303402,58420,87.0
1760549521.3962228,58740,105.0
1760549524.2310405,59060,89.0
1760549527.1078765,59380,116.0
1760549529.971907,59700,100.0
1760549532.8021328,60020,108.0
1760549535.6188054,60340,97.0
1760549538.4697437,60660,101.0
1760549541.3733401,60980,103.0
1760549544.2873292,61300,97.0
1760549547.1435106,61620,101.0
1760549549.977122,61940,104.0
1760549552.8118284,62260,133.0
1760549555.6800282,62580,105.0
1760549558.5188422,62900,110.0
1760549561.3731904,63220,99.0
1760549564.1977894,63540,112.0
1760549567.0203986,63860,106.0
1760549569.9100041,64180,95.0
1760549572.7521846,64500,105.0
1760549575.6121948,64820,95.0
1760549578.4645739,65140,110.0
1760549581.3061795,65460,86.0
1760549584.1493309,65780,92.0
1760549586.971062,66100,103.0
1760549589.8557901,66420,94.0
1760549592.683349,66740,109.0
1760549595.4694073,67060,101.0
1760549598.3450954,67380,89.0
1760549603.5556793,67820,89.0
1760549606.274376,68140,89.0
1760549609.011086,68460,89.0
1760549611.9102924,68780,128.0
1760549614.7917325,69100,134.0
1760549617.5144048,69420,134.0
1760549620.378363,69740,101.0
1760549623.3245435,70060,116.0
1760549626.1281958,70380,140.0
1760549628.9192607,70700,97.0
1760549631.7844882,71020,108.0
1760549634.6311808,71340,134.0
1760549637.409335,71660,97.0
1760549640.2188845,71980,120.0
1760549643.0675657,72300,108.0
1760549645.9147701,72620,132.0
1760549648.727813,72940,101.0
1760549651.5402038,73260,116.0
1760549654.3739204,73580,111.0
1760549657.203962,73900,100.0
1760549660.0446334,74220,119.0
1760549662.8400397,74540,106.0
1760549665.680495,74860,96.0
1760549668.4993427,75180,102.0
1760549671.3049834,75500,101.0
1760549674.1941926,75820,89.0
1760549676.9798946,76140,99.0
1760549679.8273408,76460,99.0
1760549682.6910846,76780,103.0
1760549685.5177472,77100,107.0
1760549688.2870824,77420,107.0
1760549691.1607726,77740,104.0
1760549694.0187228,78060,115.0
1760549696.806147,78380,126.0
1760549699.608929,78700,111.0
1760549702.4593582,79020,127.0
1760549706.5723119,79360,109.0
1760549709.4496844,79680,109.0
1760549712.22311,80000,92.0
1760549714.930042,80320,126.0
1760549717.7332075,80640,158.0
1760549720.5776923,80960,100.0
1760549723.4240303,81280,115.0
1760549726.239715,81600,100.0
1760549729.0882063,81920,118.0
1760549731.8584268,82240,122.0
1760549734.6317856,82560,113.0
1760549737.4220655,82880,100.0
1760549740.2350423,83200,95.0
1760549742.997626,83520,116.0
1760549745.7655733,83840,97.0
1760549748.5893946,84160,107.0
1760549751.3805764,84480,123.0
1760549754.139894,84800,108.0
1760549756.9653857,85120,99.0
1760549759.7773342,85440,108.0
1760549762.5361753,85760,117.0
1760549765.3368008,86080,106.0
1760549768.1565614,86400,135.0
1760549770.9165227,86720,103.0
1760549773.6847675,87040,109.0
1760549776.5209448,87360,93.0
1760549779.3329995,87680,85.0
1760549782.1234627,88000,79.0
1760549784.9740317,88320,101.0
1760549787.766256,88640,98.0
1760549790.5308685,88960,127.0
1760549793.352107,89280,114.0
1760549796.2028642,89600,111.0
1760549798.9487932,89920,120.0
