#{"t_start": 1760601446.0214534, "env_id": "None"}
r,l,t
9.739199,107,9.765388
9.748999,109,9.94395
9.723199,117,10.661701
9.733099,118,10.760812
9.7228985,120,10.942718
9.207398,125,11.386594
9.707199,127,11.571354
9.696898,130,11.869954
9.6863985,135,12.31738
9.660599,143,13.030787
9.774799,103,19.645018
7.265099,100,20.106282
6.7804995,96,20.201919
9.274799,103,20.559008
8.712699,124,20.638738
9.7383995,117,20.996578
9.722699,124,21.803854
9.686499,136,21.8902
9.743899,112,22.064614
9.707599,125,23.967266
9.764499,106,29.508158
9.7383995,117,29.935518
9.7383995,117,30.918185
9.743499,116,31.179152
9.748599,115,32.0026
9.670898,142,32.621238
9.212499,126,33.154046
9.665699,144,33.249874
9.196898,132,33.430624
9.733299,118,34.342199
9.748799,113,41.02238
9.707699,124,41.02238
9.738699,114,41.382497
9.718299,118,42.572206
9.733299,118,43.770911
9.723099,120,44.051346
9.702399,127,44.051346
9.238499,116,44.769129
8.671499,136,45.65925
9.759999,101,50.062992
9.769399,107,50.598615
0.57407284,260,52.750227
9.759099,110,53.83335
9.733299,118,54.736924
9.722599,125,55.100841
9.718199,119,55.542577
9.614199,159,55.813917
9.712199,129,57.334889
3.2619886,181,58.924369
9.733399,117,60.683357
9.723199,119,61.38925
9.7335,116,63.233876
9.770199,99,63.851326
9.744199,109,64.370312
9.696999,131,65.599519
9.742899,122,66.602415
9.734099,110,67.043252
9.649999,151,68.971773
9.7335,116,71.130843
9.675899,142,71.686616
9.717799,123,72.518112
9.711699,134,75.371606
9.712099,130,75.63892
9.640199,149,77.866362
9.655899,142,78.470536
9.6610985,140,79.691203
9.754699,104,80.433368
9.744199,109,82.197047
9.630098,150,82.473462
0.84238434,177,82.554725
9.665098,150,85.129219
9.712499,126,86.662263
9.661399,137,87.873706
9.682599,125,89.648896
9.640399,147,90.985579
9.259099,110,92.337687
9.635199,149,93.061895
9.650799,143,93.244837
9.743099,120,93.327356
9.707599,125,93.422393
9.718499,116,95.506031
9.739299,108,96.306672
9.718399,117,101.487003
9.759499,106,101.836368
9.588498,166,102.737202
-0.055114746,152,103.298532
9.738599,115,103.386718
9.748699,114,103.486712
9.733699,114,105.752669
9.671199,139,105.845302
9.702799,123,107.357212
9.598699,164,108.149204
9.734299,108,111.133028
9.734099,110,111.650215
9.747999,121,114.071671
9.692199,129,114.94319
9.754599,105,115.207696
9.154698,154,116.54814
9.707699,124,116.80634
9.769699,104,117.443706
